fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0125	Rv0426c	0.0115557915921766	undirected	NA	NA
Rv0125	Rv0505c	0.0250167118307623	undirected	NA	NA
Rv0125	Rv0636	0.12706020741181	undirected	NA	NA
Rv0125	Rv1172c	0.103379856400282	undirected	NA	NA
Rv0125	Rv1248c	0.0173029058629933	undirected	NA	NA
Rv0125	Rv2231c	0.237084463784086	undirected	NA	NA
Rv0125	Rv2232	0.0048643798024033	undirected	NA	NA
Rv0125	Rv2420c	0.0385990283520647	undirected	NA	NA
Rv0125	Rv2710	0.0519957071614527	undirected	NA	NA
Rv0125	Rv2733c	0.0841738718152306	undirected	NA	NA
Rv0125	Rv2890c	0.181687712573297	undirected	NA	NA
Rv0125	Rv2908c	0.0507344773786711	undirected	NA	NA
Rv0125	Rv2909c	0.0905136257138295	undirected	NA	NA
Rv0125	Rv2911	0.00941851950932608	undirected	NA	NA
Rv0125	Rv2920c	0.084188967397963	undirected	NA	NA
Rv0125	Rv3601c	0.0694773818575315	undirected	NA	NA
Rv0426c	Rv0505c	0.030761082576905	undirected	NA	NA
Rv0426c	Rv0636	0.0030090555450452	undirected	NA	NA
Rv0426c	Rv1172c	0.00486180859730123	undirected	NA	NA
Rv0426c	Rv1248c	0.00055902209119251	undirected	NA	NA
Rv0426c	Rv2231c	0.0109167221089601	undirected	NA	NA
Rv0426c	Rv2232	0.000518119986824874	undirected	NA	NA
Rv0426c	Rv2420c	0.000928782047848726	undirected	NA	NA
Rv0426c	Rv2710	0.00233799985527693	undirected	NA	NA
Rv0426c	Rv2733c	0.00130203580551316	undirected	NA	NA
Rv0426c	Rv2890c	0.0089222339681347	undirected	NA	NA
Rv0426c	Rv2908c	0.00188363370755354	undirected	NA	NA
Rv0426c	Rv2909c	0.00419437939102901	undirected	NA	NA
Rv0426c	Rv2911	0.000215497986200026	undirected	NA	NA
Rv0426c	Rv2920c	0.00303732373675227	undirected	NA	NA
Rv0426c	Rv3601c	0.00125610068990373	undirected	NA	NA
Rv0505c	Rv0636	0.0161209683620261	undirected	NA	NA
Rv0505c	Rv1172c	0.0115970452725859	undirected	NA	NA
Rv0505c	Rv1248c	0.0025563312700861	undirected	NA	NA
Rv0505c	Rv2231c	0.0255110480082165	undirected	NA	NA
Rv0505c	Rv2232	0.00026959902679742	undirected	NA	NA
Rv0505c	Rv2420c	0.00436564157147544	undirected	NA	NA
Rv0505c	Rv2710	0.00355763090081198	undirected	NA	NA
Rv0505c	Rv2733c	0.00579510333587649	undirected	NA	NA
Rv0505c	Rv2890c	0.0434326172538141	undirected	NA	NA
Rv0505c	Rv2908c	0.00904911925199893	undirected	NA	NA
Rv0505c	Rv2909c	0.0159400009635792	undirected	NA	NA
Rv0505c	Rv2911	0.00144864553766467	undirected	NA	NA
Rv0505c	Rv2920c	0.0040554116278694	undirected	NA	NA
Rv0505c	Rv3601c	0.00766981914540965	undirected	NA	NA
Rv0636	Rv1172c	0.0598532718263408	undirected	NA	NA
Rv0636	Rv1248c	0.0260740291739517	undirected	NA	NA
Rv0636	Rv2231c	0.0883251646358868	undirected	NA	NA
Rv0636	Rv2232	0.00125050560399922	undirected	NA	NA
Rv0636	Rv2420c	0.0526515755451354	undirected	NA	NA
Rv0636	Rv2710	0.0294423492135642	undirected	NA	NA
Rv0636	Rv2733c	0.0977881836447038	undirected	NA	NA
Rv0636	Rv2890c	0.0878865553726704	undirected	NA	NA
Rv0636	Rv2908c	0.0399451499769478	undirected	NA	NA
Rv0636	Rv2909c	0.0486040045032386	undirected	NA	NA
Rv0636	Rv2911	0.0106210960427311	undirected	NA	NA
Rv0636	Rv2920c	0.0535193005833012	undirected	NA	NA
Rv0636	Rv3601c	0.0949147494262188	undirected	NA	NA
Rv1172c	Rv1248c	0.0372404243805116	undirected	NA	NA
Rv1172c	Rv2231c	0.103305285625393	undirected	NA	NA
Rv1172c	Rv2232	0.00102895476574755	undirected	NA	NA
Rv1172c	Rv2420c	0.0214253280954109	undirected	NA	NA
Rv1172c	Rv2710	0.020719019200419	undirected	NA	NA
Rv1172c	Rv2733c	0.0374496712808581	undirected	NA	NA
Rv1172c	Rv2890c	0.0820131370314963	undirected	NA	NA
Rv1172c	Rv2908c	0.0407242415946525	undirected	NA	NA
Rv1172c	Rv2909c	0.0601457489605305	undirected	NA	NA
Rv1172c	Rv2911	0.00731223443408795	undirected	NA	NA
Rv1172c	Rv2920c	0.0264164906016317	undirected	NA	NA
Rv1172c	Rv3601c	0.0533965338136382	undirected	NA	NA
Rv1248c	Rv2231c	0.0525873835122028	undirected	NA	NA
Rv1248c	Rv2232	0.000328779114414553	undirected	NA	NA
Rv1248c	Rv2420c	0.0988847080067624	undirected	NA	NA
Rv1248c	Rv2710	0.042672566833534	undirected	NA	NA
Rv1248c	Rv2733c	0.0579462288884957	undirected	NA	NA
Rv1248c	Rv2890c	0.0467281605455435	undirected	NA	NA
Rv1248c	Rv2908c	0.147209187195584	undirected	NA	NA
Rv1248c	Rv2909c	0.127814021258961	undirected	NA	NA
Rv1248c	Rv2911	0.0359904252297896	undirected	NA	NA
Rv1248c	Rv2920c	0.0146263352808735	undirected	NA	NA
Rv1248c	Rv3601c	0.0653452790018459	undirected	NA	NA
Rv2231c	Rv2232	0.0064121874930716	undirected	NA	NA
Rv2231c	Rv2420c	0.0851644714613854	undirected	NA	NA
Rv2231c	Rv2710	0.073389160652157	undirected	NA	NA
Rv2231c	Rv2733c	0.0978198444655745	undirected	NA	NA
Rv2231c	Rv2890c	0.153479240863205	undirected	NA	NA
Rv2231c	Rv2908c	0.0794964684331423	undirected	NA	NA
Rv2231c	Rv2909c	0.0967963489892809	undirected	NA	NA
Rv2231c	Rv2911	0.0262967287752104	undirected	NA	NA
Rv2231c	Rv2920c	0.111201323048266	undirected	NA	NA
Rv2231c	Rv3601c	0.0610736735622523	undirected	NA	NA
Rv2232	Rv2420c	0.000914129690290614	undirected	NA	NA
Rv2232	Rv2710	0.00244076515025446	undirected	NA	NA
Rv2232	Rv2733c	0.000806117977706569	undirected	NA	NA
Rv2232	Rv2890c	0.00398035973080329	undirected	NA	NA
Rv2232	Rv2908c	0.00148004463853072	undirected	NA	NA
Rv2232	Rv2909c	0.00269346956449704	undirected	NA	NA
Rv2232	Rv2911	0.000133943676325602	undirected	NA	NA
Rv2232	Rv2920c	0.00153604772469939	undirected	NA	NA
Rv2232	Rv3601c	0.000595451378462188	undirected	NA	NA
Rv2420c	Rv2710	0.116181075063301	undirected	NA	NA
Rv2420c	Rv2733c	0.104196202740989	undirected	NA	NA
Rv2420c	Rv2890c	0.0803178859176679	undirected	NA	NA
Rv2420c	Rv2908c	0.154572327292037	undirected	NA	NA
Rv2420c	Rv2909c	0.126368064762529	undirected	NA	NA
Rv2420c	Rv2911	0.117211888512557	undirected	NA	NA
Rv2420c	Rv2920c	0.0861523192337325	undirected	NA	NA
Rv2420c	Rv3601c	0.0816988001571143	undirected	NA	NA
Rv2710	Rv2733c	0.0851295040872366	undirected	NA	NA
