fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0498	Rv0936	0.0649248014777535	undirected	NA	NA
Rv0498	Rv0996	0.00633286717762599	undirected	NA	NA
Rv0498	Rv1068c	0.019169838325194	undirected	NA	NA
Rv0498	Rv1622c	0.0158821865849235	undirected	NA	NA
Rv0498	Rv1680	0.036704993283837	undirected	NA	NA
Rv0498	Rv1802	0.000139484770138181	undirected	NA	NA
Rv0498	Rv1808	0.000553417803163922	undirected	NA	NA
Rv0498	Rv1925	0.000255471236812014	undirected	NA	NA
Rv0498	Rv2850c	0.117816580262005	undirected	NA	NA
Rv0498	Rv3124	2.33981470437543e-05	undirected	NA	NA
Rv0498	Rv3256c	0.000933517995635896	undirected	NA	NA
Rv0498	Rv3300c	0.0973076534887059	undirected	NA	NA
Rv0498	Rv3732	0.0119437996895483	undirected	NA	NA
Rv0498	Rv3845	6.7535568336074e-06	undirected	NA	NA
Rv0936	Rv0996	0.00456887557985211	undirected	NA	NA
Rv0936	Rv1068c	0.0158234936737943	undirected	NA	NA
Rv0936	Rv1622c	0.0183294802477916	undirected	NA	NA
Rv0936	Rv1680	0.0282068810660252	undirected	NA	NA
Rv0936	Rv1802	6.51692757123047e-05	undirected	NA	NA
Rv0936	Rv1808	0.00186729951458265	undirected	NA	NA
Rv0936	Rv1925	0.000157265241056902	undirected	NA	NA
Rv0936	Rv2850c	0.121178851193703	undirected	NA	NA
Rv0936	Rv3124	2.6513378315152e-05	undirected	NA	NA
Rv0936	Rv3256c	0.000657751838316333	undirected	NA	NA
Rv0936	Rv3300c	0.0129054532892707	undirected	NA	NA
Rv0936	Rv3732	0.0140649980310611	undirected	NA	NA
Rv0936	Rv3845	5.60142233077143e-06	undirected	NA	NA
Rv0996	Rv1068c	0.175952150187055	undirected	NA	NA
Rv0996	Rv1622c	0.000717256864117087	undirected	NA	NA
Rv0996	Rv1680	0.0713806850812184	undirected	NA	NA
Rv0996	Rv1802	0.0118671879354559	undirected	NA	NA
Rv0996	Rv1808	4.11752116122217e-06	undirected	NA	NA
Rv0996	Rv1925	0.083939106129728	undirected	NA	NA
Rv0996	Rv2850c	0.0399724026236552	undirected	NA	NA
Rv0996	Rv3124	0.00936858332219708	undirected	NA	NA
Rv0996	Rv3256c	0.00563274132934498	undirected	NA	NA
Rv0996	Rv3300c	0.00279862806852674	undirected	NA	NA
Rv0996	Rv3732	0.02627049240871	undirected	NA	NA
Rv0996	Rv3845	0.0139841050494157	undirected	NA	NA
Rv1068c	Rv1622c	0.00228375341947263	undirected	NA	NA
Rv1068c	Rv1680	0.0899590290862733	undirected	NA	NA
Rv1068c	Rv1802	0.0149563256102177	undirected	NA	NA
Rv1068c	Rv1808	2.1858430188367e-05	undirected	NA	NA
Rv1068c	Rv1925	0.0310821673928094	undirected	NA	NA
Rv1068c	Rv2850c	0.0840178242478689	undirected	NA	NA
Rv1068c	Rv3124	0.00268452569111959	undirected	NA	NA
Rv1068c	Rv3256c	0.00661911878517432	undirected	NA	NA
Rv1068c	Rv3300c	0.00626544324459889	undirected	NA	NA
Rv1068c	Rv3732	0.0271725416902946	undirected	NA	NA
Rv1068c	Rv3845	0.00220621588107988	undirected	NA	NA
Rv1622c	Rv1680	0.00544988335871649	undirected	NA	NA
Rv1622c	Rv1802	1.81908959704939e-06	undirected	NA	NA
Rv1622c	Rv1808	0.0228696537109037	undirected	NA	NA
Rv1622c	Rv1925	1.76201274329658e-05	undirected	NA	NA
Rv1622c	Rv2850c	0.0210569280685395	undirected	NA	NA
Rv1622c	Rv3124	1.85308676794563e-06	undirected	NA	NA
Rv1622c	Rv3256c	0.000116286397175848	undirected	NA	NA
Rv1622c	Rv3300c	0.00488172340990231	undirected	NA	NA
Rv1622c	Rv3732	0.00305354194244919	undirected	NA	NA
Rv1622c	Rv3845	2.23694368603573e-07	undirected	NA	NA
Rv1680	Rv1802	0.00220690029897639	undirected	NA	NA
Rv1680	Rv1808	7.3925190493804e-05	undirected	NA	NA
Rv1680	Rv1925	0.0127083976140605	undirected	NA	NA
Rv1680	Rv2850c	0.129194701289857	undirected	NA	NA
Rv1680	Rv3124	0.000604851983101728	undirected	NA	NA
Rv1680	Rv3256c	0.0184649871207385	undirected	NA	NA
Rv1680	Rv3300c	0.0154236715999408	undirected	NA	NA
Rv1680	Rv3732	0.126839603670662	undirected	NA	NA
Rv1680	Rv3845	0.000703191778896668	undirected	NA	NA
Rv1802	Rv1808	1.36799725383272e-09	undirected	NA	NA
Rv1802	Rv1925	0.00672045905321729	undirected	NA	NA
Rv1802	Rv2850c	0.0016873772616182	undirected	NA	NA
Rv1802	Rv3124	0.000375156228785699	undirected	NA	NA
Rv1802	Rv3256c	0.000141434485577579	undirected	NA	NA
Rv1802	Rv3300c	7.20824181402327e-05	undirected	NA	NA
Rv1802	Rv3732	0.000356805341976998	undirected	NA	NA
Rv1802	Rv3845	0.000657402435556122	undirected	NA	NA
Rv1808	Rv1925	2.63784368210247e-08	undirected	NA	NA
Rv1808	Rv2850c	0.000732956067100748	undirected	NA	NA
Rv1808	Rv3124	4.36370374103235e-09	undirected	NA	NA
Rv1808	Rv3256c	1.49507082372122e-06	undirected	NA	NA
Rv1808	Rv3300c	0.000233370251895147	undirected	NA	NA
Rv1808	Rv3732	9.20616543616228e-05	undirected	NA	NA
Rv1808	Rv3845	1.74988809491472e-10	undirected	NA	NA
Rv1925	Rv2850c	0.00361344799845761	undirected	NA	NA
Rv1925	Rv3124	0.0552749843076577	undirected	NA	NA
Rv1925	Rv3256c	0.000597064495525121	undirected	NA	NA
Rv1925	Rv3300c	0.000172197440237541	undirected	NA	NA
Rv1925	Rv3732	0.00229186167352884	undirected	NA	NA
Rv1925	Rv3845	0.0800764652401196	undirected	NA	NA
Rv2850c	Rv3124	0.000218665220011625	undirected	NA	NA
Rv2850c	Rv3256c	0.00813379742317066	undirected	NA	NA
Rv2850c	Rv3300c	0.0349107752107268	undirected	NA	NA
Rv2850c	Rv3732	0.0740704886078684	undirected	NA	NA
Rv2850c	Rv3845	9.77337614653601e-05	undirected	NA	NA
Rv3124	Rv3256c	3.0130994814198e-05	undirected	NA	NA
Rv3124	Rv3300c	9.68453799915892e-06	undirected	NA	NA
Rv3124	Rv3732	0.000215599781342262	undirected	NA	NA
