fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0841c	Rv0878c	0.00395813538386031	undirected	NA	NA
Rv0841c	Rv0883c	0.0033792388040131	undirected	NA	NA
Rv0841c	Rv1575	0.00289431223290724	undirected	NA	NA
Rv0841c	Rv1791	0.0702721867971661	undirected	NA	NA
Rv0841c	Rv1794	0.0140307129112075	undirected	NA	NA
Rv0841c	Rv1799	0.00110258623965144	undirected	NA	NA
Rv0841c	Rv1856c	0.059705934808534	undirected	NA	NA
Rv0841c	Rv2091c	0.034629038535826	undirected	NA	NA
Rv0841c	Rv2097c	0.0405877236411885	undirected	NA	NA
Rv0841c	Rv2243	0.0508684573056369	undirected	NA	NA
Rv0841c	Rv2244	0.091702098436519	undirected	NA	NA
Rv0841c	Rv2245	0.152324494812183	undirected	NA	NA
Rv0841c	Rv2807	0.00396484347295339	undirected	NA	NA
Rv0841c	Rv3240c	0.00695942613778535	undirected	NA	NA
Rv0841c	Rv3284	0.013536050357078	undirected	NA	NA
Rv0841c	Rv3304	0.0109060586599526	undirected	NA	NA
Rv0841c	Rv3867	0.00690232306169767	undirected	NA	NA
Rv0878c	Rv0883c	0.000522692823667001	undirected	NA	NA
Rv0878c	Rv1575	0.000170743998012685	undirected	NA	NA
Rv0878c	Rv1791	0.00189816589351095	undirected	NA	NA
Rv0878c	Rv1794	0.00335785222043512	undirected	NA	NA
Rv0878c	Rv1799	0.000851015740709752	undirected	NA	NA
Rv0878c	Rv1856c	0.0082843886368718	undirected	NA	NA
Rv0878c	Rv2091c	0.0259962160337972	undirected	NA	NA
Rv0878c	Rv2097c	0.0249968051893006	undirected	NA	NA
Rv0878c	Rv2243	0.00112898227117345	undirected	NA	NA
Rv0878c	Rv2244	0.0053517163887718	undirected	NA	NA
Rv0878c	Rv2245	0.000281499106970764	undirected	NA	NA
Rv0878c	Rv2807	0.000775034259767923	undirected	NA	NA
Rv0878c	Rv3240c	0.00106864577293984	undirected	NA	NA
Rv0878c	Rv3284	0.000769181805320008	undirected	NA	NA
Rv0878c	Rv3304	0.0387730780508249	undirected	NA	NA
Rv0878c	Rv3867	0.000118778159216683	undirected	NA	NA
Rv0883c	Rv1575	0.00185906721955832	undirected	NA	NA
Rv0883c	Rv1791	0.000382399908364437	undirected	NA	NA
Rv0883c	Rv1794	0.00163907480114507	undirected	NA	NA
Rv0883c	Rv1799	0.0434683304301004	undirected	NA	NA
Rv0883c	Rv1856c	0.0216211137141578	undirected	NA	NA
Rv0883c	Rv2091c	0.00916483538609037	undirected	NA	NA
Rv0883c	Rv2097c	0.000815277599920943	undirected	NA	NA
Rv0883c	Rv2243	0.00128280028361352	undirected	NA	NA
Rv0883c	Rv2244	0.00918446706549174	undirected	NA	NA
Rv0883c	Rv2245	0.00162151686437188	undirected	NA	NA
Rv0883c	Rv2807	8.53932607485346e-05	undirected	NA	NA
Rv0883c	Rv3240c	0.0135170128811091	undirected	NA	NA
Rv0883c	Rv3284	0.0119379666366758	undirected	NA	NA
Rv0883c	Rv3304	0.0135666300215263	undirected	NA	NA
Rv0883c	Rv3867	3.69810106615768e-06	undirected	NA	NA
Rv1575	Rv1791	7.99722761001573e-05	undirected	NA	NA
Rv1575	Rv1794	0.00254227471840978	undirected	NA	NA
Rv1575	Rv1799	0.00415807719614211	undirected	NA	NA
Rv1575	Rv1856c	0.0233536995825485	undirected	NA	NA
Rv1575	Rv2091c	0.00456953208411315	undirected	NA	NA
Rv1575	Rv2097c	0.000100001792744158	undirected	NA	NA
Rv1575	Rv2243	0.000550521487111747	undirected	NA	NA
Rv1575	Rv2244	0.00364581703089923	undirected	NA	NA
Rv1575	Rv2245	0.00152659697350257	undirected	NA	NA
Rv1575	Rv2807	5.85635951225557e-06	undirected	NA	NA
Rv1575	Rv3240c	0.0290490225071155	undirected	NA	NA
Rv1575	Rv3284	0.0130737389774984	undirected	NA	NA
Rv1575	Rv3304	0.0028339246920893	undirected	NA	NA
Rv1575	Rv3867	7.66452993981256e-07	undirected	NA	NA
Rv1791	Rv1794	0.00289110357834076	undirected	NA	NA
Rv1791	Rv1799	7.3117311803955e-05	undirected	NA	NA
Rv1791	Rv1856c	0.0228475908998798	undirected	NA	NA
Rv1791	Rv2091c	0.0125885268667745	undirected	NA	NA
Rv1791	Rv2097c	0.0173093051863173	undirected	NA	NA
Rv1791	Rv2243	0.0399970188231362	undirected	NA	NA
Rv1791	Rv2244	0.0595897966603621	undirected	NA	NA
Rv1791	Rv2245	0.0200223707165436	undirected	NA	NA
Rv1791	Rv2807	0.00409297706762346	undirected	NA	NA
Rv1791	Rv3240c	0.000797085787986103	undirected	NA	NA
Rv1791	Rv3284	0.00125747299765942	undirected	NA	NA
Rv1791	Rv3304	0.00357639403741724	undirected	NA	NA
Rv1791	Rv3867	0.0149757954640612	undirected	NA	NA
Rv1794	Rv1799	0.00189825402239109	undirected	NA	NA
Rv1794	Rv1856c	0.0756950113053859	undirected	NA	NA
Rv1794	Rv2091c	0.0370713564046407	undirected	NA	NA
Rv1794	Rv2097c	0.00499827663886935	undirected	NA	NA
Rv1794	Rv2243	0.0392604050334302	undirected	NA	NA
Rv1794	Rv2244	0.0262041920121677	undirected	NA	NA
Rv1794	Rv2245	0.00291697057808031	undirected	NA	NA
Rv1794	Rv2807	0.000870160764047492	undirected	NA	NA
Rv1794	Rv3240c	0.022473701370279	undirected	NA	NA
Rv1794	Rv3284	0.0114309329608555	undirected	NA	NA
Rv1794	Rv3304	0.0143587982862919	undirected	NA	NA
Rv1794	Rv3867	0.00221409626195125	undirected	NA	NA
Rv1799	Rv1856c	0.0163273558708243	undirected	NA	NA
Rv1799	Rv2091c	0.00584312371100282	undirected	NA	NA
Rv1799	Rv2097c	0.000845789677105869	undirected	NA	NA
Rv1799	Rv2243	0.000772897845506861	undirected	NA	NA
Rv1799	Rv2244	0.00427661910053397	undirected	NA	NA
Rv1799	Rv2245	0.000461542841171632	undirected	NA	NA
Rv1799	Rv2807	8.16293448822903e-05	undirected	NA	NA
Rv1799	Rv3240c	0.0272851408062077	undirected	NA	NA
Rv1799	Rv3284	0.00817789377590854	undirected	NA	NA
Rv1799	Rv3304	0.019941341344693	undirected	NA	NA
Rv1799	Rv3867	9.81109301487696e-07	undirected	NA	NA
Rv1856c	Rv2091c	0.0694679779890797	undirected	NA	NA
Rv1856c	Rv2097c	0.0250947090390921	undirected	NA	NA
Rv1856c	Rv2243	0.0760139991833482	undirected	NA	NA
Rv1856c	Rv2244	0.116148458999134	undirected	NA	NA
Rv1856c	Rv2245	0.047798679165472	undirected	NA	NA
Rv1856c	Rv2807	0.00345166491825493	undirected	NA	NA
Rv1856c	Rv3240c	0.059597331133101	undirected	NA	NA
Rv1856c	Rv3284	0.059285742576045	undirected	NA	NA
Rv1856c	Rv3304	0.0353672128501699	undirected	NA	NA
Rv1856c	Rv3867	0.0030883931382491	undirected	NA	NA
Rv2091c	Rv2097c	0.091611470832788	undirected	NA	NA
Rv2091c	Rv2243	0.0225021188786635	undirected	NA	NA
Rv2091c	Rv2244	0.0360167737289623	undirected	NA	NA
Rv2091c	Rv2245	0.0184151611958748	undirected	NA	NA
Rv2091c	Rv2807	0.00460844618350311	undirected	NA	NA
Rv2091c	Rv3240c	0.017039923697104	undirected	NA	NA
