fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0122	Rv0501	0.020766649742465	undirected	NA	NA
Rv0122	Rv0723	0.00699656053139903	undirected	NA	NA
Rv0122	Rv0921	0.0134679268116787	undirected	NA	NA
Rv0122	Rv0945	0.000775630332162137	undirected	NA	NA
Rv0122	Rv1049	0.0292783950767079	undirected	NA	NA
Rv0122	Rv1089	0.0622616734619222	undirected	NA	NA
Rv0122	Rv1284	0.121926376954987	undirected	NA	NA
Rv0122	Rv1417	0.098595791188467	undirected	NA	NA
Rv0122	Rv1491c	0.0124562931247181	undirected	NA	NA
Rv0122	Rv1881c	0.0216514932685071	undirected	NA	NA
Rv0122	Rv1883c	0.0435606036246128	undirected	NA	NA
Rv0122	Rv1884c	0.0743977556672542	undirected	NA	NA
Rv0122	Rv1962c	0.00517605022150172	undirected	NA	NA
Rv0122	Rv2351c	0.0981603302929885	undirected	NA	NA
Rv0122	Rv2507	0.0318109826139168	undirected	NA	NA
Rv0122	Rv2523c	0.107826365444759	undirected	NA	NA
Rv0122	Rv2531c	0.0852286384252009	undirected	NA	NA
Rv0122	Rv2642	0.0606485542960427	undirected	NA	NA
Rv0122	Rv2905	0.041749618923037	undirected	NA	NA
Rv0122	Rv3080c	0.181141716696263	undirected	NA	NA
Rv0122	Rv3082c	0.0782311120009647	undirected	NA	NA
Rv0122	Rv3361c	0.145598204698454	undirected	NA	NA
Rv0122	Rv3529c	0.065535314142898	undirected	NA	NA
Rv0122	Rv3530c	0.148774658997782	undirected	NA	NA
Rv0122	Rv3546	0.0594453813888923	undirected	NA	NA
Rv0122	Rv3760	0.0233557727841944	undirected	NA	NA
Rv0501	Rv0723	0.000148473509643555	undirected	NA	NA
Rv0501	Rv0921	0.0306477272853941	undirected	NA	NA
Rv0501	Rv0945	0.0386728345232684	undirected	NA	NA
Rv0501	Rv1049	0.0261606704702184	undirected	NA	NA
Rv0501	Rv1089	0.00610494202227723	undirected	NA	NA
Rv0501	Rv1284	0.0376514577100859	undirected	NA	NA
Rv0501	Rv1417	0.00113175739700417	undirected	NA	NA
