fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0062	Rv0094c	0.0243557391355428	undirected	NA	NA
Rv0062	Rv0309	0.000960959038368788	undirected	NA	NA
Rv0062	Rv0813c	0.00773144741556595	undirected	NA	NA
Rv0062	Rv1082	0.00056426194075581	undirected	NA	NA
Rv0062	Rv1189	0.0817242032238395	undirected	NA	NA
Rv0062	Rv1486c	0.0291511176741563	undirected	NA	NA
Rv0062	Rv1587c	0.0722187997302168	undirected	NA	NA
Rv0062	Rv1753c	0.0358979841253555	undirected	NA	NA
Rv0062	Rv1844c	0.000866199861140949	undirected	NA	NA
Rv0062	Rv2462c	0.0435605650254186	undirected	NA	NA
Rv0062	Rv2471	0.0154542659706646	undirected	NA	NA
Rv0062	Rv2804c	9.82295703168042e-05	undirected	NA	NA
Rv0062	Rv2964	0.00812359664440397	undirected	NA	NA
Rv0062	Rv3023c	3.22612744075366e-06	undirected	NA	NA
Rv0062	Rv3133c	0.00627291528448164	undirected	NA	NA
Rv0062	Rv3143	0.0232071842434231	undirected	NA	NA
Rv0062	Rv3467	0.0264638270118161	undirected	NA	NA
Rv0062	Rv3552	0.000772808907171175	undirected	NA	NA
Rv0062	Rv3829c	0.000432658722939017	undirected	NA	NA
Rv0062	Rv3843c	0.000125163700334324	undirected	NA	NA
Rv0094c	Rv0309	0.0254578680007002	undirected	NA	NA
Rv0094c	Rv0813c	0.0944837462116974	undirected	NA	NA
Rv0094c	Rv1082	0.0116873861770135	undirected	NA	NA
Rv0094c	Rv1189	0.0721293344466471	undirected	NA	NA
Rv0094c	Rv1486c	0.0510719813277978	undirected	NA	NA
Rv0094c	Rv1587c	0.0616358682316552	undirected	NA	NA
Rv0094c	Rv1753c	0.00199168548017997	undirected	NA	NA
Rv0094c	Rv1844c	0.00317131649141572	undirected	NA	NA
Rv0094c	Rv2462c	0.0834724050330163	undirected	NA	NA
Rv0094c	Rv2471	0.0635461632645447	undirected	NA	NA
Rv0094c	Rv2804c	0.00120269073311169	undirected	NA	NA
Rv0094c	Rv2964	0.00381463610745622	undirected	NA	NA
Rv0094c	Rv3023c	0.000293595831114116	undirected	NA	NA
Rv0094c	Rv3133c	0.0500818274952739	undirected	NA	NA
Rv0094c	Rv3143	0.16810195925474	undirected	NA	NA
Rv0094c	Rv3467	0.0804668146479038	undirected	NA	NA
Rv0094c	Rv3552	0.0245095761376652	undirected	NA	NA
Rv0094c	Rv3829c	0.00511956516253947	undirected	NA	NA
Rv0094c	Rv3843c	0.00259245297798857	undirected	NA	NA
Rv0309	Rv0813c	0.0172340912080983	undirected	NA	NA
Rv0309	Rv1082	0.00617110042105203	undirected	NA	NA
Rv0309	Rv1189	0.0122286721031763	undirected	NA	NA
Rv0309	Rv1486c	0.0123118137039167	undirected	NA	NA
Rv0309	Rv1587c	0.011029906368159	undirected	NA	NA
Rv0309	Rv1753c	0.000164590218494339	undirected	NA	NA
Rv0309	Rv1844c	0.002110662919129	undirected	NA	NA
Rv0309	Rv2462c	0.0173623174382075	undirected	NA	NA
Rv0309	Rv2471	0.0209556273310775	undirected	NA	NA
Rv0309	Rv2804c	0.000816421846645095	undirected	NA	NA
Rv0309	Rv2964	0.000134565403962763	undirected	NA	NA
Rv0309	Rv3023c	0.000902120462209778	undirected	NA	NA
Rv0309	Rv3133c	0.019102178159873	undirected	NA	NA
Rv0309	Rv3143	0.0511590094246314	undirected	NA	NA
Rv0309	Rv3467	0.0239539452375556	undirected	NA	NA
Rv0309	Rv3552	0.0102571386616221	undirected	NA	NA
Rv0309	Rv3829c	0.000700297763577167	undirected	NA	NA
Rv0309	Rv3843c	0.000415140858805001	undirected	NA	NA
Rv0813c	Rv1082	0.0126153511168591	undirected	NA	NA
Rv0813c	Rv1189	0.0575594172720931	undirected	NA	NA
Rv0813c	Rv1486c	0.0851970157743985	undirected	NA	NA
Rv0813c	Rv1587c	0.0243414895376623	undirected	NA	NA
Rv0813c	Rv1753c	0.00322675727658226	undirected	NA	NA
Rv0813c	Rv1844c	0.00513186524168105	undirected	NA	NA
Rv0813c	Rv2462c	0.0427842307059407	undirected	NA	NA
Rv0813c	Rv2471	0.0643525440241037	undirected	NA	NA
Rv0813c	Rv2804c	0.0020763384200016	undirected	NA	NA
Rv0813c	Rv2964	0.00239509848397742	undirected	NA	NA
Rv0813c	Rv3023c	0.000909690904206955	undirected	NA	NA
Rv0813c	Rv3133c	0.0374366491523744	undirected	NA	NA
Rv0813c	Rv3143	0.159855917910376	undirected	NA	NA
Rv0813c	Rv3467	0.0629522487668331	undirected	NA	NA
Rv0813c	Rv3552	0.0460899396714624	undirected	NA	NA
Rv0813c	Rv3829c	0.0193363414002546	undirected	NA	NA
Rv0813c	Rv3843c	0.0166072181345636	undirected	NA	NA
Rv1082	Rv1189	0.0123640137308487	undirected	NA	NA
Rv1082	Rv1486c	0.0203609751200634	undirected	NA	NA
Rv1082	Rv1587c	0.0139394607128285	undirected	NA	NA
Rv1082	Rv1753c	0.000810565085821857	undirected	NA	NA
Rv1082	Rv1844c	0.0227746491962536	undirected	NA	NA
Rv1082	Rv2462c	0.014795002629533	undirected	NA	NA
Rv1082	Rv2471	0.130119417639891	undirected	NA	NA
Rv1082	Rv2804c	0.0153188467765719	undirected	NA	NA
Rv1082	Rv2964	3.89614951315019e-05	undirected	NA	NA
Rv1082	Rv3023c	0.0231875174078793	undirected	NA	NA
Rv1082	Rv3133c	0.106064478964	undirected	NA	NA
Rv1082	Rv3143	0.0346867078065729	undirected	NA	NA
Rv1082	Rv3467	0.0125721693624955	undirected	NA	NA
Rv1082	Rv3552	0.0396742614889542	undirected	NA	NA
Rv1082	Rv3829c	0.00204359781719146	undirected	NA	NA
Rv1082	Rv3843c	0.00611431709692302	undirected	NA	NA
Rv1189	Rv1486c	0.128260098627773	undirected	NA	NA
Rv1189	Rv1587c	0.118409411044811	undirected	NA	NA
Rv1189	Rv1753c	0.0124657309488463	undirected	NA	NA
Rv1189	Rv1844c	0.00545002187116294	undirected	NA	NA
Rv1189	Rv2462c	0.0783679768892989	undirected	NA	NA
Rv1189	Rv2471	0.0695705643490469	undirected	NA	NA
Rv1189	Rv2804c	0.000473951575564143	undirected	NA	NA
Rv1189	Rv2964	0.00893400624204644	undirected	NA	NA
Rv1189	Rv3023c	0.000126083691977651	undirected	NA	NA
Rv1189	Rv3133c	0.0293576645895411	undirected	NA	NA
Rv1189	Rv3143	0.0863825983703786	undirected	NA	NA
Rv1189	Rv3467	0.0619307144910896	undirected	NA	NA
Rv1189	Rv3552	0.015630657802842	undirected	NA	NA
Rv1189	Rv3829c	0.00882294563202838	undirected	NA	NA
Rv1189	Rv3843c	0.00272623806695168	undirected	NA	NA
Rv1486c	Rv1587c	0.0564756154011449	undirected	NA	NA
Rv1486c	Rv1753c	0.0119526044634872	undirected	NA	NA
Rv1486c	Rv1844c	0.0128234038694941	undirected	NA	NA
Rv1486c	Rv2462c	0.0535366013380757	undirected	NA	NA
Rv1486c	Rv2471	0.0804879702834604	undirected	NA	NA
Rv1486c	Rv2804c	0.000493966464863717	undirected	NA	NA
Rv1486c	Rv2964	0.00478210732331419	undirected	NA	NA
