fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0055	Rv0184	0.0704019064891978	undirected	NA	NA
Rv0055	Rv0562	0.0999694625372898	undirected	NA	NA
Rv0055	Rv0872c	0.00135775096289388	undirected	NA	NA
Rv0055	Rv1051c	0.00618952835179464	undirected	NA	NA
Rv0055	Rv1252c	0.118035587318139	undirected	NA	NA
Rv0055	Rv1547	0.0892600685022341	undirected	NA	NA
Rv0055	Rv1595	0.0873634704897945	undirected	NA	NA
Rv0055	Rv2586c	0.022701982142029	undirected	NA	NA
Rv0055	Rv2697c	0.065657483321171	undirected	NA	NA
Rv0055	Rv2852c	0.0594635727533204	undirected	NA	NA
Rv0055	Rv2914c	0.0191768725880592	undirected	NA	NA
Rv0055	Rv3202c	0.00305247283172103	undirected	NA	NA
Rv0055	Rv3571	0.0029559594501132	undirected	NA	NA
Rv0055	Rv3763	0.00592877291808727	undirected	NA	NA
Rv0184	Rv0562	0.154244962947694	undirected	NA	NA
Rv0184	Rv0872c	0.00146412957446649	undirected	NA	NA
Rv0184	Rv1051c	0.00551110477269832	undirected	NA	NA
Rv0184	Rv1252c	0.0819126570587624	undirected	NA	NA
Rv0184	Rv1547	0.149424973919959	undirected	NA	NA
Rv0184	Rv1595	0.0706364619478836	undirected	NA	NA
Rv0184	Rv2586c	0.14080117015288	undirected	NA	NA
Rv0184	Rv2697c	0.0844774644398067	undirected	NA	NA
Rv0184	Rv2852c	0.0986792497408842	undirected	NA	NA
Rv0184	Rv2914c	0.0464514601258423	undirected	NA	NA
Rv0184	Rv3202c	0.00590303065834838	undirected	NA	NA
Rv0184	Rv3571	0.00477030610571836	undirected	NA	NA
Rv0184	Rv3763	0.00335726142772937	undirected	NA	NA
Rv0562	Rv0872c	0.00399532386164359	undirected	NA	NA
Rv0562	Rv1051c	0.0129304629489483	undirected	NA	NA
Rv0562	Rv1252c	0.101173012153819	undirected	NA	NA
Rv0562	Rv1547	0.163870493635853	undirected	NA	NA
Rv0562	Rv1595	0.095195948953349	undirected	NA	NA
Rv0562	Rv2586c	0.0950093622697582	undirected	NA	NA
Rv0562	Rv2697c	0.120994912358442	undirected	NA	NA
Rv0562	Rv2852c	0.10810587057457	undirected	NA	NA
Rv0562	Rv2914c	0.0517803708375259	undirected	NA	NA
Rv0562	Rv3202c	0.00731895803372361	undirected	NA	NA
Rv0562	Rv3571	0.0079930204914782	undirected	NA	NA
Rv0562	Rv3763	0.00535047252013922	undirected	NA	NA
Rv0872c	Rv1051c	0.196630791060255	undirected	NA	NA
Rv0872c	Rv1252c	0.0044723225195724	undirected	NA	NA
Rv0872c	Rv1547	0.00189399871610457	undirected	NA	NA
Rv0872c	Rv1595	0.00025608218613474	undirected	NA	NA
Rv0872c	Rv2586c	0.000206869591689062	undirected	NA	NA
Rv0872c	Rv2697c	0.0103281044537797	undirected	NA	NA
Rv0872c	Rv2852c	0.000757548307432964	undirected	NA	NA
Rv0872c	Rv2914c	8.27122112830113e-05	undirected	NA	NA
Rv0872c	Rv3202c	0.000923448110777302	undirected	NA	NA
Rv0872c	Rv3571	0.00113419233827847	undirected	NA	NA
Rv0872c	Rv3763	3.88590506771517e-05	undirected	NA	NA
Rv1051c	Rv1252c	0.0153724895080105	undirected	NA	NA
Rv1051c	Rv1547	0.00690222414754378	undirected	NA	NA
Rv1051c	Rv1595	0.00127026029458918	undirected	NA	NA
Rv1051c	Rv2586c	0.000950493439053005	undirected	NA	NA
Rv1051c	Rv2697c	0.0214465844021293	undirected	NA	NA
Rv1051c	Rv2852c	0.00427939387516005	undirected	NA	NA
Rv1051c	Rv2914c	0.000362938784895954	undirected	NA	NA
Rv1051c	Rv3202c	0.00110185767730314	undirected	NA	NA
Rv1051c	Rv3571	0.00417524574643443	undirected	NA	NA
Rv1051c	Rv3763	0.000104528155150757	undirected	NA	NA
Rv1252c	Rv1547	0.0944651672034469	undirected	NA	NA
Rv1252c	Rv1595	0.066204839032623	undirected	NA	NA
Rv1252c	Rv2586c	0.0388721416505747	undirected	NA	NA
Rv1252c	Rv2697c	0.144095478806144	undirected	NA	NA
Rv1252c	Rv2852c	0.0596698739409664	undirected	NA	NA
Rv1252c	Rv2914c	0.01663578427232	undirected	NA	NA
Rv1252c	Rv3202c	0.00452308244741902	undirected	NA	NA
Rv1252c	Rv3571	0.00640680152342895	undirected	NA	NA
Rv1252c	Rv3763	0.00687348573205464	undirected	NA	NA
Rv1547	Rv1595	0.0724615593381793	undirected	NA	NA
Rv1547	Rv2586c	0.114731205593942	undirected	NA	NA
Rv1547	Rv2697c	0.0950543751893397	undirected	NA	NA
Rv1547	Rv2852c	0.0977881828187588	undirected	NA	NA
Rv1547	Rv2914c	0.0576248939756456	undirected	NA	NA
Rv1547	Rv3202c	0.00646404553421927	undirected	NA	NA
Rv1547	Rv3571	0.00483964096946961	undirected	NA	NA
Rv1547	Rv3763	0.00288472214697441	undirected	NA	NA
Rv1595	Rv2586c	0.024143867393016	undirected	NA	NA
Rv1595	Rv2697c	0.0295495176477729	undirected	NA	NA
Rv1595	Rv2852c	0.0579074587667259	undirected	NA	NA
Rv1595	Rv2914c	0.0102632604522384	undirected	NA	NA
Rv1595	Rv3202c	0.000882779252504073	undirected	NA	NA
Rv1595	Rv3571	0.001668503110123	undirected	NA	NA
Rv1595	Rv3763	0.012371427699367	undirected	NA	NA
Rv2586c	Rv2697c	0.0207563369364614	undirected	NA	NA
Rv2586c	Rv2852c	0.0589201718711723	undirected	NA	NA
Rv2586c	Rv2914c	0.00546442079135093	undirected	NA	NA
Rv2586c	Rv3202c	0.000808853264305725	undirected	NA	NA
Rv2586c	Rv3571	0.00912261922321832	undirected	NA	NA
Rv2586c	Rv3763	0.00303218840516089	undirected	NA	NA
Rv2697c	Rv2852c	0.0518102280826863	undirected	NA	NA
Rv2697c	Rv2914c	0.00410590905400977	undirected	NA	NA
Rv2697c	Rv3202c	0.00537285857749733	undirected	NA	NA
Rv2697c	Rv3571	0.00775716863329922	undirected	NA	NA
Rv2697c	Rv3763	0.0042899765492672	undirected	NA	NA
Rv2852c	Rv2914c	0.0915783121293043	undirected	NA	NA
Rv2852c	Rv3202c	0.0040312822727048	undirected	NA	NA
Rv2852c	Rv3571	0.00331853942867723	undirected	NA	NA
Rv2852c	Rv3763	0.00188274158545124	undirected	NA	NA
Rv2914c	Rv3202c	0.000915499978938092	undirected	NA	NA
Rv2914c	Rv3571	0.000565968455058037	undirected	NA	NA
Rv2914c	Rv3763	0.000135080272728463	undirected	NA	NA
Rv3202c	Rv3571	0.000101776989868326	undirected	NA	NA
Rv3202c	Rv3763	1.6065487777736e-05	undirected	NA	NA
Rv3571	Rv3763	0.000428886296059582	undirected	NA	NA
