fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0001	Rv0026	0.00545081179381659	undirected	NA	NA
Rv0001	Rv0068	0.0107572096753103	undirected	NA	NA
Rv0001	Rv0074	0.00181420160475947	undirected	NA	NA
Rv0001	Rv0135c	0.000693764478841032	undirected	NA	NA
Rv0001	Rv0474	0.0331727470310521	undirected	NA	NA
Rv0001	Rv1134	0.0128109013021981	undirected	NA	NA
Rv0001	Rv1253	0.00123294036150752	undirected	NA	NA
Rv0001	Rv1311	0.0823311877015628	undirected	NA	NA
Rv0001	Rv1603	0.111694794814547	undirected	NA	NA
Rv0001	Rv1765c	0.00276542971924098	undirected	NA	NA
Rv0001	Rv1769	0.0289970164874029	undirected	NA	NA
Rv0001	Rv2015c	0.0312292270475637	undirected	NA	NA
Rv0001	Rv2207	0.00285354889811344	undirected	NA	NA
Rv0001	Rv2308	0.000170590990494544	undirected	NA	NA
Rv0001	Rv2423	0.0365337512064284	undirected	NA	NA
Rv0001	Rv2572c	3.10949210036171e-05	undirected	NA	NA
Rv0001	Rv2644c	0.00752258462578081	undirected	NA	NA
Rv0001	Rv2785c	0.0042494848277557	undirected	NA	NA
Rv0001	Rv2976c	0.00473119254608678	undirected	NA	NA
Rv0001	Rv3062	0.00150700888870313	undirected	NA	NA
Rv0001	Rv3070	0.00891626635013865	undirected	NA	NA
Rv0001	Rv3116	0.0101825638026595	undirected	NA	NA
Rv0001	Rv3209	0.0144791852533429	undirected	NA	NA
Rv0001	Rv3263	0.00544633967314134	undirected	NA	NA
Rv0001	Rv3301c	0.00223236044823264	undirected	NA	NA
Rv0001	Rv3451	0.00129486201961819	undirected	NA	NA
Rv0001	Rv3886c	0.00135178950438174	undirected	NA	NA
Rv0026	Rv0068	0.000446699479866739	undirected	NA	NA
Rv0026	Rv0074	0.0144917981473249	undirected	NA	NA
Rv0026	Rv0135c	5.87056922361634e-05	undirected	NA	NA
Rv0026	Rv0474	0.00255619305727083	undirected	NA	NA
Rv0026	Rv1134	0.000700395675687335	undirected	NA	NA
Rv0026	Rv1253	0.00374069203733814	undirected	NA	NA
Rv0026	Rv1311	0.0118101689789353	undirected	NA	NA
Rv0026	Rv1603	0.0147764039636438	undirected	NA	NA
Rv0026	Rv1765c	1.92318073767762e-05	undirected	NA	NA
Rv0026	Rv1769	0.0237107103451305	undirected	NA	NA
Rv0026	Rv2015c	0.00170444464882427	undirected	NA	NA
Rv0026	Rv2207	0.00429581726451997	undirected	NA	NA
Rv0026	Rv2308	3.25063698675455e-07	undirected	NA	NA
Rv0026	Rv2423	0.00708749773237184	undirected	NA	NA
Rv0026	Rv2572c	0.00103253427209101	undirected	NA	NA
Rv0026	Rv2644c	0.000636332185971398	undirected	NA	NA
Rv0026	Rv2785c	0.0634675553614214	undirected	NA	NA
Rv0026	Rv2976c	0.000162753378007159	undirected	NA	NA
Rv0026	Rv3062	0.000414744551363163	undirected	NA	NA
Rv0026	Rv3070	0.000361951434708339	undirected	NA	NA
Rv0026	Rv3116	0.0136915157280049	undirected	NA	NA
Rv0026	Rv3209	0.00147548601889269	undirected	NA	NA
Rv0026	Rv3263	9.08021610654807e-05	undirected	NA	NA
Rv0026	Rv3301c	4.4067454508174e-05	undirected	NA	NA
Rv0026	Rv3451	0.00169540103413728	undirected	NA	NA
Rv0026	Rv3886c	0.0259264499122883	undirected	NA	NA
Rv0068	Rv0074	9.50412516471113e-05	undirected	NA	NA
Rv0068	Rv0135c	0.0134824799277891	undirected	NA	NA
Rv0068	Rv0474	0.10130609287864	undirected	NA	NA
Rv0068	Rv1134	0.00149365420781084	undirected	NA	NA
Rv0068	Rv1253	0.000180882983984851	undirected	NA	NA
Rv0068	Rv1311	0.0246793792923866	undirected	NA	NA
Rv0068	Rv1603	0.0146260168815556	undirected	NA	NA
Rv0068	Rv1765c	0.0027986749622972	undirected	NA	NA
Rv0068	Rv1769	0.00761123181671966	undirected	NA	NA
Rv0068	Rv2015c	0.0247811479029402	undirected	NA	NA
Rv0068	Rv2207	0.000723350195625624	undirected	NA	NA
Rv0068	Rv2308	0.0106085608090417	undirected	NA	NA
Rv0068	Rv2423	0.00680269787731981	undirected	NA	NA
