fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0083	Rv0101	0.000289309847235095	undirected	NA	NA
Rv0083	Rv0308	0.00096655516894795	undirected	NA	NA
Rv0083	Rv0879c	0.00226189251068654	undirected	NA	NA
Rv0083	Rv1085c	0.00624368329256007	undirected	NA	NA
Rv0083	Rv1374c	0.00084090877973906	undirected	NA	NA
Rv0083	Rv1385	0.00204329691368323	undirected	NA	NA
Rv0083	Rv1661	0.0514880003846943	undirected	NA	NA
Rv0083	Rv1740	0.052234383096069	undirected	NA	NA
Rv0083	Rv1850	0.0111388984380658	undirected	NA	NA
Rv0083	Rv2081c	0.00335989227731599	undirected	NA	NA
Rv0083	Rv2490c	0.00155743926123744	undirected	NA	NA
Rv0083	Rv2849c	0.0103929943072931	undirected	NA	NA
Rv0083	Rv3236c	7.12054028009089e-05	undirected	NA	NA
Rv0083	Rv3308	0.00487871041499997	undirected	NA	NA
Rv0083	Rv3548c	0.0013230187973319	undirected	NA	NA
Rv0083	Rv3647c	0.00472549893955221	undirected	NA	NA
Rv0083	Rv3766	0.0152351009334142	undirected	NA	NA
Rv0101	Rv0308	0.00520343585256232	undirected	NA	NA
Rv0101	Rv0879c	0.00549474735067454	undirected	NA	NA
Rv0101	Rv1085c	0.0385781659272815	undirected	NA	NA
Rv0101	Rv1374c	0.00236442645745665	undirected	NA	NA
Rv0101	Rv1385	0.00543579978691184	undirected	NA	NA
Rv0101	Rv1661	0.010212289608428	undirected	NA	NA
Rv0101	Rv1740	0.0116939627166616	undirected	NA	NA
Rv0101	Rv1850	0.0444361701858689	undirected	NA	NA
Rv0101	Rv2081c	0.00205685405218324	undirected	NA	NA
Rv0101	Rv2490c	0.00350653776851111	undirected	NA	NA
Rv0101	Rv2849c	0.0233681193824566	undirected	NA	NA
Rv0101	Rv3236c	0.00167356539852433	undirected	NA	NA
Rv0101	Rv3308	0.00402001495830442	undirected	NA	NA
Rv0101	Rv3548c	0.00600599337564007	undirected	NA	NA
Rv0101	Rv3647c	0.0101302321934284	undirected	NA	NA
Rv0101	Rv3766	0.0396577180908703	undirected	NA	NA
Rv0308	Rv0879c	0.0217942785859226	undirected	NA	NA
Rv0308	Rv1085c	0.00810277002548465	undirected	NA	NA
Rv0308	Rv1374c	0.04662762912687	undirected	NA	NA
Rv0308	Rv1385	0.0583422232567257	undirected	NA	NA
Rv0308	Rv1661	0.00566676672106292	undirected	NA	NA
Rv0308	Rv1740	0.0139932605891177	undirected	NA	NA
Rv0308	Rv1850	0.028238051520446	undirected	NA	NA
Rv0308	Rv2081c	0.00356526269965077	undirected	NA	NA
Rv0308	Rv2490c	0.00855791778787708	undirected	NA	NA
Rv0308	Rv2849c	0.022539123249825	undirected	NA	NA
Rv0308	Rv3236c	0.000661537163883617	undirected	NA	NA
Rv0308	Rv3308	0.0028597529590698	undirected	NA	NA
Rv0308	Rv3548c	0.00853521109031849	undirected	NA	NA
Rv0308	Rv3647c	0.00953862902051816	undirected	NA	NA
Rv0308	Rv3766	0.0408104037796138	undirected	NA	NA
Rv0879c	Rv1085c	0.0458635938461708	undirected	NA	NA
Rv0879c	Rv1374c	0.0642819047217004	undirected	NA	NA
Rv0879c	Rv1385	0.138230779905364	undirected	NA	NA
Rv0879c	Rv1661	0.0223058489187421	undirected	NA	NA
Rv0879c	Rv1740	0.0292814960704083	undirected	NA	NA
Rv0879c	Rv1850	0.045233055354628	undirected	NA	NA
Rv0879c	Rv2081c	0.0200075650583027	undirected	NA	NA
Rv0879c	Rv2490c	0.0107102640490062	undirected	NA	NA
Rv0879c	Rv2849c	0.0402646816871099	undirected	NA	NA
Rv0879c	Rv3236c	0.00101589168084474	undirected	NA	NA
Rv0879c	Rv3308	0.0191147716230754	undirected	NA	NA
Rv0879c	Rv3548c	0.0168139276721578	undirected	NA	NA
Rv0879c	Rv3647c	0.0353249453024621	undirected	NA	NA
Rv0879c	Rv3766	0.0259472603254635	undirected	NA	NA
Rv1085c	Rv1374c	0.010836913411982	undirected	NA	NA
Rv1085c	Rv1385	0.0284368338135062	undirected	NA	NA
Rv1085c	Rv1661	0.0669329956437158	undirected	NA	NA
Rv1085c	Rv1740	0.0476980394805843	undirected	NA	NA
Rv1085c	Rv1850	0.0786689886893954	undirected	NA	NA
Rv1085c	Rv2081c	0.0146520495021247	undirected	NA	NA
Rv1085c	Rv2490c	0.00697323409645484	undirected	NA	NA
Rv1085c	Rv2849c	0.0547261274255061	undirected	NA	NA
Rv1085c	Rv3236c	0.00254639531325754	undirected	NA	NA
Rv1085c	Rv3308	0.0201707777069439	undirected	NA	NA
Rv1085c	Rv3548c	0.0167338447849851	undirected	NA	NA
Rv1085c	Rv3647c	0.0343649241986911	undirected	NA	NA
Rv1085c	Rv3766	0.0459838325106349	undirected	NA	NA
Rv1374c	Rv1385	0.158048428826141	undirected	NA	NA
Rv1374c	Rv1661	0.00721584880916458	undirected	NA	NA
Rv1374c	Rv1740	0.0167000130056145	undirected	NA	NA
Rv1374c	Rv1850	0.045695898153907	undirected	NA	NA
Rv1374c	Rv2081c	0.0198583149409672	undirected	NA	NA
Rv1374c	Rv2490c	0.0291152672922471	undirected	NA	NA
Rv1374c	Rv2849c	0.0138403464605311	undirected	NA	NA
Rv1374c	Rv3236c	0.00267374373584426	undirected	NA	NA
Rv1374c	Rv3308	0.0180354338405603	undirected	NA	NA
Rv1374c	Rv3548c	0.0484843782708231	undirected	NA	NA
Rv1374c	Rv3647c	0.0432536327358499	undirected	NA	NA
Rv1374c	Rv3766	0.033772592981599	undirected	NA	NA
Rv1385	Rv1661	0.0159424305043872	undirected	NA	NA
Rv1385	Rv1740	0.0287809403479702	undirected	NA	NA
Rv1385	Rv1850	0.0569187209326228	undirected	NA	NA
Rv1385	Rv2081c	0.0229278781579819	undirected	NA	NA
Rv1385	Rv2490c	0.0244780650187423	undirected	NA	NA
Rv1385	Rv2849c	0.0315307384799239	undirected	NA	NA
Rv1385	Rv3236c	0.00183714470696825	undirected	NA	NA
Rv1385	Rv3308	0.0183392896508501	undirected	NA	NA
Rv1385	Rv3548c	0.0334497173793726	undirected	NA	NA
Rv1385	Rv3647c	0.0437585622008061	undirected	NA	NA
Rv1385	Rv3766	0.0472887573581478	undirected	NA	NA
Rv1661	Rv1740	0.148602857639579	undirected	NA	NA
Rv1661	Rv1850	0.0504662506458447	undirected	NA	NA
Rv1661	Rv2081c	0.0170563426267536	undirected	NA	NA
Rv1661	Rv2490c	0.00857401371631377	undirected	NA	NA
Rv1661	Rv2849c	0.0561817550434926	undirected	NA	NA
