fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0043c	Rv0331	0.00999029850407253	undirected	NA	NA
Rv0043c	Rv0398c	0.00238728707301225	undirected	NA	NA
Rv0043c	Rv0458	0.0453271393201571	undirected	NA	NA
Rv0043c	Rv0503c	0.0779850350958399	undirected	NA	NA
Rv0043c	Rv0629c	0.0401501119606272	undirected	NA	NA
Rv0043c	Rv0899	0.000334188083097824	undirected	NA	NA
Rv0043c	Rv1083	0.00444786918254981	undirected	NA	NA
Rv0043c	Rv1101c	0.00554254953479101	undirected	NA	NA
Rv0043c	Rv1136	0.0183647684432796	undirected	NA	NA
Rv0043c	Rv1343c	0.00523984222891381	undirected	NA	NA
Rv0043c	Rv1616	0.0104177627060164	undirected	NA	NA
Rv0043c	Rv1811	0.00101853618608597	undirected	NA	NA
Rv0043c	Rv1978	0.0287268284472069	undirected	NA	NA
Rv0043c	Rv2096c	0.00016736249844188	undirected	NA	NA
Rv0043c	Rv2256c	0.0278158619038384	undirected	NA	NA
Rv0043c	Rv2432c	0.000493165763775554	undirected	NA	NA
Rv0043c	Rv2452c	0.026141572860985	undirected	NA	NA
Rv0043c	Rv2760c	0.000339952379803189	undirected	NA	NA
Rv0043c	Rv3159c	0.00736479953012068	undirected	NA	NA
Rv0043c	Rv3257c	0.00610705455074375	undirected	NA	NA
Rv0043c	Rv3779	0.00563824211239596	undirected	NA	NA
Rv0331	Rv0398c	0.000375401281153968	undirected	NA	NA
Rv0331	Rv0458	0.0486255212552854	undirected	NA	NA
Rv0331	Rv0503c	0.01915104005411	undirected	NA	NA
Rv0331	Rv0629c	0.0212426691113725	undirected	NA	NA
Rv0331	Rv0899	0.000166758045530566	undirected	NA	NA
Rv0331	Rv1083	0.0413431826896158	undirected	NA	NA
Rv0331	Rv1101c	0.0062235427384196	undirected	NA	NA
Rv0331	Rv1136	0.00871900997112163	undirected	NA	NA
Rv0331	Rv1343c	0.00518126572107502	undirected	NA	NA
Rv0331	Rv1616	0.0091220130906912	undirected	NA	NA
Rv0331	Rv1811	0.00177660463216679	undirected	NA	NA
