fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0280	Rv0312	0.000235772116009232	undirected	NA	NA
Rv0280	Rv1387	0.0407478488523542	undirected	NA	NA
Rv0280	Rv1602	0.048560345176767	undirected	NA	NA
Rv0280	Rv1833c	0.00474644078181475	undirected	NA	NA
Rv0280	Rv2425c	0.00524146628338237	undirected	NA	NA
Rv0280	Rv2624c	0.0174657208043846	undirected	NA	NA
Rv0280	Rv2885c	0.000432617368003827	undirected	NA	NA
Rv0280	Rv2990c	0.114208088050901	undirected	NA	NA
Rv0280	Rv3108	0.230488262983552	undirected	NA	NA
Rv0280	Rv3226c	0.0103809689928066	undirected	NA	NA
Rv0312	Rv1387	0.00979714991868025	undirected	NA	NA
Rv0312	Rv1602	7.90900859572555e-05	undirected	NA	NA
Rv0312	Rv1833c	0.0117429780665217	undirected	NA	NA
Rv0312	Rv2425c	0.00604140871815951	undirected	NA	NA
Rv0312	Rv2624c	9.99444071022856e-07	undirected	NA	NA
Rv0312	Rv2885c	0.0287832718785324	undirected	NA	NA
Rv0312	Rv2990c	5.46234658061458e-05	undirected	NA	NA
Rv0312	Rv3108	0.00130753308186717	undirected	NA	NA
Rv0312	Rv3226c	0.00312300319946783	undirected	NA	NA
Rv1387	Rv1602	0.00600235580309011	undirected	NA	NA
Rv1387	Rv1833c	0.0765060377195607	undirected	NA	NA
Rv1387	Rv2425c	0.0157211687849517	undirected	NA	NA
Rv1387	Rv2624c	0.00122138156316226	undirected	NA	NA
Rv1387	Rv2885c	0.0172107628526629	undirected	NA	NA
Rv1387	Rv2990c	0.00784548916559782	undirected	NA	NA
Rv1387	Rv3108	0.0692058242275868	undirected	NA	NA
Rv1387	Rv3226c	0.0954038545465686	undirected	NA	NA
Rv1602	Rv1833c	0.00158675387609546	undirected	NA	NA
Rv1602	Rv2425c	0.00671942958167945	undirected	NA	NA
Rv1602	Rv2624c	0.000997475497625753	undirected	NA	NA
Rv1602	Rv2885c	0.000216872140380608	undirected	NA	NA
Rv1602	Rv2990c	0.0328517126788069	undirected	NA	NA
Rv1602	Rv3108	0.0389133879814841	undirected	NA	NA
Rv1602	Rv3226c	0.00254149265525071	undirected	NA	NA
Rv1833c	Rv2425c	0.0379305997041577	undirected	NA	NA
Rv1833c	Rv2624c	6.86064305750566e-05	undirected	NA	NA
Rv1833c	Rv2885c	0.0202364499299844	undirected	NA	NA
Rv1833c	Rv2990c	0.00140748073323916	undirected	NA	NA
Rv1833c	Rv3108	0.0172345013270672	undirected	NA	NA
Rv1833c	Rv3226c	0.0402458728703691	undirected	NA	NA
Rv2425c	Rv2624c	8.10440057976207e-05	undirected	NA	NA
Rv2425c	Rv2885c	0.00300788243103833	undirected	NA	NA
Rv2425c	Rv2990c	0.00196385223560087	undirected	NA	NA
Rv2425c	Rv3108	0.00572070749535025	undirected	NA	NA
Rv2425c	Rv3226c	0.0047252553257363	undirected	NA	NA
Rv2624c	Rv2885c	7.24307005191082e-06	undirected	NA	NA
Rv2624c	Rv2990c	0.00331561387578742	undirected	NA	NA
Rv2624c	Rv3108	0.0110273926421726	undirected	NA	NA
Rv2624c	Rv3226c	0.000231260719033768	undirected	NA	NA
Rv2885c	Rv2990c	0.000169653850991049	undirected	NA	NA
Rv2885c	Rv3108	0.00322143750424727	undirected	NA	NA
Rv2885c	Rv3226c	0.0205194744092536	undirected	NA	NA
Rv2990c	Rv3108	0.049219794887756	undirected	NA	NA
Rv2990c	Rv3226c	0.00312514303330584	undirected	NA	NA
Rv3108	Rv3226c	0.0342119960763409	undirected	NA	NA
