fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0425c	Rv0787	0.0135195699214992	undirected	NA	NA
Rv0425c	Rv1324	0.0188231897125984	undirected	NA	NA
Rv0425c	Rv1361c	0.0646590219501521	undirected	NA	NA
Rv0425c	Rv1779c	0.104286337810551	undirected	NA	NA
Rv0425c	Rv1992c	0.00492637176483397	undirected	NA	NA
Rv0425c	Rv2459	0.024801997913236	undirected	NA	NA
Rv0425c	Rv2941	0.0984753148402568	undirected	NA	NA
Rv0425c	Rv3208	0.157860600308848	undirected	NA	NA
Rv0425c	Rv3210c	0.133672969106235	undirected	NA	NA
Rv0425c	Rv3219	0.091680883518016	undirected	NA	NA
Rv0425c	Rv3663c	0.0679850708590207	undirected	NA	NA
Rv0425c	Rv3679	0.154813073351658	undirected	NA	NA
Rv0425c	Rv3754	0.017624309286358	undirected	NA	NA
Rv0425c	Rv3841	0.1260154024356	undirected	NA	NA
Rv0787	Rv1324	0.00122537968375846	undirected	NA	NA
Rv0787	Rv1361c	0.0130933720854144	undirected	NA	NA
Rv0787	Rv1779c	0.0136795682815065	undirected	NA	NA
Rv0787	Rv1992c	0.00161873308573106	undirected	NA	NA
Rv0787	Rv2459	0.00274062035180094	undirected	NA	NA
Rv0787	Rv2941	0.0173970341997865	undirected	NA	NA
Rv0787	Rv3208	0.0204547517072701	undirected	NA	NA
Rv0787	Rv3210c	0.0247627437070949	undirected	NA	NA
Rv0787	Rv3219	0.0131774753731237	undirected	NA	NA
Rv0787	Rv3663c	0.00715630426753068	undirected	NA	NA
Rv0787	Rv3679	0.00928311974058632	undirected	NA	NA
Rv0787	Rv3754	0.000477034955359401	undirected	NA	NA
Rv0787	Rv3841	0.00522026577007175	undirected	NA	NA
Rv1324	Rv1361c	0.00486871677731967	undirected	NA	NA
Rv1324	Rv1779c	0.0303392148417073	undirected	NA	NA
Rv1324	Rv1992c	0.000321579238421581	undirected	NA	NA
Rv1324	Rv2459	0.000499291982412551	undirected	NA	NA
Rv1324	Rv2941	0.0237380556538526	undirected	NA	NA
Rv1324	Rv3208	0.0341462798220492	undirected	NA	NA
Rv1324	Rv3210c	0.0366929047001038	undirected	NA	NA
Rv1324	Rv3219	0.0391564856424427	undirected	NA	NA
Rv1324	Rv3663c	0.00844850400953432	undirected	NA	NA
Rv1324	Rv3679	0.0092614434357292	undirected	NA	NA
Rv1324	Rv3754	0.0558704479988923	undirected	NA	NA
Rv1324	Rv3841	0.0173002397219103	undirected	NA	NA
Rv1361c	Rv1779c	0.0832582585298523	undirected	NA	NA
Rv1361c	Rv1992c	0.000869099224172804	undirected	NA	NA
Rv1361c	Rv2459	0.0238531315605245	undirected	NA	NA
Rv1361c	Rv2941	0.110715796688396	undirected	NA	NA
Rv1361c	Rv3208	0.0430866727043775	undirected	NA	NA
Rv1361c	Rv3210c	0.0754358301890953	undirected	NA	NA
Rv1361c	Rv3219	0.0818570731616181	undirected	NA	NA
Rv1361c	Rv3663c	0.0883442898741686	undirected	NA	NA
Rv1361c	Rv3679	0.027221875898084	undirected	NA	NA
Rv1361c	Rv3754	0.00694449196883232	undirected	NA	NA
Rv1361c	Rv3841	0.0446194042298482	undirected	NA	NA
Rv1779c	Rv1992c	0.0017471036363545	undirected	NA	NA
Rv1779c	Rv2459	0.0307320151067778	undirected	NA	NA
Rv1779c	Rv2941	0.0977287700471193	undirected	NA	NA
Rv1779c	Rv3208	0.0868832640487894	undirected	NA	NA
Rv1779c	Rv3210c	0.113171357114718	undirected	NA	NA
Rv1779c	Rv3219	0.146374240912603	undirected	NA	NA
Rv1779c	Rv3663c	0.0891523148456423	undirected	NA	NA
Rv1779c	Rv3679	0.0486617826456721	undirected	NA	NA
Rv1779c	Rv3754	0.0194402030558111	undirected	NA	NA
Rv1779c	Rv3841	0.0600529507280524	undirected	NA	NA
Rv1992c	Rv2459	0.000359783368328407	undirected	NA	NA
Rv1992c	Rv2941	0.005631898431139	undirected	NA	NA
Rv1992c	Rv3208	0.00883111249543927	undirected	NA	NA
Rv1992c	Rv3210c	0.00662340422867866	undirected	NA	NA
Rv1992c	Rv3219	0.00491211848687604	undirected	NA	NA
Rv1992c	Rv3663c	0.00136181641726771	undirected	NA	NA
Rv1992c	Rv3679	0.00520845570357776	undirected	NA	NA
Rv1992c	Rv3754	7.94576242183967e-05	undirected	NA	NA
Rv1992c	Rv3841	0.0022460928368421	undirected	NA	NA
Rv2459	Rv2941	0.0286858918576316	undirected	NA	NA
Rv2459	Rv3208	0.0105399940695267	undirected	NA	NA
Rv2459	Rv3210c	0.0201754582047817	undirected	NA	NA
Rv2459	Rv3219	0.0333114779716068	undirected	NA	NA
Rv2459	Rv3663c	0.0315028141034871	undirected	NA	NA
Rv2459	Rv3679	0.00568405494433545	undirected	NA	NA
Rv2459	Rv3754	0.000209725686600977	undirected	NA	NA
Rv2459	Rv3841	0.0102705000724455	undirected	NA	NA
Rv2941	Rv3208	0.139207338432445	undirected	NA	NA
Rv2941	Rv3210c	0.121516285602177	undirected	NA	NA
Rv2941	Rv3219	0.12537903024422	undirected	NA	NA
Rv2941	Rv3663c	0.152800785875474	undirected	NA	NA
Rv2941	Rv3679	0.106446977366801	undirected	NA	NA
Rv2941	Rv3754	0.0173979931568197	undirected	NA	NA
Rv2941	Rv3841	0.0994240171341379	undirected	NA	NA
Rv3208	Rv3210c	0.195080460812622	undirected	NA	NA
Rv3208	Rv3219	0.112364584130858	undirected	NA	NA
Rv3208	Rv3663c	0.0455548869104664	undirected	NA	NA
Rv3208	Rv3679	0.16546919818941	undirected	NA	NA
Rv3208	Rv3754	0.0245302391512905	undirected	NA	NA
Rv3208	Rv3841	0.0859464075750081	undirected	NA	NA
Rv3210c	Rv3219	0.116685256912543	undirected	NA	NA
Rv3210c	Rv3663c	0.0653165083962701	undirected	NA	NA
Rv3210c	Rv3679	0.147928331934085	undirected	NA	NA
Rv3210c	Rv3754	0.0309912894569515	undirected	NA	NA
Rv3210c	Rv3841	0.0743490371751711	undirected	NA	NA
Rv3219	Rv3663c	0.142557275554979	undirected	NA	NA
Rv3219	Rv3679	0.0650606849074963	undirected	NA	NA
Rv3219	Rv3754	0.0169418240182732	undirected	NA	NA
Rv3219	Rv3841	0.101710204626581	undirected	NA	NA
Rv3663c	Rv3679	0.0278799901818218	undirected	NA	NA
Rv3663c	Rv3754	0.00557938855953875	undirected	NA	NA
Rv3663c	Rv3841	0.0660798818104545	undirected	NA	NA
Rv3679	Rv3754	0.00805851252345835	undirected	NA	NA
Rv3679	Rv3841	0.0638410038714124	undirected	NA	NA
Rv3754	Rv3841	0.0127096062215434	undirected	NA	NA
