fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0292	Rv0556	0.013495301984768	undirected	NA	NA
Rv0292	Rv0592	0.0146598421679337	undirected	NA	NA
Rv0292	Rv0620	0.0155425077387179	undirected	NA	NA
Rv0292	Rv0816c	0.0157346054928845	undirected	NA	NA
Rv0292	Rv0884c	0.014563928412686	undirected	NA	NA
Rv0292	Rv0890c	0.0296953068033311	undirected	NA	NA
Rv0292	Rv0946c	0.0321531896696831	undirected	NA	NA
Rv0292	Rv1016c	0.110375490387739	undirected	NA	NA
Rv0292	Rv1151c	0.0261673294052874	undirected	NA	NA
Rv0292	Rv1162	0.0719632684252787	undirected	NA	NA
Rv0292	Rv1165	0.0272396755939597	undirected	NA	NA
Rv0292	Rv1259	0.0129994861081617	undirected	NA	NA
Rv0292	Rv1342c	0.127881375629548	undirected	NA	NA
Rv0292	Rv1413	0.00348179874185412	undirected	NA	NA
Rv0292	Rv1439c	0.0301466678583666	undirected	NA	NA
Rv0292	Rv1443c	0.00236761387386003	undirected	NA	NA
Rv0292	Rv1580c	0.00257100456629944	undirected	NA	NA
Rv0292	Rv1582c	0.0427247567321082	undirected	NA	NA
Rv0292	Rv1785c	0.00726453782426826	undirected	NA	NA
Rv0292	Rv1983	0.00458450967376818	undirected	NA	NA
Rv0292	Rv2045c	0.0574340467917439	undirected	NA	NA
Rv0292	Rv2073c	0.018661553101506	undirected	NA	NA
Rv0292	Rv2092c	0.0258754964042555	undirected	NA	NA
Rv0292	Rv2135c	0.00311324278009223	undirected	NA	NA
Rv0292	Rv2156c	0.0588470125110835	undirected	NA	NA
Rv0292	Rv2378c	0.101698407260657	undirected	NA	NA
Rv0292	Rv2379c	0.113518449533278	undirected	NA	NA
Rv0292	Rv2518c	0.0539416828877217	undirected	NA	NA
Rv0292	Rv2551c	0.000274792296733661	undirected	NA	NA
Rv0292	Rv2600	0.0172419283342925	undirected	NA	NA
Rv0292	Rv2601	0.0199394931068382	undirected	NA	NA
