fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0039c	Rv0638	0.017968651950095	undirected	NA	NA
Rv0039c	Rv0639	0.00542962456633666	undirected	NA	NA
Rv0039c	Rv0640	0.0550779154272488	undirected	NA	NA
Rv0039c	Rv0974c	0.0108700730966917	undirected	NA	NA
Rv0039c	Rv1586c	0.0453964685058442	undirected	NA	NA
Rv0039c	Rv1806	0.0791511384104756	undirected	NA	NA
Rv0039c	Rv2025c	0.00649972596000134	undirected	NA	NA
Rv0039c	Rv2322c	0.0831379965218821	undirected	NA	NA
Rv0039c	Rv2679	0.0382810919625499	undirected	NA	NA
Rv0039c	Rv2686c	7.06728561397536e-05	undirected	NA	NA
Rv0039c	Rv3176c	0.0226190527084606	undirected	NA	NA
Rv0039c	Rv3649	0.0628685382340553	undirected	NA	NA
Rv0638	Rv0639	0.0261372397135105	undirected	NA	NA
Rv0638	Rv0640	0.0822432141489215	undirected	NA	NA
Rv0638	Rv0974c	0.0133008445545064	undirected	NA	NA
Rv0638	Rv1586c	0.0167551157522065	undirected	NA	NA
Rv0638	Rv1806	0.0501820017462747	undirected	NA	NA
Rv0638	Rv2025c	0.00662963137600956	undirected	NA	NA
Rv0638	Rv2322c	0.0475167286556457	undirected	NA	NA
Rv0638	Rv2679	0.0264589420268902	undirected	NA	NA
Rv0638	Rv2686c	0.00019729759842493	undirected	NA	NA
Rv0638	Rv3176c	0.0350142093967123	undirected	NA	NA
Rv0638	Rv3649	0.0125329359198391	undirected	NA	NA
Rv0639	Rv0640	0.0702436732898228	undirected	NA	NA
Rv0639	Rv0974c	0.0187299346832918	undirected	NA	NA
Rv0639	Rv1586c	0.0249988503228215	undirected	NA	NA
Rv0639	Rv1806	0.060279296033007	undirected	NA	NA
Rv0639	Rv2025c	0.00332938912920482	undirected	NA	NA
Rv0639	Rv2322c	0.0275177960995059	undirected	NA	NA
Rv0639	Rv2679	0.0151624582671251	undirected	NA	NA
Rv0639	Rv2686c	0.000115260016243628	undirected	NA	NA
Rv0639	Rv3176c	0.0956290921310991	undirected	NA	NA
Rv0639	Rv3649	0.00776254137480654	undirected	NA	NA
Rv0640	Rv0974c	0.0972018990367461	undirected	NA	NA
Rv0640	Rv1586c	0.0962664721724905	undirected	NA	NA
Rv0640	Rv1806	0.115186731056116	undirected	NA	NA
Rv0640	Rv2025c	0.0389213396196764	undirected	NA	NA
Rv0640	Rv2322c	0.165004437253778	undirected	NA	NA
Rv0640	Rv2679	0.103497617979733	undirected	NA	NA
Rv0640	Rv2686c	0.00146618136382281	undirected	NA	NA
Rv0640	Rv3176c	0.154286779884224	undirected	NA	NA
Rv0640	Rv3649	0.0646700175756576	undirected	NA	NA
Rv0974c	Rv1586c	0.0442860810495217	undirected	NA	NA
Rv0974c	Rv1806	0.0686046819145311	undirected	NA	NA
Rv0974c	Rv2025c	0.0226902390302609	undirected	NA	NA
Rv0974c	Rv2322c	0.0808647898839353	undirected	NA	NA
Rv0974c	Rv2679	0.0547333489971477	undirected	NA	NA
Rv0974c	Rv2686c	0.00768552963564942	undirected	NA	NA
Rv0974c	Rv3176c	0.0884328266243911	undirected	NA	NA
Rv0974c	Rv3649	0.0200894233003039	undirected	NA	NA
Rv1586c	Rv1806	0.14252659225395	undirected	NA	NA
Rv1586c	Rv2025c	0.0479703105519497	undirected	NA	NA
Rv1586c	Rv2322c	0.108877778147775	undirected	NA	NA
Rv1586c	Rv2679	0.0851372736266462	undirected	NA	NA
Rv1586c	Rv2686c	0.000794113869634049	undirected	NA	NA
Rv1586c	Rv3176c	0.0891081602906514	undirected	NA	NA
Rv1586c	Rv3649	0.0579518944425834	undirected	NA	NA
Rv1806	Rv2025c	0.0344974551237067	undirected	NA	NA
Rv1806	Rv2322c	0.159920370437021	undirected	NA	NA
Rv1806	Rv2679	0.0807047744697233	undirected	NA	NA
Rv1806	Rv2686c	0.00110235126194824	undirected	NA	NA
Rv1806	Rv3176c	0.129093384622886	undirected	NA	NA
Rv1806	Rv3649	0.131378039600704	undirected	NA	NA
Rv2025c	Rv2322c	0.0932019494645382	undirected	NA	NA
Rv2025c	Rv2679	0.0814039449698976	undirected	NA	NA
Rv2025c	Rv2686c	0.015690026022935	undirected	NA	NA
Rv2025c	Rv3176c	0.0180901526625693	undirected	NA	NA
Rv2025c	Rv3649	0.00796466797925208	undirected	NA	NA
Rv2322c	Rv2679	0.15620922994713	undirected	NA	NA
Rv2322c	Rv2686c	0.00208204919197174	undirected	NA	NA
Rv2322c	Rv3176c	0.105638137647188	undirected	NA	NA
Rv2322c	Rv3649	0.0785034123824923	undirected	NA	NA
Rv2679	Rv2686c	0.00195139268556906	undirected	NA	NA
Rv2679	Rv3176c	0.0683488006180949	undirected	NA	NA
Rv2679	Rv3649	0.0346222343928866	undirected	NA	NA
Rv2686c	Rv3176c	0.0014177535049642	undirected	NA	NA
Rv2686c	Rv3649	0.000222198593438814	undirected	NA	NA
Rv3176c	Rv3649	0.0372852604894591	undirected	NA	NA
