fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0010c	Rv0057	0.00243191592706825	undirected	NA	NA
Rv0010c	Rv0059	0.000790831133873824	undirected	NA	NA
Rv0010c	Rv0230c	3.53807350329942e-05	undirected	NA	NA
Rv0010c	Rv0608	0.00119225302785043	undirected	NA	NA
Rv0010c	Rv0710	1.32726959020485e-05	undirected	NA	NA
Rv0010c	Rv0920c	1.49115551159791e-07	undirected	NA	NA
Rv0010c	Rv1095	0.000146344858190546	undirected	NA	NA
Rv0010c	Rv1634	0.00623079902736379	undirected	NA	NA
Rv0010c	Rv1807	2.06645861861343e-05	undirected	NA	NA
Rv0010c	Rv1921c	0.00150392882340452	undirected	NA	NA
Rv0010c	Rv2040c	0.0542514471051265	undirected	NA	NA
Rv0010c	Rv2481c	0.00221454304334036	undirected	NA	NA
Rv0010c	Rv2619c	0.000869348266019508	undirected	NA	NA
Rv0010c	Rv2789c	0.0309834843830463	undirected	NA	NA
Rv0010c	Rv2792c	0.00926185947428519	undirected	NA	NA
Rv0010c	Rv2931	0.00832791801308706	undirected	NA	NA
Rv0010c	Rv2942	0.00386325381516786	undirected	NA	NA
Rv0010c	Rv3037c	0.000224472076177371	undirected	NA	NA
Rv0010c	Rv3239c	0.000815500237257791	undirected	NA	NA
Rv0010c	Rv3398c	1.80742593964672e-05	undirected	NA	NA
Rv0010c	Rv3434c	0.000324870137373263	undirected	NA	NA
Rv0010c	Rv3756c	0.00349345437647023	undirected	NA	NA
Rv0010c	Rv3812	0.0031361770419513	undirected	NA	NA
Rv0010c	Rv3839	0.00729037046781234	undirected	NA	NA
Rv0057	Rv0059	0.00182106937916328	undirected	NA	NA
Rv0057	Rv0230c	0.0103465050251758	undirected	NA	NA
Rv0057	Rv0608	0.00188735465472396	undirected	NA	NA
Rv0057	Rv0710	0.00732473528883955	undirected	NA	NA
Rv0057	Rv0920c	1.17913963685167e-05	undirected	NA	NA
Rv0057	Rv1095	0.0166819635046583	undirected	NA	NA
Rv0057	Rv1634	0.0192888135796348	undirected	NA	NA
Rv0057	Rv1807	2.24052690893208e-05	undirected	NA	NA
Rv0057	Rv1921c	0.00423917609274543	undirected	NA	NA
Rv0057	Rv2040c	0.0157201857086609	undirected	NA	NA
Rv0057	Rv2481c	0.00165787755473212	undirected	NA	NA
Rv0057	Rv2619c	0.000618823304841131	undirected	NA	NA
Rv0057	Rv2789c	0.0666801880841721	undirected	NA	NA
Rv0057	Rv2792c	0.103382844917725	undirected	NA	NA
Rv0057	Rv2931	0.0111376453239759	undirected	NA	NA
Rv0057	Rv2942	0.0152541813082303	undirected	NA	NA
Rv0057	Rv3037c	0.0726526126809715	undirected	NA	NA
Rv0057	Rv3239c	0.000327329957415544	undirected	NA	NA
Rv0057	Rv3398c	0.000805155510858431	undirected	NA	NA
Rv0057	Rv3434c	0.000297828384791089	undirected	NA	NA
Rv0057	Rv3756c	0.0025059721077084	undirected	NA	NA
Rv0057	Rv3812	0.00692450441184544	undirected	NA	NA
Rv0057	Rv3839	0.0165493445939599	undirected	NA	NA
Rv0059	Rv0230c	0.0001931521008913	undirected	NA	NA
Rv0059	Rv0608	0.00553255695690723	undirected	NA	NA
Rv0059	Rv0710	0.000443369295514416	undirected	NA	NA
Rv0059	Rv0920c	7.2970275874577e-10	undirected	NA	NA
Rv0059	Rv1095	0.000199881996491504	undirected	NA	NA
Rv0059	Rv1634	0.012982171555959	undirected	NA	NA
Rv0059	Rv1807	0.000755383035383033	undirected	NA	NA
Rv0059	Rv1921c	0.000540244711310387	undirected	NA	NA
Rv0059	Rv2040c	0.00353796937495868	undirected	NA	NA
Rv0059	Rv2481c	0.00741520473479198	undirected	NA	NA
Rv0059	Rv2619c	0.00884622747884767	undirected	NA	NA
Rv0059	Rv2789c	0.0190867053257076	undirected	NA	NA
Rv0059	Rv2792c	0.00194700066994987	undirected	NA	NA
Rv0059	Rv2931	0.0309018918290818	undirected	NA	NA
Rv0059	Rv2942	0.0552889392014526	undirected	NA	NA
Rv0059	Rv3037c	0.000139430266352301	undirected	NA	NA
Rv0059	Rv3239c	0.00536733694114888	undirected	NA	NA
Rv0059	Rv3398c	1.29616467860682e-06	undirected	NA	NA
Rv0059	Rv3434c	0.215033499976598	undirected	NA	NA
Rv0059	Rv3756c	0.0280024287348702	undirected	NA	NA
Rv0059	Rv3812	0.0765778048728568	undirected	NA	NA
Rv0059	Rv3839	0.000132926085764771	undirected	NA	NA
Rv0230c	Rv0608	3.75135565722121e-05	undirected	NA	NA
Rv0230c	Rv0710	0.000807573816344547	undirected	NA	NA
Rv0230c	Rv0920c	6.06004741690886e-06	undirected	NA	NA
Rv0230c	Rv1095	0.136156563008794	undirected	NA	NA
Rv0230c	Rv1634	0.0062981553967622	undirected	NA	NA
Rv0230c	Rv1807	1.04891453340223e-06	undirected	NA	NA
Rv0230c	Rv1921c	2.7095596937491e-05	undirected	NA	NA
Rv0230c	Rv2040c	0.000221827968659007	undirected	NA	NA
Rv0230c	Rv2481c	4.71012101119269e-05	undirected	NA	NA
Rv0230c	Rv2619c	4.5995591974397e-06	undirected	NA	NA
Rv0230c	Rv2789c	0.00202798908449437	undirected	NA	NA
Rv0230c	Rv2792c	0.00255976375405582	undirected	NA	NA
Rv0230c	Rv2931	0.000550881857349822	undirected	NA	NA
Rv0230c	Rv2942	0.00202249640152253	undirected	NA	NA
Rv0230c	Rv3037c	0.0582033375107954	undirected	NA	NA
Rv0230c	Rv3239c	5.17669921736413e-06	undirected	NA	NA
Rv0230c	Rv3398c	0.00367756213794608	undirected	NA	NA
Rv0230c	Rv3434c	1.81264256262498e-05	undirected	NA	NA
Rv0230c	Rv3756c	3.87478822649928e-05	undirected	NA	NA
Rv0230c	Rv3812	0.000174208220510856	undirected	NA	NA
Rv0230c	Rv3839	0.000113812845681603	undirected	NA	NA
Rv0608	Rv0710	0.00103739793866896	undirected	NA	NA
Rv0608	Rv0920c	1.23468861605587e-06	undirected	NA	NA
Rv0608	Rv1095	0.000215215936070688	undirected	NA	NA
Rv0608	Rv1634	0.00453994290947788	undirected	NA	NA
Rv0608	Rv1807	1.14537813035709e-05	undirected	NA	NA
Rv0608	Rv1921c	0.000244672595124423	undirected	NA	NA
Rv0608	Rv2040c	0.0125154716118361	undirected	NA	NA
Rv0608	Rv2481c	0.000795980842614178	undirected	NA	NA
Rv0608	Rv2619c	0.000934376261828317	undirected	NA	NA
Rv0608	Rv2789c	0.0393099869114512	undirected	NA	NA
Rv0608	Rv2792c	0.00684159293112541	undirected	NA	NA
Rv0608	Rv2931	0.044426734804259	undirected	NA	NA
Rv0608	Rv2942	0.0142543775011603	undirected	NA	NA
Rv0608	Rv3037c	0.000133566153488512	undirected	NA	NA
Rv0608	Rv3239c	0.000116430646541902	undirected	NA	NA
Rv0608	Rv3398c	6.50172218178812e-06	undirected	NA	NA
Rv0608	Rv3434c	0.00273445721140775	undirected	NA	NA
