fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0109	Rv0150c	0.00394885698836827	undirected	NA	NA
Rv0109	Rv0180c	0.0120170630386586	undirected	NA	NA
Rv0109	Rv0216	0.0200675289185721	undirected	NA	NA
Rv0109	Rv0482	0.000586830483779778	undirected	NA	NA
Rv0109	Rv1170	0.0056064678820125	undirected	NA	NA
Rv0109	Rv1317c	7.20480288865761e-05	undirected	NA	NA
Rv0109	Rv1365c	0.00579728269049242	undirected	NA	NA
Rv0109	Rv1492	0.0137311356945463	undirected	NA	NA
Rv0109	Rv1774	0.00590203039063324	undirected	NA	NA
Rv0109	Rv2100	0.00149706210360479	undirected	NA	NA
Rv0109	Rv2583c	0.00276330943828072	undirected	NA	NA
Rv0109	Rv2780	0.000917930124457871	undirected	NA	NA
Rv0109	Rv2961	0.000306391833542134	undirected	NA	NA
Rv0109	Rv3556c	0.00684876012875984	undirected	NA	NA
Rv0109	Rv3557c	0.000356696902357052	undirected	NA	NA
Rv0150c	Rv0180c	0.00707434845063938	undirected	NA	NA
Rv0150c	Rv0216	0.000271435095433078	undirected	NA	NA
Rv0150c	Rv0482	0.000148925644797939	undirected	NA	NA
Rv0150c	Rv1170	4.06151113741944e-05	undirected	NA	NA
Rv0150c	Rv1317c	0.000365865259591983	undirected	NA	NA
Rv0150c	Rv1365c	0.0122680085527145	undirected	NA	NA
Rv0150c	Rv1492	0.00944770730718467	undirected	NA	NA
Rv0150c	Rv1774	0.00296576375484822	undirected	NA	NA
Rv0150c	Rv2100	0.000441538500059071	undirected	NA	NA
Rv0150c	Rv2583c	0.00638889854495159	undirected	NA	NA
Rv0150c	Rv2780	0.000710715617520189	undirected	NA	NA
Rv0150c	Rv2961	0.000404409019924196	undirected	NA	NA
Rv0150c	Rv3556c	0.0603826879499081	undirected	NA	NA
Rv0150c	Rv3557c	0.00231778249135947	undirected	NA	NA
Rv0180c	Rv0216	0.000271611588533782	undirected	NA	NA
Rv0180c	Rv0482	0.0539874256161918	undirected	NA	NA
Rv0180c	Rv1170	0.00686619523205276	undirected	NA	NA
Rv0180c	Rv1317c	0.00726742000665639	undirected	NA	NA
Rv0180c	Rv1365c	0.0995231358336948	undirected	NA	NA
Rv0180c	Rv1492	0.0045384766314521	undirected	NA	NA
Rv0180c	Rv1774	0.183924905018406	undirected	NA	NA
Rv0180c	Rv2100	0.104565135931903	undirected	NA	NA
Rv0180c	Rv2583c	0.0496075546757839	undirected	NA	NA
Rv0180c	Rv2780	0.0338499655157811	undirected	NA	NA
Rv0180c	Rv2961	0.00860508614455778	undirected	NA	NA
Rv0180c	Rv3556c	0.0470003550199221	undirected	NA	NA
Rv0180c	Rv3557c	0.00178255348853194	undirected	NA	NA
Rv0216	Rv0482	1.42002347867221e-06	undirected	NA	NA
Rv0216	Rv1170	0.000121511868185279	undirected	NA	NA
Rv0216	Rv1317c	1.63828155958042e-05	undirected	NA	NA
Rv0216	Rv1365c	0.000167311852734087	undirected	NA	NA
Rv0216	Rv1492	0.00469088430121762	undirected	NA	NA
Rv0216	Rv1774	4.31376993115303e-05	undirected	NA	NA
Rv0216	Rv2100	5.19567268102192e-06	undirected	NA	NA
Rv0216	Rv2583c	0.000287868119871265	undirected	NA	NA
Rv0216	Rv2780	2.64252374518374e-05	undirected	NA	NA
Rv0216	Rv2961	1.96554639038153e-05	undirected	NA	NA
Rv0216	Rv3556c	0.000230435739860031	undirected	NA	NA
Rv0216	Rv3557c	9.46038286360301e-06	undirected	NA	NA
Rv0482	Rv1170	0.00531423000594347	undirected	NA	NA
Rv0482	Rv1317c	0.000264116405743025	undirected	NA	NA
Rv0482	Rv1365c	0.0161818765221461	undirected	NA	NA
Rv0482	Rv1492	0.000463954220444789	undirected	NA	NA
Rv0482	Rv1774	0.0958455688909488	undirected	NA	NA
Rv0482	Rv2100	0.0083718526140606	undirected	NA	NA
Rv0482	Rv2583c	0.00657229314401312	undirected	NA	NA
Rv0482	Rv2780	0.00596262637684172	undirected	NA	NA
Rv0482	Rv2961	0.000705077369725193	undirected	NA	NA
Rv0482	Rv3556c	0.00251436101238757	undirected	NA	NA
Rv0482	Rv3557c	3.95023680656881e-05	undirected	NA	NA
Rv1170	Rv1317c	6.8421751484136e-05	undirected	NA	NA
Rv1170	Rv1365c	0.00113923011542718	undirected	NA	NA
Rv1170	Rv1492	0.00010705515156346	undirected	NA	NA
Rv1170	Rv1774	0.00379920305970808	undirected	NA	NA
Rv1170	Rv2100	0.00373326269424623	undirected	NA	NA
Rv1170	Rv2583c	0.000310614505709855	undirected	NA	NA
Rv1170	Rv2780	0.000136952970939446	undirected	NA	NA
Rv1170	Rv2961	5.26559732516107e-05	undirected	NA	NA
Rv1170	Rv3556c	0.000324464061851535	undirected	NA	NA
Rv1170	Rv3557c	3.01955579577045e-06	undirected	NA	NA
Rv1317c	Rv1365c	0.00340596798744489	undirected	NA	NA
Rv1317c	Rv1492	0.000107226680790161	undirected	NA	NA
Rv1317c	Rv1774	0.00281031460505555	undirected	NA	NA
Rv1317c	Rv2100	0.0127231911132957	undirected	NA	NA
Rv1317c	Rv2583c	0.00259579698662617	undirected	NA	NA
Rv1317c	Rv2780	0.000290754476452899	undirected	NA	NA
Rv1317c	Rv2961	0.000308933202138232	undirected	NA	NA
Rv1317c	Rv3556c	0.000451687388420733	undirected	NA	NA
Rv1317c	Rv3557c	7.32121895615057e-06	undirected	NA	NA
Rv1365c	Rv1492	0.00872384101574706	undirected	NA	NA
Rv1365c	Rv1774	0.102609551115895	undirected	NA	NA
Rv1365c	Rv2100	0.0199967193039993	undirected	NA	NA
Rv1365c	Rv2583c	0.141111695801388	undirected	NA	NA
Rv1365c	Rv2780	0.0571590789797	undirected	NA	NA
Rv1365c	Rv2961	0.00467036050996285	undirected	NA	NA
Rv1365c	Rv3556c	0.0478378088471859	undirected	NA	NA
Rv1365c	Rv3557c	0.00259395437344138	undirected	NA	NA
Rv1492	Rv1774	0.00369177332672095	undirected	NA	NA
Rv1492	Rv2100	0.000334665684321987	undirected	NA	NA
Rv1492	Rv2583c	0.0160248169255033	undirected	NA	NA
Rv1492	Rv2780	0.000574683396660972	undirected	NA	NA
Rv1492	Rv2961	0.000100302510189772	undirected	NA	NA
Rv1492	Rv3556c	0.00806192293782261	undirected	NA	NA
Rv1492	Rv3557c	0.000363435019821673	undirected	NA	NA
Rv1774	Rv2100	0.0481147561552859	undirected	NA	NA
Rv1774	Rv2583c	0.0333737939310152	undirected	NA	NA
Rv1774	Rv2780	0.0624337522453103	undirected	NA	NA
Rv1774	Rv2961	0.00726054555546635	undirected	NA	NA
Rv1774	Rv3556c	0.0275790892876673	undirected	NA	NA
Rv1774	Rv3557c	0.000791720231037893	undirected	NA	NA
Rv2100	Rv2583c	0.00791759019331781	undirected	NA	NA
Rv2100	Rv2780	0.00225154155289655	undirected	NA	NA
Rv2100	Rv2961	0.00105225746877986	undirected	NA	NA
Rv2100	Rv3556c	0.00509179707393056	undirected	NA	NA
Rv2100	Rv3557c	4.6413104602432e-05	undirected	NA	NA
Rv2583c	Rv2780	0.0222587618290517	undirected	NA	NA
Rv2583c	Rv2961	0.001091190157111	undirected	NA	NA
Rv2583c	Rv3556c	0.0169263974742157	undirected	NA	NA
Rv2583c	Rv3557c	0.000453424772872444	undirected	NA	NA
Rv2780	Rv2961	0.0146419256686701	undirected	NA	NA
Rv2780	Rv3556c	0.00538904682237951	undirected	NA	NA
Rv2780	Rv3557c	0.00118576261643531	undirected	NA	NA
Rv2961	Rv3556c	0.00554795899686257	undirected	NA	NA
Rv2961	Rv3557c	0.00049418543405595	undirected	NA	NA
Rv3556c	Rv3557c	0.0275537966520197	undirected	NA	NA
