fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0682	Rv0683	0.0528039050289476	undirected	NA	NA
Rv0682	Rv0840c	0.0774836015468583	undirected	NA	NA
Rv0682	Rv1163	0.0403037602768859	undirected	NA	NA
Rv0682	Rv1841c	0.018854031221631	undirected	NA	NA
Rv0682	Rv2003c	0.080098009998727	undirected	NA	NA
Rv0682	Rv2052c	0.0649283926527462	undirected	NA	NA
Rv0682	Rv2053c	0.0354240248417494	undirected	NA	NA
Rv0682	Rv2271	0.00650994433701775	undirected	NA	NA
Rv0682	Rv2428	0.0047867872066565	undirected	NA	NA
Rv0682	Rv2569c	0.0320692526278882	undirected	NA	NA
Rv0682	Rv2687c	0.000210367240809891	undirected	NA	NA
Rv0682	Rv2808	0.0277283941519099	undirected	NA	NA
Rv0682	Rv3051c	0.01046645843905	undirected	NA	NA
Rv0682	Rv3211	0.0975783359287378	undirected	NA	NA
Rv0682	Rv3225c	0.0250644841398065	undirected	NA	NA
Rv0682	Rv3310	0.00154946238062094	undirected	NA	NA
Rv0682	Rv3419c	0.0782537114887639	undirected	NA	NA
Rv0682	Rv3579c	0.00243605278656595	undirected	NA	NA
Rv0683	Rv0840c	0.0340404510189498	undirected	NA	NA
Rv0683	Rv1163	0.0279595604046006	undirected	NA	NA
Rv0683	Rv1841c	0.0105573939645454	undirected	NA	NA
Rv0683	Rv2003c	0.166894183390397	undirected	NA	NA
Rv0683	Rv2052c	0.0559060008557783	undirected	NA	NA
Rv0683	Rv2053c	0.0121661404460019	undirected	NA	NA
Rv0683	Rv2271	0.000696438102097824	undirected	NA	NA
Rv0683	Rv2428	0.00094984872806017	undirected	NA	NA
Rv0683	Rv2569c	0.0102487692228747	undirected	NA	NA
Rv0683	Rv2687c	1.96117330833923e-05	undirected	NA	NA
Rv0683	Rv2808	0.00923022434385959	undirected	NA	NA
Rv0683	Rv3051c	0.00297780134811452	undirected	NA	NA
Rv0683	Rv3211	0.0953523104709346	undirected	NA	NA
Rv0683	Rv3225c	0.0189997523995365	undirected	NA	NA
Rv0683	Rv3310	0.00134704009599817	undirected	NA	NA
Rv0683	Rv3419c	0.0962860664093264	undirected	NA	NA
Rv0683	Rv3579c	0.00141453057541449	undirected	NA	NA
Rv0840c	Rv1163	0.105219849111145	undirected	NA	NA
Rv0840c	Rv1841c	0.0692010625494206	undirected	NA	NA
Rv0840c	Rv2003c	0.0699164014481559	undirected	NA	NA
Rv0840c	Rv2052c	0.130102097244676	undirected	NA	NA
Rv0840c	Rv2053c	0.070068388022717	undirected	NA	NA
Rv0840c	Rv2271	0.0114638003665609	undirected	NA	NA
Rv0840c	Rv2428	0.00140573979670907	undirected	NA	NA
Rv0840c	Rv2569c	0.0219025884270916	undirected	NA	NA
Rv0840c	Rv2687c	0.00194090249777869	undirected	NA	NA
Rv0840c	Rv2808	0.0164169942770038	undirected	NA	NA
Rv0840c	Rv3051c	0.0381641175375738	undirected	NA	NA
Rv0840c	Rv3211	0.036584271699417	undirected	NA	NA
Rv0840c	Rv3225c	0.0319254486335103	undirected	NA	NA
Rv0840c	Rv3310	0.00175442538933896	undirected	NA	NA
Rv0840c	Rv3419c	0.054613256037466	undirected	NA	NA
Rv0840c	Rv3579c	0.0149588338794091	undirected	NA	NA
Rv1163	Rv1841c	0.0950176156538621	undirected	NA	NA
Rv1163	Rv2003c	0.0799311916027751	undirected	NA	NA
Rv1163	Rv2052c	0.157705189298572	undirected	NA	NA
Rv1163	Rv2053c	0.0724948756545941	undirected	NA	NA
Rv1163	Rv2271	0.00593478199709383	undirected	NA	NA
Rv1163	Rv2428	0.00664322245526412	undirected	NA	NA
Rv1163	Rv2569c	0.0262245935753427	undirected	NA	NA
Rv1163	Rv2687c	0.000308483660112047	undirected	NA	NA
Rv1163	Rv2808	0.0340948725495244	undirected	NA	NA
Rv1163	Rv3051c	0.0170368149070957	undirected	NA	NA
Rv1163	Rv3211	0.0236504826064367	undirected	NA	NA
Rv1163	Rv3225c	0.0526608748940371	undirected	NA	NA
Rv1163	Rv3310	0.00702730603177814	undirected	NA	NA
Rv1163	Rv3419c	0.103921482228546	undirected	NA	NA
Rv1163	Rv3579c	0.0348966486392394	undirected	NA	NA
Rv1841c	Rv2003c	0.0338677904834957	undirected	NA	NA
Rv1841c	Rv2052c	0.0877046971622426	undirected	NA	NA
Rv1841c	Rv2053c	0.0921623536161487	undirected	NA	NA
Rv1841c	Rv2271	0.00398778807835743	undirected	NA	NA
Rv1841c	Rv2428	0.00157264601352978	undirected	NA	NA
Rv1841c	Rv2569c	0.00892692380864488	undirected	NA	NA
Rv1841c	Rv2687c	0.00175331317743655	undirected	NA	NA
Rv1841c	Rv2808	0.0120822950700898	undirected	NA	NA
Rv1841c	Rv3051c	0.0385668368857689	undirected	NA	NA
Rv1841c	Rv3211	0.00705882101758142	undirected	NA	NA
Rv1841c	Rv3225c	0.0194339584835445	undirected	NA	NA
Rv1841c	Rv3310	0.00221333275695293	undirected	NA	NA
Rv1841c	Rv3419c	0.0500498283681043	undirected	NA	NA
Rv1841c	Rv3579c	0.0126225212800467	undirected	NA	NA
Rv2003c	Rv2052c	0.128271171482482	undirected	NA	NA
Rv2003c	Rv2053c	0.0350647535400398	undirected	NA	NA
Rv2003c	Rv2271	0.00360306119092519	undirected	NA	NA
Rv2003c	Rv2428	0.00297827802241266	undirected	NA	NA
Rv2003c	Rv2569c	0.0321534009097439	undirected	NA	NA
Rv2003c	Rv2687c	8.2525751162791e-05	undirected	NA	NA
Rv2003c	Rv2808	0.0270767897423527	undirected	NA	NA
Rv2003c	Rv3051c	0.00630329491822275	undirected	NA	NA
Rv2003c	Rv3211	0.128851220584532	undirected	NA	NA
Rv2003c	Rv3225c	0.0615053066432056	undirected	NA	NA
Rv2003c	Rv3310	0.00520267812423217	undirected	NA	NA
Rv2003c	Rv3419c	0.132655874007407	undirected	NA	NA
Rv2003c	Rv3579c	0.00649574394214757	undirected	NA	NA
Rv2052c	Rv2053c	0.0974968740927347	undirected	NA	NA
Rv2052c	Rv2271	0.0125801065220672	undirected	NA	NA
Rv2052c	Rv2428	0.00647136437502967	undirected	NA	NA
