fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0003	Rv0012	0.00131111324662154	undirected	NA	NA
Rv0003	Rv0148	1.28584856470679e-05	undirected	NA	NA
Rv0003	Rv0249c	1.23628135176877e-05	undirected	NA	NA
Rv0003	Rv0495c	6.19455536513648e-05	undirected	NA	NA
Rv0003	Rv0859	0.000178308407943468	undirected	NA	NA
Rv0003	Rv1205	1.13147348088955e-05	undirected	NA	NA
Rv0003	Rv1312	6.8591323881673e-06	undirected	NA	NA
Rv0003	Rv1346	5.85553248112397e-05	undirected	NA	NA
Rv0003	Rv1874	0.000548092572429917	undirected	NA	NA
Rv0003	Rv2181	0.000244648150591364	undirected	NA	NA
Rv0003	Rv2206	6.86700769231048e-05	undirected	NA	NA
Rv0003	Rv2455c	0.00354133679526084	undirected	NA	NA
Rv0003	Rv3055	1.07610190289033e-07	undirected	NA	NA
Rv0003	Rv3059	0.00121244233402418	undirected	NA	NA
Rv0003	Rv3408	3.1898876560613e-06	undirected	NA	NA
Rv0003	Rv3483c	0.00223937539762257	undirected	NA	NA
Rv0003	Rv3502c	0.00224535416589189	undirected	NA	NA
Rv0003	Rv3584	0.000603555781527927	undirected	NA	NA
Rv0003	Rv3651	0.00304354335366313	undirected	NA	NA
Rv0003	Rv3699	0.000292448789894977	undirected	NA	NA
Rv0003	Rv3864	9.88326916614819e-05	undirected	NA	NA
Rv0003	Rv3915	0.0331320583452143	undirected	NA	NA
Rv0012	Rv0148	0.00518215408587657	undirected	NA	NA
Rv0012	Rv0249c	0.00102941306502565	undirected	NA	NA
Rv0012	Rv0495c	0.0374902469235755	undirected	NA	NA
Rv0012	Rv0859	0.00374735185067203	undirected	NA	NA
Rv0012	Rv1205	0.000122002390110058	undirected	NA	NA
Rv0012	Rv1312	0.00364640874840925	undirected	NA	NA
Rv0012	Rv1346	0.00860316765211938	undirected	NA	NA
Rv0012	Rv1874	0.0139761215257675	undirected	NA	NA
Rv0012	Rv2181	0.00139022346884617	undirected	NA	NA
Rv0012	Rv2206	0.00881609111430945	undirected	NA	NA
Rv0012	Rv2455c	0.128182202890722	undirected	NA	NA
Rv0012	Rv3055	0.000187896057870901	undirected	NA	NA
Rv0012	Rv3059	0.0407325511973872	undirected	NA	NA
Rv0012	Rv3408	0.000593211784604612	undirected	NA	NA
Rv0012	Rv3483c	0.010661808555344	undirected	NA	NA
Rv0012	Rv3502c	0.148267577334933	undirected	NA	NA
Rv0012	Rv3584	0.037117976174097	undirected	NA	NA
Rv0012	Rv3651	0.00312911636590789	undirected	NA	NA
Rv0012	Rv3699	0.0452911359585339	undirected	NA	NA
Rv0012	Rv3864	0.0617339163204231	undirected	NA	NA
Rv0012	Rv3915	0.0164973159546428	undirected	NA	NA
Rv0148	Rv0249c	0.0182332868775094	undirected	NA	NA
Rv0148	Rv0495c	0.000655504059005699	undirected	NA	NA
Rv0148	Rv0859	0.0326143527884363	undirected	NA	NA
Rv0148	Rv1205	0.00126851031224502	undirected	NA	NA
Rv0148	Rv1312	7.46718904074962e-06	undirected	NA	NA
Rv0148	Rv1346	0.00634048182963015	undirected	NA	NA
Rv0148	Rv1874	0.0126630638393347	undirected	NA	NA
Rv0148	Rv2181	5.80346446190374e-05	undirected	NA	NA
Rv0148	Rv2206	4.5845711475118e-05	undirected	NA	NA
Rv0148	Rv2455c	0.00231959613228396	undirected	NA	NA
Rv0148	Rv3055	0.000219909311350974	undirected	NA	NA
Rv0148	Rv3059	0.00318637784798308	undirected	NA	NA
Rv0148	Rv3408	0.0304465243683597	undirected	NA	NA
Rv0148	Rv3483c	0.00102850976736251	undirected	NA	NA
Rv0148	Rv3502c	0.00308684141147192	undirected	NA	NA
Rv0148	Rv3584	0.0195813741502709	undirected	NA	NA
Rv0148	Rv3651	7.36294098714689e-05	undirected	NA	NA
Rv0148	Rv3699	0.0201956954944787	undirected	NA	NA
Rv0148	Rv3864	0.000602081428091253	undirected	NA	NA
Rv0148	Rv3915	0.000220886929542399	undirected	NA	NA
Rv0249c	Rv0495c	1.71233682239807e-05	undirected	NA	NA
Rv0249c	Rv0859	0.00965312673829446	undirected	NA	NA
Rv0249c	Rv1205	0.00437614192219929	undirected	NA	NA
Rv0249c	Rv1312	6.74943044118871e-06	undirected	NA	NA
Rv0249c	Rv1346	0.00709251661051569	undirected	NA	NA
Rv0249c	Rv1874	0.034002382549999	undirected	NA	NA
Rv0249c	Rv2181	6.66199937689253e-07	undirected	NA	NA
Rv0249c	Rv2206	0.000124161307834514	undirected	NA	NA
Rv0249c	Rv2455c	0.00162041711205196	undirected	NA	NA
Rv0249c	Rv3055	0.000221771687416367	undirected	NA	NA
Rv0249c	Rv3059	0.015979916897444	undirected	NA	NA
Rv0249c	Rv3408	0.0568215517142625	undirected	NA	NA
Rv0249c	Rv3483c	0.000135381334673506	undirected	NA	NA
Rv0249c	Rv3502c	0.00158250798418403	undirected	NA	NA
Rv0249c	Rv3584	0.000548423429558494	undirected	NA	NA
Rv0249c	Rv3651	0.000218081342174677	undirected	NA	NA
Rv0249c	Rv3699	0.00114104096164185	undirected	NA	NA
Rv0249c	Rv3864	4.81228532896793e-05	undirected	NA	NA
Rv0249c	Rv3915	0.000399268835299996	undirected	NA	NA
Rv0495c	Rv0859	0.00119190756390723	undirected	NA	NA
Rv0495c	Rv1205	4.6019187933123e-06	undirected	NA	NA
