fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0017c	Rv0124	0.0526754152540716	undirected	NA	NA
Rv0017c	Rv0262c	0.005010712968769	undirected	NA	NA
Rv0017c	Rv0694	1.99485802652816e-08	undirected	NA	NA
Rv0017c	Rv0846c	0.0677049511632895	undirected	NA	NA
Rv0017c	Rv0850	6.67018010989784e-07	undirected	NA	NA
Rv0017c	Rv0915c	0.00633603746799768	undirected	NA	NA
Rv0017c	Rv1236	0.0227433049964418	undirected	NA	NA
Rv0017c	Rv1282c	0.0390692452725346	undirected	NA	NA
Rv0017c	Rv1288	3.24034656322618e-05	undirected	NA	NA
Rv0017c	Rv1563c	0.0222118227374737	undirected	NA	NA
Rv0017c	Rv1652	5.14245456776411e-07	undirected	NA	NA
Rv0017c	Rv1670	0.00759046000851927	undirected	NA	NA
Rv0017c	Rv1760	0.00128491727068056	undirected	NA	NA
Rv0017c	Rv2036	0.000101600806820671	undirected	NA	NA
Rv0017c	Rv2116	0.000272412998221918	undirected	NA	NA
Rv0017c	Rv2117	0.000374456227601646	undirected	NA	NA
Rv0017c	Rv2212	0.0551124905840326	undirected	NA	NA
Rv0017c	Rv2213	1.32448358705668e-05	undirected	NA	NA
Rv0017c	Rv2284	0.00022900000997688	undirected	NA	NA
Rv0017c	Rv2330c	0.000640188358931652	undirected	NA	NA
Rv0017c	Rv2544	4.75790154273639e-07	undirected	NA	NA
Rv0017c	Rv2658c	0.00742096880813302	undirected	NA	NA
Rv0017c	Rv2659c	0.0163033480036536	undirected	NA	NA
Rv0017c	Rv3078	0.240334062017783	undirected	NA	NA
Rv0017c	Rv3228	0.00279079268988913	undirected	NA	NA
Rv0017c	Rv3504	0.00993342902276279	undirected	NA	NA
Rv0017c	Rv3505	8.8308945995374e-05	undirected	NA	NA
Rv0017c	Rv3534c	0.0003092295824411	undirected	NA	NA
Rv0017c	Rv3538	0.0276830055608541	undirected	NA	NA
Rv0124	Rv0262c	0.00279207573529964	undirected	NA	NA
Rv0124	Rv0694	1.24800663228625e-06	undirected	NA	NA
Rv0124	Rv0846c	0.00845537368889841	undirected	NA	NA
Rv0124	Rv0850	2.47527311653019e-05	undirected	NA	NA
Rv0124	Rv0915c	0.00337575673815982	undirected	NA	NA
Rv0124	Rv1236	0.00182397109023712	undirected	NA	NA
