fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0133	Rv0316	2.83935865476164e-05	undirected	NA	NA
Rv0133	Rv0361	0.00434755557453948	undirected	NA	NA
Rv0133	Rv0363c	0.0170549836703388	undirected	NA	NA
Rv0133	Rv0470c	0.00132220947260511	undirected	NA	NA
Rv0133	Rv0589	0.00634018389835511	undirected	NA	NA
Rv0133	Rv0590	0.0017948684922868	undirected	NA	NA
Rv0133	Rv0591	0.00282629706983473	undirected	NA	NA
Rv0133	Rv0762c	0.0110187812564977	undirected	NA	NA
Rv0133	Rv0782	0.00136137449442797	undirected	NA	NA
Rv0133	Rv0951	1.11202189422401e-05	undirected	NA	NA
Rv0133	Rv1032c	0.000951272484637733	undirected	NA	NA
Rv0133	Rv1067c	1.37921159005509e-05	undirected	NA	NA
Rv0133	Rv1074c	0.0164826479756276	undirected	NA	NA
Rv0133	Rv1211	0.00230024680178725	undirected	NA	NA
Rv0133	Rv1260	0.00471297875313677	undirected	NA	NA
Rv0133	Rv1262c	0.000503318641963895	undirected	NA	NA
Rv0133	Rv1299	0.00725367203316687	undirected	NA	NA
Rv0133	Rv1300	3.51274932634198e-06	undirected	NA	NA
Rv0133	Rv1301	0.00104685134816067	undirected	NA	NA
Rv0133	Rv1475c	0.0103993343565869	undirected	NA	NA
Rv0133	Rv1525	0.00204824579176638	undirected	NA	NA
Rv0133	Rv1536	0.00059636976711971	undirected	NA	NA
Rv0133	Rv1608c	0.00407539491663183	undirected	NA	NA
Rv0133	Rv1724c	0.000518342306692211	undirected	NA	NA
Rv0133	Rv1796	0.000716132742414767	undirected	NA	NA
Rv0133	Rv1826	3.28532573039079e-07	undirected	NA	NA
Rv0133	Rv1842c	0.000156443079107847	undirected	NA	NA
Rv0133	Rv1896c	3.33014974940468e-05	undirected	NA	NA
Rv0133	Rv1901	0.00329166194310733	undirected	NA	NA
Rv0133	Rv1904	0.000234904368164435	undirected	NA	NA
Rv0133	Rv1915	0.00143268628037111	undirected	NA	NA
Rv0133	Rv1984c	0.00263600851978314	undirected	NA	NA
Rv0133	Rv2157c	0.00177328821508838	undirected	NA	NA
Rv0133	Rv2239c	0.00224822023605014	undirected	NA	NA
Rv0133	Rv2241	0.00720818390933566	undirected	NA	NA
Rv0133	Rv2375	0.00454606562926944	undirected	NA	NA
Rv0133	Rv2502c	0.0204185720226909	undirected	NA	NA
Rv0133	Rv2508c	0.0041639106702889	undirected	NA	NA
Rv0133	Rv2536	0.000791307093560406	undirected	NA	NA
Rv0133	Rv2543	0.000142157589411793	undirected	NA	NA
Rv0133	Rv2552c	0.00177826533447118	undirected	NA	NA
Rv0133	Rv2591	0.0167690208209793	undirected	NA	NA
Rv0133	Rv2674	0.010331262183593	undirected	NA	NA
Rv0133	Rv2833c	4.07264683761835e-06	undirected	NA	NA
Rv0133	Rv2861c	0.00436723884336907	undirected	NA	NA
Rv0133	Rv3074	0.0434329426346931	undirected	NA	NA
Rv0133	Rv3115	7.95075115095793e-06	undirected	NA	NA
Rv0133	Rv3283	0.00258298619541343	undirected	NA	NA
Rv0133	Rv3421c	0.00256039636016615	undirected	NA	NA
Rv0133	Rv3609c	0.000898884025045949	undirected	NA	NA
Rv0133	Rv3639c	8.44453247642744e-06	undirected	NA	NA
Rv0133	Rv3676	4.69242152943652e-05	undirected	NA	NA
Rv0133	Rv3874	0.00357091764967519	undirected	NA	NA
Rv0133	Rv3879c	0.00270028638550961	undirected	NA	NA
Rv0316	Rv0361	0.0110683990952314	undirected	NA	NA
Rv0316	Rv0363c	0.00599384394164776	undirected	NA	NA
Rv0316	Rv0470c	0.00184451927632728	undirected	NA	NA
Rv0316	Rv0589	0.00438449906813138	undirected	NA	NA
Rv0316	Rv0590	0.00582016591091636	undirected	NA	NA
Rv0316	Rv0591	0.00064777677356699	undirected	NA	NA
Rv0316	Rv0762c	0.0159343481930234	undirected	NA	NA
Rv0316	Rv0782	6.37837616067933e-06	undirected	NA	NA
Rv0316	Rv0951	0.00160711827915343	undirected	NA	NA
Rv0316	Rv1032c	0.0310212721707354	undirected	NA	NA
Rv0316	Rv1067c	0.0232183099919785	undirected	NA	NA
Rv0316	Rv1074c	0.0113472803221682	undirected	NA	NA
Rv0316	Rv1211	0.00276074963955111	undirected	NA	NA
Rv0316	Rv1260	0.0159497152221467	undirected	NA	NA
Rv0316	Rv1262c	0.00308815979430753	undirected	NA	NA
Rv0316	Rv1299	0.0258045919820277	undirected	NA	NA
Rv0316	Rv1300	0.00488779713232684	undirected	NA	NA
Rv0316	Rv1301	0.0728044478854849	undirected	NA	NA
Rv0316	Rv1475c	0.00871786971291811	undirected	NA	NA
Rv0316	Rv1525	0.00302019286384106	undirected	NA	NA
Rv0316	Rv1536	0.00268627835190206	undirected	NA	NA
Rv0316	Rv1608c	0.0304090004245254	undirected	NA	NA
Rv0316	Rv1724c	0.000356547004163996	undirected	NA	NA
Rv0316	Rv1796	0.00624205609293107	undirected	NA	NA
Rv0316	Rv1826	1.85941865615573e-05	undirected	NA	NA
Rv0316	Rv1842c	0.0145942610528104	undirected	NA	NA
Rv0316	Rv1896c	4.60259054452061e-05	undirected	NA	NA
Rv0316	Rv1901	0.00153172706319297	undirected	NA	NA
Rv0316	Rv1904	1.46050060000795e-05	undirected	NA	NA
Rv0316	Rv1915	0.000227312716820133	undirected	NA	NA
Rv0316	Rv1984c	0.0144529253045527	undirected	NA	NA
Rv0316	Rv2157c	0.0195276532562036	undirected	NA	NA
Rv0316	Rv2239c	0.00433607172550692	undirected	NA	NA
Rv0316	Rv2241	0.0106427715063618	undirected	NA	NA
Rv0316	Rv2375	0.00275379894765507	undirected	NA	NA
Rv0316	Rv2502c	0.000349254849436916	undirected	NA	NA
Rv0316	Rv2508c	0.000356671539536303	undirected	NA	NA
Rv0316	Rv2536	0.00116933655435468	undirected	NA	NA
Rv0316	Rv2543	0.00185671005850423	undirected	NA	NA
