fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0004	Rv0336	0.0654904014063162	undirected	NA	NA
Rv0004	Rv0464c	0.0041640398366201	undirected	NA	NA
Rv0004	Rv0515	0.0592963317151251	undirected	NA	NA
Rv0004	Rv0560c	0.0122851031977684	undirected	NA	NA
Rv0004	Rv1013	0.0122851145388709	undirected	NA	NA
Rv0004	Rv1015c	0.0173189257827767	undirected	NA	NA
Rv0004	Rv1102c	0.067385336737943	undirected	NA	NA
Rv0004	Rv1141c	0.00367123073860895	undirected	NA	NA
Rv0004	Rv1209	0.0022536277525216	undirected	NA	NA
Rv0004	Rv1292	0.00714309559436551	undirected	NA	NA
Rv0004	Rv1444c	0.00597122132459283	undirected	NA	NA
Rv0004	Rv1445c	0.0365098795351045	undirected	NA	NA
Rv0004	Rv1466	0.218327281582369	undirected	NA	NA
Rv0004	Rv1506c	0.0628078311794931	undirected	NA	NA
Rv0004	Rv1604	0.0797626220876902	undirected	NA	NA
Rv0004	Rv1605	0.0329905468651719	undirected	NA	NA
Rv0004	Rv1606	0.0210522683098395	undirected	NA	NA
Rv0004	Rv1916	0.0195895779660946	undirected	NA	NA
Rv0004	Rv1977	0.124575971662568	undirected	NA	NA
Rv0004	Rv2038c	0.133799677174487	undirected	NA	NA
Rv0004	Rv2048c	0.0143082261896188	undirected	NA	NA
Rv0004	Rv2153c	0.0130201261526955	undirected	NA	NA
Rv0004	Rv2519	0.0029186112277342	undirected	NA	NA
Rv0004	Rv2617c	0.00948443911902321	undirected	NA	NA
Rv0004	Rv2795c	0.0027300228803285	undirected	NA	NA
Rv0004	Rv3271c	0.000780338323678835	undirected	NA	NA
Rv0004	Rv3295	0.0681952925745425	undirected	NA	NA
Rv0004	Rv3806c	0.00701222805167746	undirected	NA	NA
Rv0004	Rv3902c	0.0235354475608028	undirected	NA	NA
Rv0004	Rv3903c	0.037603645767122	undirected	NA	NA
Rv0336	Rv0464c	0.0017354002137031	undirected	NA	NA
Rv0336	Rv0515	0.0689673819732063	undirected	NA	NA
Rv0336	Rv0560c	0.00852661080250183	undirected	NA	NA
Rv0336	Rv1013	0.172999297203434	undirected	NA	NA
Rv0336	Rv1015c	0.00865704699929182	undirected	NA	NA
Rv0336	Rv1102c	0.0276459885096428	undirected	NA	NA
Rv0336	Rv1141c	0.000238763386211881	undirected	NA	NA
Rv0336	Rv1209	0.000504917969146088	undirected	NA	NA
Rv0336	Rv1292	0.000596121273076848	undirected	NA	NA
Rv0336	Rv1444c	0.00130700033890218	undirected	NA	NA
Rv0336	Rv1445c	0.0380629299313786	undirected	NA	NA
Rv0336	Rv1466	0.0592922288280386	undirected	NA	NA
Rv0336	Rv1506c	0.0093904250273434	undirected	NA	NA
Rv0336	Rv1604	0.014370167910825	undirected	NA	NA
Rv0336	Rv1605	0.00758726587869006	undirected	NA	NA
Rv0336	Rv1606	0.00977623108338098	undirected	NA	NA
Rv0336	Rv1916	0.0124598736392907	undirected	NA	NA
Rv0336	Rv1977	0.0683239899161219	undirected	NA	NA
Rv0336	Rv2038c	0.0290172403990438	undirected	NA	NA
Rv0336	Rv2048c	0.0115680934333395	undirected	NA	NA
Rv0336	Rv2153c	0.00601855880216621	undirected	NA	NA
Rv0336	Rv2519	0.000429759237951137	undirected	NA	NA
Rv0336	Rv2617c	0.00452756808878785	undirected	NA	NA
Rv0336	Rv2795c	0.00215219152549658	undirected	NA	NA
Rv0336	Rv3271c	4.84552293769271e-05	undirected	NA	NA
Rv0336	Rv3295	0.0137379221403746	undirected	NA	NA
Rv0336	Rv3806c	0.00209250823242054	undirected	NA	NA
Rv0336	Rv3902c	0.00591547315881428	undirected	NA	NA
Rv0336	Rv3903c	0.00486509918559514	undirected	NA	NA
Rv0464c	Rv0515	0.0274093452928741	undirected	NA	NA
Rv0464c	Rv0560c	0.00286284890347374	undirected	NA	NA
Rv0464c	Rv1013	0.000545989087561821	undirected	NA	NA
Rv0464c	Rv1015c	0.0123423767983967	undirected	NA	NA
Rv0464c	Rv1102c	0.00686390898368946	undirected	NA	NA
Rv0464c	Rv1141c	0.00827201829104024	undirected	NA	NA
Rv0464c	Rv1209	0.0006090748343051	undirected	NA	NA
Rv0464c	Rv1292	0.0173405580023962	undirected	NA	NA
Rv0464c	Rv1444c	0.00904033431920038	undirected	NA	NA
Rv0464c	Rv1445c	0.0046490223353478	undirected	NA	NA
Rv0464c	Rv1466	0.00151685654011283	undirected	NA	NA
Rv0464c	Rv1506c	0.000308978721289004	undirected	NA	NA
Rv0464c	Rv1604	0.0318753020721969	undirected	NA	NA
Rv0464c	Rv1605	0.0487589624389413	undirected	NA	NA
Rv0464c	Rv1606	0.114919405135276	undirected	NA	NA
Rv0464c	Rv1916	0.0049125546561825	undirected	NA	NA
Rv0464c	Rv1977	0.000623525136637679	undirected	NA	NA
Rv0464c	Rv2038c	0.00795668203072765	undirected	NA	NA
Rv0464c	Rv2048c	0.0746482274335896	undirected	NA	NA
Rv0464c	Rv2153c	0.0104108417559649	undirected	NA	NA
Rv0464c	Rv2519	0.0115085053933969	undirected	NA	NA
Rv0464c	Rv2617c	0.0339122007114045	undirected	NA	NA
Rv0464c	Rv2795c	0.00411042619984211	undirected	NA	NA
Rv0464c	Rv3271c	0.00161900892076295	undirected	NA	NA
Rv0464c	Rv3295	0.00203126929742354	undirected	NA	NA
Rv0464c	Rv3806c	0.0106496464581367	undirected	NA	NA
Rv0464c	Rv3902c	0.0150230002470147	undirected	NA	NA
