fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0064	Rv0107c	0.0459959761702871	undirected	NA	NA
Rv0064	Rv0253	0.0752866037046069	undirected	NA	NA
Rv0064	Rv0349	0.0841189535695718	undirected	NA	NA
Rv0064	Rv0427c	0.0590852555735586	undirected	NA	NA
Rv0064	Rv0749	0.0578757364556684	undirected	NA	NA
Rv0064	Rv1959c	0.0235903006919693	undirected	NA	NA
Rv0064	Rv2021c	0.0210513267072326	undirected	NA	NA
Rv0064	Rv2050	0.0269498155034189	undirected	NA	NA
Rv0064	Rv2394	0.0187709123738983	undirected	NA	NA
Rv0064	Rv2713	0.104515454741796	undirected	NA	NA
Rv0064	Rv2881c	0.0492912259100549	undirected	NA	NA
Rv0064	Rv2948c	0.0348062982506475	undirected	NA	NA
Rv0064	Rv2975c	0.048930808731456	undirected	NA	NA
Rv0064	Rv3201c	0.00715463961885648	undirected	NA	NA
Rv0064	Rv3736	0.00194403484446578	undirected	NA	NA
Rv0064	Rv3853	0.131319649120791	undirected	NA	NA
Rv0107c	Rv0253	0.0249798929419507	undirected	NA	NA
Rv0107c	Rv0349	0.0681807669363517	undirected	NA	NA
Rv0107c	Rv0427c	0.0322318836086022	undirected	NA	NA
Rv0107c	Rv0749	0.0636900458543656	undirected	NA	NA
Rv0107c	Rv1959c	0.0408503511754779	undirected	NA	NA
Rv0107c	Rv2021c	0.033780615747312	undirected	NA	NA
Rv0107c	Rv2050	0.0192841155874397	undirected	NA	NA
Rv0107c	Rv2394	0.0581679533178401	undirected	NA	NA
Rv0107c	Rv2713	0.0561700586825503	undirected	NA	NA
Rv0107c	Rv2881c	0.0899512393579091	undirected	NA	NA
Rv0107c	Rv2948c	0.130496145035222	undirected	NA	NA
Rv0107c	Rv2975c	0.0822605817653443	undirected	NA	NA
Rv0107c	Rv3201c	0.0618269756097873	undirected	NA	NA
Rv0107c	Rv3736	0.00457306603426315	undirected	NA	NA
Rv0107c	Rv3853	0.024934085069372	undirected	NA	NA
Rv0253	Rv0349	0.101809021410714	undirected	NA	NA
Rv0253	Rv0427c	0.0673114435955368	undirected	NA	NA
Rv0253	Rv0749	0.0388545962086682	undirected	NA	NA
Rv0253	Rv1959c	0.032391440833173	undirected	NA	NA
Rv0253	Rv2021c	0.0213144701452274	undirected	NA	NA
Rv0253	Rv2050	0.0510021401369136	undirected	NA	NA
Rv0253	Rv2394	0.013383768190642	undirected	NA	NA
Rv0253	Rv2713	0.137263725294267	undirected	NA	NA
Rv0253	Rv2881c	0.0267303240960238	undirected	NA	NA
Rv0253	Rv2948c	0.0438818199048059	undirected	NA	NA
Rv0253	Rv2975c	0.0469656381865625	undirected	NA	NA
Rv0253	Rv3201c	0.00507483001258404	undirected	NA	NA
Rv0253	Rv3736	0.00362475720095206	undirected	NA	NA
Rv0253	Rv3853	0.0693300049294408	undirected	NA	NA
Rv0349	Rv0427c	0.155381151468528	undirected	NA	NA
Rv0349	Rv0749	0.116980783958782	undirected	NA	NA
Rv0349	Rv1959c	0.0974036736036026	undirected	NA	NA
Rv0349	Rv2021c	0.0847573817571165	undirected	NA	NA
Rv0349	Rv2050	0.0866865901758183	undirected	NA	NA
Rv0349	Rv2394	0.045248961465278	undirected	NA	NA
Rv0349	Rv2713	0.158038475534414	undirected	NA	NA
Rv0349	Rv2881c	0.0498754675330617	undirected	NA	NA
Rv0349	Rv2948c	0.0712829409248644	undirected	NA	NA
Rv0349	Rv2975c	0.0934246923973322	undirected	NA	NA
Rv0349	Rv3201c	0.0197504138430581	undirected	NA	NA
Rv0349	Rv3736	0.00677212224980706	undirected	NA	NA
Rv0349	Rv3853	0.123470048795677	undirected	NA	NA
Rv0427c	Rv0749	0.0883433844926779	undirected	NA	NA
Rv0427c	Rv1959c	0.106721176878207	undirected	NA	NA
Rv0427c	Rv2021c	0.104416238753875	undirected	NA	NA
Rv0427c	Rv2050	0.0854139863979794	undirected	NA	NA
Rv0427c	Rv2394	0.0353093552971553	undirected	NA	NA
Rv0427c	Rv2713	0.167882255478908	undirected	NA	NA
Rv0427c	Rv2881c	0.0193242150486649	undirected	NA	NA
Rv0427c	Rv2948c	0.0512107621208702	undirected	NA	NA
Rv0427c	Rv2975c	0.0730107091404523	undirected	NA	NA
Rv0427c	Rv3201c	0.0113103406455235	undirected	NA	NA
Rv0427c	Rv3736	0.00645071925098856	undirected	NA	NA
Rv0427c	Rv3853	0.0669655505489674	undirected	NA	NA
Rv0749	Rv1959c	0.0991937503301865	undirected	NA	NA
Rv0749	Rv2021c	0.134751862035568	undirected	NA	NA
Rv0749	Rv2050	0.0563023287360227	undirected	NA	NA
Rv0749	Rv2394	0.0449222258938966	undirected	NA	NA
Rv0749	Rv2713	0.0877796053215771	undirected	NA	NA
Rv0749	Rv2881c	0.0518541123568882	undirected	NA	NA
