nodeName	altName	nodeAttr[nodesPresent, ]
Rv0021c	NA	black
Rv0091	NA	black
Rv0106	NA	black
Rv0151c	NA	black
Rv0214	NA	black
Rv0235c	NA	black
Rv0279c	NA	black
Rv0307c	NA	black
Rv0364	NA	black
Rv0375c	NA	black
Rv0376c	NA	black
Rv0500	NA	black
Rv0571c	NA	black
Rv0584	NA	black
Rv0747	NA	black
Rv0763c	NA	black
Rv0764c	NA	black
Rv0765c	NA	black
Rv0797	NA	black
Rv0971c	NA	black
Rv1094	NA	black
Rv1233c	NA	black
Rv1388	NA	black
Rv1476	NA	black
Rv1564c	NA	black
Rv1568	NA	black
Rv1743	NA	black
Rv1857	NA	black
Rv2004c	NA	black
Rv2012	NA	black
Rv2064	NA	black
Rv2141c	NA	black
Rv2199c	NA	black
Rv2237	NA	black
Rv2332	NA	black
Rv2376c	NA	black
Rv2426c	NA	black
Rv2599	NA	black
Rv2652c	NA	black
Rv2720	NA	black
Rv2740	NA	black
Rv2754c	NA	black
Rv2772c	NA	black
Rv2813	NA	black
Rv2945c	NA	black
Rv2985	NA	black
Rv3105c	NA	black
Rv3316	NA	black
Rv3576	NA	black
Rv3648c	NA	black
Rv3688c	NA	black
Rv3775	NA	black
Rv3844	NA	black
Rv3892c	NA	black
