nodeName	altName	nodeAttr[nodesPresent, ]
Rv0006	NA	blue
Rv0007	NA	blue
Rv0051	NA	blue
Rv0306	NA	blue
Rv0596c	NA	blue
Rv0648	NA	blue
Rv0702	NA	blue
Rv0703	NA	blue
Rv0704	NA	blue
Rv0705	NA	blue
Rv0706	NA	blue
Rv0707	NA	blue
Rv0708	NA	blue
Rv0709	NA	blue
Rv0716	NA	blue
Rv0720	NA	blue
Rv0731c	NA	blue
Rv0882	NA	blue
Rv1010	NA	blue
Rv1103c	NA	blue
Rv1138c	NA	blue
Rv1169c	NA	blue
Rv1349	NA	blue
Rv1401	NA	blue
Rv1480	NA	blue
Rv1535	NA	blue
Rv1623c	NA	blue
Rv1631	NA	blue
Rv1991c	NA	blue
Rv2144c	NA	blue
Rv2309c	NA	blue
Rv2325c	NA	blue
Rv2359	NA	blue
Rv2447c	NA	blue
Rv2482c	NA	blue
Rv2524c	NA	blue
Rv2604c	NA	blue
Rv2641	NA	blue
Rv2752c	NA	blue
Rv2837c	NA	blue
Rv2940c	NA	blue
Rv2967c	NA	blue
Rv3002c	NA	blue
Rv3026c	NA	blue
Rv3039c	NA	blue
Rv3100c	NA	blue
Rv3135	NA	blue
Rv3136	NA	blue
Rv3137	NA	blue
Rv3182	NA	blue
Rv3206c	NA	blue
Rv3268	NA	blue
Rv3297	NA	blue
Rv3373	NA	blue
Rv3410c	NA	blue
Rv3455c	NA	blue
Rv3470c	NA	blue
Rv3600c	NA	blue
Rv3653	NA	blue
Rv3697c	NA	blue
Rv3713	NA	blue
Rv3731	NA	blue
Rv3832c	NA	blue
Rv3882c	NA	blue
Rv3920c	NA	blue
Rv3921c	NA	blue
