nodeName	altName	nodeAttr[nodesPresent, ]
Rv0176	NA	brown4
Rv0225	NA	brown4
Rv0411c	NA	brown4
Rv0412c	NA	brown4
Rv0552	NA	brown4
Rv0778	NA	brown4
Rv1118c	NA	brown4
Rv1168c	NA	brown4
Rv1285	NA	brown4
Rv1356c	NA	brown4
Rv1429	NA	brown4
Rv1614	NA	brown4
Rv1619	NA	brown4
Rv1711	NA	brown4
Rv1878	NA	brown4
Rv1990c	NA	brown4
Rv2335	NA	brown4
Rv2341	NA	brown4
Rv2566	NA	brown4
Rv2685	NA	brown4
Rv2700	NA	brown4
Rv2771c	NA	brown4
Rv3001c	NA	brown4
Rv3098c	NA	brown4
Rv3477	NA	brown4
Rv3537	NA	brown4
Rv3578	NA	brown4
Rv3796	NA	brown4
