nodeName	altName	nodeAttr[nodesPresent, ]
Rv0199	NA	darkgrey
Rv0247c	NA	darkgrey
Rv0264c	NA	darkgrey
Rv0338c	NA	darkgrey
Rv0437c	NA	darkgrey
Rv0473	NA	darkgrey
Rv0488	NA	darkgrey
Rv0545c	NA	darkgrey
Rv0619	NA	darkgrey
Rv0737	NA	darkgrey
Rv0738	NA	darkgrey
Rv0784	NA	darkgrey
Rv1054	NA	darkgrey
Rv1190	NA	darkgrey
Rv1243c	NA	darkgrey
Rv1371	NA	darkgrey
Rv1376	NA	darkgrey
Rv1428c	NA	darkgrey
Rv1790	NA	darkgrey
Rv1793	NA	darkgrey
Rv1905c	NA	darkgrey
Rv1974	NA	darkgrey
Rv2099c	NA	darkgrey
Rv2221c	NA	darkgrey
Rv2598	NA	darkgrey
Rv2835c	NA	darkgrey
Rv2842c	NA	darkgrey
Rv2867c	NA	darkgrey
Rv3242c	NA	darkgrey
Rv3261	NA	darkgrey
Rv3344c	NA	darkgrey
Rv3370c	NA	darkgrey
Rv3439c	NA	darkgrey
Rv3673c	NA	darkgrey
Rv3850	NA	darkgrey
Rv3904c	NA	darkgrey
