nodeName	altName	nodeAttr[nodesPresent, ]
Rv0340	NA	darkorange
Rv0393	NA	darkorange
Rv0491	NA	darkorange
Rv0504c	NA	darkorange
Rv0553	NA	darkorange
Rv0558	NA	darkorange
Rv0632c	NA	darkorange
Rv0808	NA	darkorange
Rv0844c	NA	darkorange
Rv0897c	NA	darkorange
Rv0982	NA	darkorange
Rv0999	NA	darkorange
Rv1018c	NA	darkorange
Rv1238	NA	darkorange
Rv1280c	NA	darkorange
Rv1329c	NA	darkorange
Rv1395	NA	darkorange
Rv1408	NA	darkorange
Rv1532c	NA	darkorange
Rv1593c	NA	darkorange
Rv1689	NA	darkorange
Rv1864c	NA	darkorange
Rv2130c	NA	darkorange
Rv2131c	NA	darkorange
Rv2149c	NA	darkorange
Rv2173	NA	darkorange
Rv2291	NA	darkorange
Rv2358	NA	darkorange
Rv2506	NA	darkorange
Rv2621c	NA	darkorange
Rv2925c	NA	darkorange
Rv2960c	NA	darkorange
Rv3824c	NA	darkorange
Rv3869	NA	darkorange
Rv3889c	NA	darkorange
