nodeName	altName	nodeAttr[nodesPresent, ]
Rv0122	NA	darkslateblue
Rv0501	NA	darkslateblue
Rv0723	NA	darkslateblue
Rv0921	NA	darkslateblue
Rv0945	NA	darkslateblue
Rv1049	NA	darkslateblue
Rv1089	NA	darkslateblue
Rv1284	NA	darkslateblue
Rv1417	NA	darkslateblue
Rv1491c	NA	darkslateblue
Rv1881c	NA	darkslateblue
Rv1883c	NA	darkslateblue
Rv1884c	NA	darkslateblue
Rv1962c	NA	darkslateblue
Rv2351c	NA	darkslateblue
Rv2507	NA	darkslateblue
Rv2523c	NA	darkslateblue
Rv2531c	NA	darkslateblue
Rv2642	NA	darkslateblue
Rv2905	NA	darkslateblue
Rv3080c	NA	darkslateblue
Rv3082c	NA	darkslateblue
Rv3361c	NA	darkslateblue
Rv3529c	NA	darkslateblue
Rv3530c	NA	darkslateblue
Rv3546	NA	darkslateblue
Rv3760	NA	darkslateblue
