nodeName	altName	nodeAttr[nodesPresent, ]
Rv0001	NA	floralwhite
Rv0026	NA	floralwhite
Rv0068	NA	floralwhite
Rv0074	NA	floralwhite
Rv0135c	NA	floralwhite
Rv0474	NA	floralwhite
Rv1134	NA	floralwhite
Rv1253	NA	floralwhite
Rv1311	NA	floralwhite
Rv1603	NA	floralwhite
Rv1765c	NA	floralwhite
Rv1769	NA	floralwhite
Rv2015c	NA	floralwhite
Rv2207	NA	floralwhite
Rv2308	NA	floralwhite
Rv2423	NA	floralwhite
Rv2572c	NA	floralwhite
Rv2644c	NA	floralwhite
Rv2785c	NA	floralwhite
Rv2976c	NA	floralwhite
Rv3062	NA	floralwhite
Rv3070	NA	floralwhite
Rv3116	NA	floralwhite
Rv3209	NA	floralwhite
Rv3263	NA	floralwhite
Rv3301c	NA	floralwhite
Rv3451	NA	floralwhite
Rv3886c	NA	floralwhite
