nodeName	altName	nodeAttr[nodesPresent, ]
Rv0013	NA	greenyellow
Rv0213c	NA	greenyellow
Rv0341	NA	greenyellow
Rv0524	NA	greenyellow
Rv0645c	NA	greenyellow
Rv0646c	NA	greenyellow
Rv0647c	NA	greenyellow
Rv0837c	NA	greenyellow
Rv0852	NA	greenyellow
Rv0919	NA	greenyellow
Rv0967	NA	greenyellow
Rv1093	NA	greenyellow
Rv1166	NA	greenyellow
Rv1185c	NA	greenyellow
Rv1207	NA	greenyellow
Rv1377c	NA	greenyellow
Rv1474c	NA	greenyellow
Rv1485	NA	greenyellow
Rv1527c	NA	greenyellow
Rv1529	NA	greenyellow
Rv1579c	NA	greenyellow
Rv1609	NA	greenyellow
Rv1772	NA	greenyellow
Rv1776c	NA	greenyellow
Rv1917c	NA	greenyellow
Rv2016	NA	greenyellow
Rv2111c	NA	greenyellow
Rv2343c	NA	greenyellow
Rv2427c	NA	greenyellow
Rv2535c	NA	greenyellow
Rv2537c	NA	greenyellow
Rv2538c	NA	greenyellow
Rv2562	NA	greenyellow
Rv2818c	NA	greenyellow
Rv2819c	NA	greenyellow
Rv2820c	NA	greenyellow
Rv2950c	NA	greenyellow
Rv3046c	NA	greenyellow
Rv3160c	NA	greenyellow
Rv3400	NA	greenyellow
Rv3598c	NA	greenyellow
Rv3719	NA	greenyellow
Rv3720	NA	greenyellow
Rv3767c	NA	greenyellow
Rv3781	NA	greenyellow
Rv3871	NA	greenyellow
Rv3907c	NA	greenyellow
