nodeName	altName	nodeAttr[nodesPresent, ]
Rv0008c	NA	grey
Rv0014c	NA	grey
Rv0018c	NA	grey
Rv0019c	NA	grey
Rv0022c	NA	grey
Rv0027	NA	grey
Rv0032	NA	grey
Rv0040c	NA	grey
Rv0045c	NA	grey
Rv0046c	NA	grey
Rv0048c	NA	grey
Rv0049	NA	grey
Rv0053	NA	grey
Rv0060	NA	grey
Rv0063	NA	grey
Rv0069c	NA	grey
Rv0076c	NA	grey
Rv0078	NA	grey
Rv0084	NA	grey
Rv0087	NA	grey
Rv0093c	NA	grey
Rv0097	NA	grey
Rv0098	NA	grey
Rv0102	NA	grey
Rv0104	NA	grey
Rv0105c	NA	grey
Rv0112	NA	grey
Rv0129c	NA	grey
Rv0130	NA	grey
Rv0131c	NA	grey
Rv0142	NA	grey
Rv0143c	NA	grey
Rv0149	NA	grey
Rv0153c	NA	grey
Rv0160c	NA	grey
Rv0161	NA	grey
Rv0165c	NA	grey
Rv0179c	NA	grey
Rv0186	NA	grey
Rv0194	NA	grey
Rv0197	NA	grey
Rv0209	NA	grey
Rv0210	NA	grey
Rv0215c	NA	grey
Rv0217c	NA	grey
Rv0218	NA	grey
Rv0219	NA	grey
Rv0221	NA	grey
Rv0250c	NA	grey
Rv0256c	NA	grey
Rv0261c	NA	grey
Rv0266c	NA	grey
Rv0269c	NA	grey
Rv0304c	NA	grey
Rv0326	NA	grey
Rv0344c	NA	grey
Rv0345	NA	grey
Rv0354c	NA	grey
Rv0358	NA	grey
Rv0368c	NA	grey
Rv0371c	NA	grey
Rv0372c	NA	grey
Rv0373c	NA	grey
Rv0380c	NA	grey
Rv0381c	NA	grey
Rv0387c	NA	grey
Rv0390	NA	grey
Rv0395	NA	grey
Rv0396	NA	grey
Rv0400c	NA	grey
Rv0402c	NA	grey
Rv0406c	NA	grey
Rv0413	NA	grey
Rv0414c	NA	grey
Rv0416	NA	grey
Rv0417	NA	grey
Rv0419	NA	grey
Rv0422c	NA	grey
Rv0435c	NA	grey
Rv0438c	NA	grey
Rv0439c	NA	grey
Rv0448c	NA	grey
Rv0454	NA	grey
Rv0459	NA	grey
Rv0461	NA	grey
Rv0478	NA	grey
Rv0481c	NA	grey
Rv0493c	NA	grey
Rv0494	NA	grey
Rv0506	NA	grey
Rv0510	NA	grey
Rv0514	NA	grey
Rv0520	NA	grey
Rv0521c	NA	grey
Rv0523c	NA	grey
Rv0530	NA	grey
Rv0534c	NA	grey
Rv0535	NA	grey
Rv0540	NA	grey
Rv0541c	NA	grey
Rv0572c	NA	grey
Rv0573c	NA	grey
Rv0597c	NA	grey
Rv0602c	NA	grey
Rv0614	NA	grey
Rv0622	NA	grey
Rv0624	NA	grey
Rv0625c	NA	grey
Rv0633c	NA	grey
Rv0649	NA	grey
Rv0650	NA	grey
Rv0653c	NA	grey
Rv0664	NA	grey
Rv0673	NA	grey
Rv0689c	NA	grey
Rv0699	NA	grey
Rv0725c	NA	grey
Rv0727c	NA	grey
Rv0741	NA	grey
Rv0742	NA	grey
Rv0754	NA	grey
Rv0755c	NA	grey
Rv0769	NA	grey
Rv0770	NA	grey
Rv0771	NA	grey
Rv0777	NA	grey
Rv0781	NA	grey
Rv0783c	NA	grey
Rv0785	NA	grey
Rv0799c	NA	grey
Rv0821c	NA	grey
Rv0828c	NA	grey
Rv0835	NA	grey
Rv0838	NA	grey
Rv0839	NA	grey
Rv0860	NA	grey
Rv0861c	NA	grey
Rv0864	NA	grey
Rv0875c	NA	grey
Rv0876c	NA	grey
Rv0877	NA	grey
Rv0880	NA	grey
Rv0881	NA	grey
Rv0886	NA	grey
Rv0888	NA	grey
Rv0891c	NA	grey
Rv0892	NA	grey
