nodeName	altName	nodeAttr[nodesPresent, ]
Rv0252	NA	lightgreen
Rv0332	NA	lightgreen
Rv0418	NA	lightgreen
Rv0423c	NA	lightgreen
Rv0858c	NA	lightgreen
Rv1052	NA	lightgreen
Rv1380	NA	lightgreen
Rv1391	NA	lightgreen
Rv1397c	NA	lightgreen
Rv1503c	NA	lightgreen
Rv1571	NA	lightgreen
Rv1696	NA	lightgreen
Rv1832	NA	lightgreen
Rv1859	NA	lightgreen
Rv1927	NA	lightgreen
Rv1955	NA	lightgreen
Rv1956	NA	lightgreen
Rv1993c	NA	lightgreen
Rv2086	NA	lightgreen
Rv2208	NA	lightgreen
Rv2230c	NA	lightgreen
Rv2242	NA	lightgreen
Rv2315c	NA	lightgreen
Rv2466c	NA	lightgreen
Rv2779c	NA	lightgreen
Rv2838c	NA	lightgreen
Rv2878c	NA	lightgreen
Rv3008	NA	lightgreen
Rv3013	NA	lightgreen
Rv3207c	NA	lightgreen
Rv3339c	NA	lightgreen
Rv3346c	NA	lightgreen
Rv3395c	NA	lightgreen
Rv3412	NA	lightgreen
Rv3416	NA	lightgreen
Rv3425	NA	lightgreen
Rv3532	NA	lightgreen
Rv3635	NA	lightgreen
Rv3689	NA	lightgreen
Rv3836	NA	lightgreen
Rv3865	NA	lightgreen
