nodeName	altName	nodeAttr[nodesPresent, ]
Rv0080	NA	lightsteelblue1
Rv0081	NA	lightsteelblue1
Rv0138	NA	lightsteelblue1
Rv0240	NA	lightsteelblue1
Rv0392c	NA	lightsteelblue1
Rv0609	NA	lightsteelblue1
Rv0820	NA	lightsteelblue1
Rv0845	NA	lightsteelblue1
Rv0949	NA	lightsteelblue1
Rv0961	NA	lightsteelblue1
Rv1215c	NA	lightsteelblue1
Rv1320c	NA	lightsteelblue1
Rv1502	NA	lightsteelblue1
Rv1505c	NA	lightsteelblue1
Rv1671	NA	lightsteelblue1
Rv1733c	NA	lightsteelblue1
Rv1994c	NA	lightsteelblue1
Rv2032	NA	lightsteelblue1
Rv2634c	NA	lightsteelblue1
Rv2843	NA	lightsteelblue1
Rv2937	NA	lightsteelblue1
Rv2938	NA	lightsteelblue1
Rv3127	NA	lightsteelblue1
Rv3303c	NA	lightsteelblue1
Rv3480c	NA	lightsteelblue1
Rv3485c	NA	lightsteelblue1
Rv3780	NA	lightsteelblue1
Rv3797	NA	lightsteelblue1
Rv3828c	NA	lightsteelblue1
