nodeName	altName	nodeAttr[nodesPresent, ]
Rv0016c	NA	lightyellow
Rv0028	NA	lightyellow
Rv0052	NA	lightyellow
Rv0116c	NA	lightyellow
Rv0117	NA	lightyellow
Rv0193c	NA	lightyellow
Rv0236c	NA	lightyellow
Rv0513	NA	lightyellow
Rv0539	NA	lightyellow
Rv0595c	NA	lightyellow
Rv0773c	NA	lightyellow
Rv0806c	NA	lightyellow
Rv1226c	NA	lightyellow
Rv1230c	NA	lightyellow
Rv1234	NA	lightyellow
Rv1350	NA	lightyellow
Rv1681	NA	lightyellow
Rv1684	NA	lightyellow
Rv1712	NA	lightyellow
Rv1713	NA	lightyellow
Rv1715	NA	lightyellow
Rv1741	NA	lightyellow
Rv1835c	NA	lightyellow
Rv1965	NA	lightyellow
Rv2083	NA	lightyellow
Rv2084	NA	lightyellow
Rv2474c	NA	lightyellow
Rv2520c	NA	lightyellow
Rv2596	NA	lightyellow
Rv2936	NA	lightyellow
Rv2943	NA	lightyellow
Rv3122	NA	lightyellow
Rv3154	NA	lightyellow
Rv3197	NA	lightyellow
Rv3332	NA	lightyellow
Rv3433c	NA	lightyellow
Rv3479	NA	lightyellow
Rv3691	NA	lightyellow
Rv3701c	NA	lightyellow
Rv3818	NA	lightyellow
Rv3894c	NA	lightyellow
