nodeName	altName	nodeAttr[nodesPresent, ]
Rv0015c	NA	midnightblue
Rv0034	NA	midnightblue
Rv0189c	NA	midnightblue
Rv0286	NA	midnightblue
Rv0287	NA	midnightblue
Rv0288	NA	midnightblue
Rv0289	NA	midnightblue
Rv0290	NA	midnightblue
Rv0291	NA	midnightblue
Rv0471c	NA	midnightblue
Rv0532	NA	midnightblue
Rv0631c	NA	midnightblue
Rv0666	NA	midnightblue
Rv0786c	NA	midnightblue
Rv0856	NA	midnightblue
Rv0866	NA	midnightblue
Rv0994	NA	midnightblue
Rv0995	NA	midnightblue
Rv1030	NA	midnightblue
Rv1050	NA	midnightblue
Rv1175c	NA	midnightblue
Rv1251c	NA	midnightblue
Rv1432	NA	midnightblue
Rv1625c	NA	midnightblue
Rv1662	NA	midnightblue
Rv2071c	NA	midnightblue
Rv2142c	NA	midnightblue
Rv2381c	NA	midnightblue
Rv2450c	NA	midnightblue
Rv2494	NA	midnightblue
Rv2845c	NA	midnightblue
Rv2856	NA	midnightblue
Rv3030	NA	midnightblue
Rv3153	NA	midnightblue
Rv3162c	NA	midnightblue
Rv3169	NA	midnightblue
Rv3220c	NA	midnightblue
Rv3237c	NA	midnightblue
Rv3476c	NA	midnightblue
Rv3494c	NA	midnightblue
Rv3500c	NA	midnightblue
Rv3572	NA	midnightblue
Rv3590c	NA	midnightblue
Rv3671c	NA	midnightblue
Rv3885c	NA	midnightblue
