nodeName	altName	nodeAttr[nodesPresent, ]
Rv0017c	NA	plum1
Rv0124	NA	plum1
Rv0262c	NA	plum1
Rv0694	NA	plum1
Rv0846c	NA	plum1
Rv0850	NA	plum1
Rv0915c	NA	plum1
Rv1236	NA	plum1
Rv1282c	NA	plum1
Rv1288	NA	plum1
Rv1563c	NA	plum1
Rv1652	NA	plum1
Rv1670	NA	plum1
Rv1760	NA	plum1
Rv2036	NA	plum1
Rv2116	NA	plum1
Rv2117	NA	plum1
Rv2212	NA	plum1
Rv2213	NA	plum1
Rv2284	NA	plum1
Rv2330c	NA	plum1
Rv2544	NA	plum1
Rv2658c	NA	plum1
Rv2659c	NA	plum1
Rv3078	NA	plum1
Rv3228	NA	plum1
Rv3504	NA	plum1
Rv3505	NA	plum1
Rv3534c	NA	plum1
Rv3538	NA	plum1
