nodeName	altName	nodeAttr[nodesPresent, ]
Rv0133	NA	red
Rv0316	NA	red
Rv0361	NA	red
Rv0363c	NA	red
Rv0470c	NA	red
Rv0589	NA	red
Rv0590	NA	red
Rv0591	NA	red
Rv0762c	NA	red
Rv0782	NA	red
Rv0951	NA	red
Rv1032c	NA	red
Rv1067c	NA	red
Rv1074c	NA	red
Rv1211	NA	red
Rv1260	NA	red
Rv1262c	NA	red
Rv1299	NA	red
Rv1300	NA	red
Rv1301	NA	red
Rv1475c	NA	red
Rv1525	NA	red
Rv1536	NA	red
Rv1608c	NA	red
Rv1724c	NA	red
Rv1796	NA	red
Rv1826	NA	red
Rv1842c	NA	red
Rv1896c	NA	red
Rv1901	NA	red
Rv1904	NA	red
Rv1915	NA	red
Rv1984c	NA	red
Rv2157c	NA	red
Rv2239c	NA	red
Rv2241	NA	red
Rv2375	NA	red
Rv2502c	NA	red
Rv2508c	NA	red
Rv2536	NA	red
Rv2543	NA	red
Rv2552c	NA	red
Rv2591	NA	red
Rv2674	NA	red
Rv2833c	NA	red
Rv2861c	NA	red
Rv3074	NA	red
Rv3115	NA	red
Rv3283	NA	red
Rv3421c	NA	red
Rv3609c	NA	red
Rv3639c	NA	red
Rv3676	NA	red
Rv3874	NA	red
Rv3879c	NA	red
