nodeName	altName	nodeAttr[nodesPresent, ]
Rv0056	NA	royalblue
Rv0246	NA	royalblue
Rv0347	NA	royalblue
Rv0544c	NA	royalblue
Rv0719	NA	royalblue
Rv0721	NA	royalblue
Rv0722	NA	royalblue
Rv0938	NA	royalblue
Rv1063c	NA	royalblue
Rv1208	NA	royalblue
Rv1531	NA	royalblue
Rv1545	NA	royalblue
Rv1610	NA	royalblue
Rv1618	NA	royalblue
Rv1649	NA	royalblue
Rv1783	NA	royalblue
Rv1821	NA	royalblue
Rv2124c	NA	royalblue
Rv2165c	NA	royalblue
Rv2222c	NA	royalblue
Rv2255c	NA	royalblue
Rv2261c	NA	royalblue
Rv2385	NA	royalblue
Rv2397c	NA	royalblue
Rv2445c	NA	royalblue
Rv2517c	NA	royalblue
Rv2681	NA	royalblue
Rv2921c	NA	royalblue
Rv3041c	NA	royalblue
Rv3042c	NA	royalblue
Rv3260c	NA	royalblue
Rv3337	NA	royalblue
Rv3338	NA	royalblue
Rv3362c	NA	royalblue
Rv3407	NA	royalblue
Rv3438	NA	royalblue
Rv3811	NA	royalblue
Rv3876	NA	royalblue
Rv3878	NA	royalblue
