nodeName	altName	nodeAttr[nodesPresent, ]
Rv0029	NA	salmon
Rv0089	NA	salmon
Rv0126	NA	salmon
Rv0140	NA	salmon
Rv0163	NA	salmon
Rv0233	NA	salmon
Rv0405	NA	salmon
Rv0450c	NA	salmon
Rv0451c	NA	salmon
Rv0551c	NA	salmon
Rv0594	NA	salmon
Rv0610c	NA	salmon
Rv0680c	NA	salmon
Rv0698	NA	salmon
Rv0776c	NA	salmon
Rv0862c	NA	salmon
Rv0863	NA	salmon
Rv0955	NA	salmon
Rv0959	NA	salmon
Rv1014c	NA	salmon
Rv1126c	NA	salmon
Rv1367c	NA	salmon
Rv1522c	NA	salmon
Rv1648	NA	salmon
Rv1717	NA	salmon
Rv1729c	NA	salmon
Rv1861	NA	salmon
Rv1979c	NA	salmon
Rv2336	NA	salmon
Rv2339	NA	salmon
Rv2676c	NA	salmon
Rv2703	NA	salmon
Rv2704	NA	salmon
Rv2933	NA	salmon
Rv2965c	NA	salmon
Rv3027c	NA	salmon
Rv3109	NA	salmon
Rv3112	NA	salmon
Rv3158	NA	salmon
Rv3272	NA	salmon
Rv3549c	NA	salmon
Rv3589	NA	salmon
Rv3599c	NA	salmon
Rv3862c	NA	salmon
Rv3868	NA	salmon
Rv3918c	NA	salmon
