nodeName	altName	nodeAttr[nodesPresent, ]
Rv0061	NA	tan
Rv0099	NA	tan
Rv0159c	NA	tan
Rv0366c	NA	tan
Rv0499	NA	tan
Rv0543c	NA	tan
Rv0568	NA	tan
Rv0751c	NA	tan
Rv0795	NA	tan
Rv0804	NA	tan
Rv1036c	NA	tan
Rv1064c	NA	tan
Rv1358	NA	tan
Rv1370c	NA	tan
Rv1478	NA	tan
Rv1550	NA	tan
Rv1739c	NA	tan
Rv1757c	NA	tan
Rv1763	NA	tan
Rv1800	NA	tan
Rv1866	NA	tan
Rv2054	NA	tan
Rv2105	NA	tan
Rv2120c	NA	tan
Rv2168c	NA	tan
Rv2169c	NA	tan
Rv2270	NA	tan
Rv2278	NA	tan
Rv2354	NA	tan
Rv2480c	NA	tan
Rv2546	NA	tan
Rv2648	NA	tan
Rv2815c	NA	tan
Rv2924c	NA	tan
Rv3032	NA	tan
Rv3077	NA	tan
Rv3096	NA	tan
Rv3149	NA	tan
Rv3184	NA	tan
Rv3186	NA	tan
Rv3298c	NA	tan
Rv3299c	NA	tan
Rv3325	NA	tan
Rv3381c	NA	tan
Rv3474	NA	tan
Rv3698	NA	tan
