nodeName	altName	nodeAttr[nodesPresent, ]
Rv0260c	NA	thistle1
Rv0300	NA	thistle1
Rv0301	NA	thistle1
Rv0428c	NA	thistle1
Rv0492c	NA	thistle1
Rv0574c	NA	thistle1
Rv0642c	NA	thistle1
Rv0696	NA	thistle1
Rv1037c	NA	thistle1
Rv1076	NA	thistle1
Rv1198	NA	thistle1
Rv1394c	NA	thistle1
Rv1472	NA	thistle1
Rv1933c	NA	thistle1
Rv2005c	NA	thistle1
Rv2191	NA	thistle1
Rv2296	NA	thistle1
Rv2307c	NA	thistle1
Rv2324	NA	thistle1
Rv2668	NA	thistle1
Rv3049c	NA	thistle1
Rv3302c	NA	thistle1
Rv3619c	NA	thistle1
Rv3654c	NA	thistle1
Rv3655c	NA	thistle1
Rv3656c	NA	thistle1
Rv3657c	NA	thistle1
