nodeName	altName	nodeAttr[nodesPresent, ]
Rv0004	NA	violet
Rv0336	NA	violet
Rv0464c	NA	violet
Rv0515	NA	violet
Rv0560c	NA	violet
Rv1013	NA	violet
Rv1015c	NA	violet
Rv1102c	NA	violet
Rv1141c	NA	violet
Rv1209	NA	violet
Rv1292	NA	violet
Rv1444c	NA	violet
Rv1445c	NA	violet
Rv1466	NA	violet
Rv1506c	NA	violet
Rv1604	NA	violet
Rv1605	NA	violet
Rv1606	NA	violet
Rv1916	NA	violet
Rv1977	NA	violet
Rv2038c	NA	violet
Rv2048c	NA	violet
Rv2153c	NA	violet
Rv2519	NA	violet
Rv2617c	NA	violet
Rv2795c	NA	violet
Rv3271c	NA	violet
Rv3295	NA	violet
Rv3806c	NA	violet
Rv3902c	NA	violet
Rv3903c	NA	violet
