nodeName	altName	nodeAttr[nodesPresent, ]
Rv0044c	NA	yellowgreen
Rv0145	NA	yellowgreen
Rv0208c	NA	yellowgreen
Rv0466	NA	yellowgreen
Rv0480c	NA	yellowgreen
Rv0483	NA	yellowgreen
Rv0554	NA	yellowgreen
Rv0635	NA	yellowgreen
Rv0814c	NA	yellowgreen
Rv1115	NA	yellowgreen
Rv1183	NA	yellowgreen
Rv1256c	NA	yellowgreen
Rv1465	NA	yellowgreen
Rv1470	NA	yellowgreen
Rv1798	NA	yellowgreen
Rv1876	NA	yellowgreen
Rv1980c	NA	yellowgreen
Rv1987	NA	yellowgreen
Rv2449c	NA	yellowgreen
Rv2555c	NA	yellowgreen
Rv2743c	NA	yellowgreen
Rv2775	NA	yellowgreen
Rv2797c	NA	yellowgreen
Rv2855	NA	yellowgreen
Rv2955c	NA	yellowgreen
Rv3118	NA	yellowgreen
Rv3593	NA	yellowgreen
Rv3749c	NA	yellowgreen
Rv3787c	NA	yellowgreen
Rv3802c	NA	yellowgreen
