fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0115	Rv0285	0.0903790735982405	undirected	NA	NA
Rv0115	Rv0455c	0.139126033730579	undirected	NA	NA
Rv0115	Rv0805	0.0618436868789655	undirected	NA	NA
Rv0115	Rv1025	0.111169656757523	undirected	NA	NA
Rv0115	Rv1176c	0.165428584265771	undirected	NA	NA
Rv0115	Rv1261c	0.0806646495466812	undirected	NA	NA
Rv0115	Rv1620c	0.0539716286442811	undirected	NA	NA
Rv0115	Rv1797	0.0575755773847047	undirected	NA	NA
Rv0115	Rv1855c	0.0446101652451643	undirected	NA	NA
Rv0115	Rv1935c	0.0131404674254226	undirected	NA	NA
Rv0115	Rv2039c	0.0590475250007371	undirected	NA	NA
Rv0115	Rv2429	0.0741949515831715	undirected	NA	NA
Rv0115	Rv2553c	0.129336452679639	undirected	NA	NA
Rv0115	Rv2782c	0.0968904633828629	undirected	NA	NA
Rv0115	Rv3016	0.0471436016898489	undirected	NA	NA
Rv0115	Rv3052c	0.0690814297864516	undirected	NA	NA
Rv0115	Rv3342	0.0481412201615666	undirected	NA	NA
Rv0115	Rv3523	0.00685396169254904	undirected	NA	NA
Rv0115	Rv3542c	0.0495496849126711	undirected	NA	NA
Rv0115	Rv3672c	0.00316372559266409	undirected	NA	NA
Rv0115	Rv3895c	0.020090293980103	undirected	NA	NA
Rv0285	Rv0455c	0.0719003231694892	undirected	NA	NA
Rv0285	Rv0805	0.0503550500878335	undirected	NA	NA
Rv0285	Rv1025	0.12625402939375	undirected	NA	NA
Rv0285	Rv1176c	0.0745211498973573	undirected	NA	NA
Rv0285	Rv1261c	0.12335883709502	undirected	NA	NA
Rv0285	Rv1620c	0.0151028248915062	undirected	NA	NA
Rv0285	Rv1797	0.0776582572089801	undirected	NA	NA
Rv0285	Rv1855c	0.0289192626899193	undirected	NA	NA
Rv0285	Rv1935c	0.0062004695849831	undirected	NA	NA
Rv0285	Rv2039c	0.0149563148647678	undirected	NA	NA
Rv0285	Rv2429	0.0852567922948698	undirected	NA	NA
Rv0285	Rv2553c	0.0552312165176009	undirected	NA	NA
Rv0285	Rv2782c	0.039938233283194	undirected	NA	NA
Rv0285	Rv3016	0.137487382322845	undirected	NA	NA
Rv0285	Rv3052c	0.0323419638402796	undirected	NA	NA
Rv0285	Rv3342	0.0158602981820459	undirected	NA	NA
Rv0285	Rv3523	0.00425966258343467	undirected	NA	NA
Rv0285	Rv3542c	0.148797208364689	undirected	NA	NA
Rv0285	Rv3672c	0.0011920393690109	undirected	NA	NA
Rv0285	Rv3895c	0.00740150121015138	undirected	NA	NA
Rv0455c	Rv0805	0.0846889213287084	undirected	NA	NA
Rv0455c	Rv1025	0.0715913113709226	undirected	NA	NA
Rv0455c	Rv1176c	0.195312979067615	undirected	NA	NA
Rv0455c	Rv1261c	0.081756217790384	undirected	NA	NA
Rv0455c	Rv1620c	0.0323917691713218	undirected	NA	NA
Rv0455c	Rv1797	0.0458414854747763	undirected	NA	NA
Rv0455c	Rv1855c	0.0373127398957346	undirected	NA	NA
Rv0455c	Rv1935c	0.0108005643071758	undirected	NA	NA
Rv0455c	Rv2039c	0.0318603544241422	undirected	NA	NA
Rv0455c	Rv2429	0.093632623256768	undirected	NA	NA
Rv0455c	Rv2553c	0.189943968081687	undirected	NA	NA
Rv0455c	Rv2782c	0.157864194506051	undirected	NA	NA
Rv0455c	Rv3016	0.0356589556993123	undirected	NA	NA
Rv0455c	Rv3052c	0.127020977967229	undirected	NA	NA
Rv0455c	Rv3342	0.108035630072548	undirected	NA	NA
Rv0455c	Rv3523	0.0218992409606475	undirected	NA	NA
Rv0455c	Rv3542c	0.0374851624923507	undirected	NA	NA
Rv0455c	Rv3672c	0.0018921557673221	undirected	NA	NA
Rv0455c	Rv3895c	0.052487807393877	undirected	NA	NA
Rv0805	Rv1025	0.0398393198317006	undirected	NA	NA
Rv0805	Rv1176c	0.0673970127426316	undirected	NA	NA
Rv0805	Rv1261c	0.0274801305082649	undirected	NA	NA
Rv0805	Rv1620c	0.00665199127469088	undirected	NA	NA
Rv0805	Rv1797	0.0928328350204741	undirected	NA	NA
Rv0805	Rv1855c	0.031957774509875	undirected	NA	NA
Rv0805	Rv1935c	0.00794341684323716	undirected	NA	NA
Rv0805	Rv2039c	0.00908473364678702	undirected	NA	NA
Rv0805	Rv2429	0.0549145261854975	undirected	NA	NA
Rv0805	Rv2553c	0.0516642812440707	undirected	NA	NA
Rv0805	Rv2782c	0.0465243492349637	undirected	NA	NA
Rv0805	Rv3016	0.0328496219040925	undirected	NA	NA
Rv0805	Rv3052c	0.0632926895492181	undirected	NA	NA
Rv0805	Rv3342	0.0239334063611511	undirected	NA	NA
Rv0805	Rv3523	0.0229554954348862	undirected	NA	NA
Rv0805	Rv3542c	0.0281085677187476	undirected	NA	NA
Rv0805	Rv3672c	0.001295143325219	undirected	NA	NA
Rv0805	Rv3895c	0.0193523437393031	undirected	NA	NA
Rv1025	Rv1176c	0.0772065364391521	undirected	NA	NA
Rv1025	Rv1261c	0.0958093343030744	undirected	NA	NA
Rv1025	Rv1620c	0.0356533611891368	undirected	NA	NA
Rv1025	Rv1797	0.049690142440488	undirected	NA	NA
Rv1025	Rv1855c	0.0301506839496814	undirected	NA	NA
Rv1025	Rv1935c	0.0126314619539085	undirected	NA	NA
Rv1025	Rv2039c	0.0368307464027915	undirected	NA	NA
Rv1025	Rv2429	0.0840161582338072	undirected	NA	NA
Rv1025	Rv2553c	0.0432627026081008	undirected	NA	NA
Rv1025	Rv2782c	0.0313543249256252	undirected	NA	NA
Rv1025	Rv3016	0.082247111963347	undirected	NA	NA
Rv1025	Rv3052c	0.0212711986920095	undirected	NA	NA
Rv1025	Rv3342	0.0078187898892338	undirected	NA	NA
Rv1025	Rv3523	0.00252876811337045	undirected	NA	NA
Rv1025	Rv3542c	0.0868988564209121	undirected	NA	NA
Rv1025	Rv3672c	0.00375298642637833	undirected	NA	NA
Rv1025	Rv3895c	0.00429998582283882	undirected	NA	NA
Rv1176c	Rv1261c	0.0516801437175538	undirected	NA	NA
Rv1176c	Rv1620c	0.0204236721175595	undirected	NA	NA
Rv1176c	Rv1797	0.0415176172031234	undirected	NA	NA
Rv1176c	Rv1855c	0.0362432032306842	undirected	NA	NA
Rv1176c	Rv1935c	0.0142257617047429	undirected	NA	NA
Rv1176c	Rv2039c	0.0234201079677284	undirected	NA	NA
Rv1176c	Rv2429	0.0713593200063352	undirected	NA	NA
Rv1176c	Rv2553c	0.139002265854379	undirected	NA	NA
Rv1176c	Rv2782c	0.130558268436683	undirected	NA	NA
Rv1176c	Rv3016	0.0255022753730576	undirected	NA	NA
Rv1176c	Rv3052c	0.106472836937264	undirected	NA	NA
Rv1176c	Rv3342	0.0656288814622564	undirected	NA	NA
Rv1176c	Rv3523	0.0194395696471476	undirected	NA	NA
Rv1176c	Rv3542c	0.0273803077109001	undirected	NA	NA
Rv1176c	Rv3672c	0.00448509283850398	undirected	NA	NA
Rv1176c	Rv3895c	0.0380357966477683	undirected	NA	NA
Rv1261c	Rv1620c	0.0172840645127708	undirected	NA	NA
Rv1261c	Rv1797	0.031904699167884	undirected	NA	NA
Rv1261c	Rv1855c	0.0109087493219722	undirected	NA	NA
Rv1261c	Rv1935c	0.00576052073400974	undirected	NA	NA
Rv1261c	Rv2039c	0.0149693430784111	undirected	NA	NA
Rv1261c	Rv2429	0.0577365566175109	undirected	NA	NA
Rv1261c	Rv2553c	0.045661880146796	undirected	NA	NA
Rv1261c	Rv2782c	0.0438477877846933	undirected	NA	NA
Rv1261c	Rv3016	0.0497413851345107	undirected	NA	NA
Rv1261c	Rv3052c	0.0223086398866725	undirected	NA	NA
Rv1261c	Rv3342	0.0131293865220071	undirected	NA	NA
Rv1261c	Rv3523	0.00367248041031285	undirected	NA	NA
Rv1261c	Rv3542c	0.11089098485687	undirected	NA	NA
Rv1261c	Rv3672c	0.000916930126729842	undirected	NA	NA
Rv1261c	Rv3895c	0.0117451846543448	undirected	NA	NA
Rv1620c	Rv1797	0.00857564774910845	undirected	NA	NA
Rv1620c	Rv1855c	0.00397449663942636	undirected	NA	NA
Rv1620c	Rv1935c	0.0032232933473479	undirected	NA	NA
Rv1620c	Rv2039c	0.172663959842894	undirected	NA	NA
Rv1620c	Rv2429	0.0121510692934783	undirected	NA	NA
Rv1620c	Rv2553c	0.019716002503533	undirected	NA	NA
Rv1620c	Rv2782c	0.0131110077319774	undirected	NA	NA
Rv1620c	Rv3016	0.00471949705232955	undirected	NA	NA
Rv1620c	Rv3052c	0.00507426430513015	undirected	NA	NA
Rv1620c	Rv3342	0.00243661372590458	undirected	NA	NA
Rv1620c	Rv3523	0.00028094000727788	undirected	NA	NA
Rv1620c	Rv3542c	0.00822675613689668	undirected	NA	NA
Rv1620c	Rv3672c	0.000398947052422791	undirected	NA	NA
Rv1620c	Rv3895c	0.000805475739304552	undirected	NA	NA
Rv1797	Rv1855c	0.0489775605159125	undirected	NA	NA
Rv1797	Rv1935c	0.00480234541528129	undirected	NA	NA
Rv1797	Rv2039c	0.0122789068305821	undirected	NA	NA
Rv1797	Rv2429	0.0404159012918474	undirected	NA	NA
Rv1797	Rv2553c	0.0302490034663302	undirected	NA	NA
Rv1797	Rv2782c	0.0213031598768959	undirected	NA	NA
Rv1797	Rv3016	0.062867560151719	undirected	NA	NA
Rv1797	Rv3052c	0.0263324532824893	undirected	NA	NA
Rv1797	Rv3342	0.00781415671373823	undirected	NA	NA
Rv1797	Rv3523	0.00422021963988096	undirected	NA	NA
Rv1797	Rv3542c	0.0558724226519628	undirected	NA	NA
