fromNode	toNode	weight	direction	fromAltName	toAltName
Rv0191	Rv0928	0.00936826560795433	undirected	NA	NA
Rv0191	Rv1140	0.0483198192158062	undirected	NA	NA
Rv0191	Rv1200	0.0138461905932771	undirected	NA	NA
Rv0191	Rv1270c	0.0640863170274518	undirected	NA	NA
Rv0191	Rv1302	0.000566252140782374	undirected	NA	NA
Rv0191	Rv1471	0.000504052250009698	undirected	NA	NA
Rv0191	Rv1788	0.0383231480238398	undirected	NA	NA
Rv0191	Rv2000	0.00312868663709769	undirected	NA	NA
Rv0191	Rv2215	0.101327351175118	undirected	NA	NA
Rv0191	Rv2299c	0.121642990127091	undirected	NA	NA
Rv0191	Rv2364c	0.0907204878588475	undirected	NA	NA
Rv0191	Rv2365c	0.07332529527407	undirected	NA	NA
Rv0191	Rv2444c	0.0118961046814585	undirected	NA	NA
Rv0191	Rv2561	0.0130138571734797	undirected	NA	NA
Rv0191	Rv2582	0.0661622179582361	undirected	NA	NA
Rv0191	Rv2774c	0.00590627749867324	undirected	NA	NA
Rv0191	Rv2988c	0.00537740042330286	undirected	NA	NA
Rv0191	Rv3092c	0.114206090081914	undirected	NA	NA
Rv0191	Rv3212	0.080153128313752	undirected	NA	NA
Rv0191	Rv3229c	0.000986987778030272	undirected	NA	NA
Rv0191	Rv3399	0.001054469777647	undirected	NA	NA
Rv0191	Rv3852	0.0518229390347401	undirected	NA	NA
Rv0928	Rv1140	0.00831045381967627	undirected	NA	NA
Rv0928	Rv1200	0.00408846448027416	undirected	NA	NA
Rv0928	Rv1270c	0.0242624095326109	undirected	NA	NA
Rv0928	Rv1302	0.00398694927164376	undirected	NA	NA
Rv0928	Rv1471	0.00076074103230654	undirected	NA	NA
Rv0928	Rv1788	0.00215462609026334	undirected	NA	NA
Rv0928	Rv2000	0.00252514240833277	undirected	NA	NA
Rv0928	Rv2215	0.0412194548765216	undirected	NA	NA
Rv0928	Rv2299c	0.0296166527801507	undirected	NA	NA
Rv0928	Rv2364c	0.0570897002783807	undirected	NA	NA
