nodeName	altName	nodeAttr[nodesPresent, ]
Rv0611c	NA	bisque4
Rv0772	NA	bisque4
Rv0817c	NA	bisque4
Rv0893c	NA	bisque4
Rv0993	NA	bisque4
Rv1153c	NA	bisque4
Rv1167c	NA	bisque4
Rv1290c	NA	bisque4
Rv1323	NA	bisque4
Rv1384	NA	bisque4
Rv1418	NA	bisque4
Rv1665	NA	bisque4
Rv1758	NA	bisque4
Rv1778c	NA	bisque4
Rv1981c	NA	bisque4
Rv2139	NA	bisque4
Rv2203	NA	bisque4
Rv2333c	NA	bisque4
Rv2413c	NA	bisque4
Rv2678c	NA	bisque4
Rv2705c	NA	bisque4
Rv2756c	NA	bisque4
Rv2996c	NA	bisque4
Rv3377c	NA	bisque4
Rv3541c	NA	bisque4
Rv3805c	NA	bisque4
Rv3807c	NA	bisque4
Rv3858c	NA	bisque4
