nodeName	altName	nodeAttr[nodesPresent, ]
Rv0114	NA	brown
Rv0167	NA	brown
Rv0168	NA	brown
Rv0178	NA	brown
Rv0436c	NA	brown
Rv0502	NA	brown
Rv0542c	NA	brown
Rv0546c	NA	brown
Rv0567	NA	brown
Rv0578c	NA	brown
Rv0851c	NA	brown
Rv0932c	NA	brown
Rv0968	NA	brown
Rv1020	NA	brown
Rv1142c	NA	brown
Rv1360	NA	brown
Rv1398c	NA	brown
Rv1624c	NA	brown
Rv1650	NA	brown
Rv1678	NA	brown
Rv1700	NA	brown
Rv1742	NA	brown
Rv1780	NA	brown
Rv1782	NA	brown
Rv2062c	NA	brown
Rv2112c	NA	brown
Rv2132	NA	brown
Rv2146c	NA	brown
Rv2182c	NA	brown
Rv2194	NA	brown
Rv2204c	NA	brown
Rv2227	NA	brown
Rv2233	NA	brown
Rv2305	NA	brown
Rv2440c	NA	brown
Rv2442c	NA	brown
Rv2509	NA	brown
Rv2530c	NA	brown
Rv2534c	NA	brown
Rv2576c	NA	brown
Rv2790c	NA	brown
Rv2882c	NA	brown
Rv2886c	NA	brown
Rv2934	NA	brown
Rv3066	NA	brown
Rv3233c	NA	brown
Rv3254	NA	brown
Rv3264c	NA	brown
Rv3276c	NA	brown
Rv3282	NA	brown
Rv3322c	NA	brown
Rv3336c	NA	brown
Rv3356c	NA	brown
Rv3360	NA	brown
Rv3492c	NA	brown
Rv3570c	NA	brown
Rv3592	NA	brown
Rv3623	NA	brown
Rv3629c	NA	brown
Rv3684	NA	brown
Rv3692	NA	brown
Rv3694c	NA	brown
Rv3708c	NA	brown
Rv3863	NA	brown
Rv3900c	NA	brown
