nodeName	altName	nodeAttr[nodesPresent, ]
Rv0212c	NA	darkorange2
Rv0271c	NA	darkorange2
Rv0563	NA	darkorange2
Rv0564c	NA	darkorange2
Rv0586	NA	darkorange2
Rv0676c	NA	darkorange2
Rv0677c	NA	darkorange2
Rv0679c	NA	darkorange2
Rv0701	NA	darkorange2
Rv0717	NA	darkorange2
Rv1001	NA	darkorange2
Rv1265	NA	darkorange2
Rv1493	NA	darkorange2
Rv1676	NA	darkorange2
Rv1721c	NA	darkorange2
Rv1870c	NA	darkorange2
Rv1898	NA	darkorange2
Rv1952	NA	darkorange2
Rv2148c	NA	darkorange2
Rv2547	NA	darkorange2
Rv2671	NA	darkorange2
Rv2682c	NA	darkorange2
Rv2805	NA	darkorange2
Rv3044	NA	darkorange2
Rv3269	NA	darkorange2
Rv3393	NA	darkorange2
Rv3714c	NA	darkorange2
Rv3911	NA	darkorange2
