nodeName	altName	nodeAttr[nodesPresent, ]
Rv0035	NA	darkred
Rv0170	NA	darkred
Rv0171	NA	darkred
Rv0172	NA	darkred
Rv0173	NA	darkred
Rv0174	NA	darkred
Rv0360c	NA	darkred
Rv0465c	NA	darkred
Rv0529	NA	darkred
Rv0585c	NA	darkred
Rv0908	NA	darkred
Rv0931c	NA	darkred
Rv1056	NA	darkred
Rv1426c	NA	darkred
Rv1719	NA	darkred
Rv1773c	NA	darkred
Rv1848	NA	darkred
Rv1860	NA	darkred
Rv1920	NA	darkred
Rv2018	NA	darkred
Rv2254c	NA	darkred
Rv2287	NA	darkred
Rv2486	NA	darkred
Rv2595	NA	darkred
Rv2739c	NA	darkred
Rv2776c	NA	darkred
Rv2932	NA	darkred
Rv2946c	NA	darkred
Rv3083	NA	darkred
Rv3084	NA	darkred
Rv3085	NA	darkred
Rv3155	NA	darkred
Rv3156	NA	darkred
Rv3157	NA	darkred
Rv3630	NA	darkred
Rv3631	NA	darkred
Rv3652	NA	darkred
Rv3823c	NA	darkred
Rv3901c	NA	darkred
