nodeName	altName	nodeAttr[nodesPresent, ]
Rv0030	NA	grey60
Rv0031	NA	grey60
Rv0090	NA	grey60
Rv0162c	NA	grey60
Rv0248c	NA	grey60
Rv0265c	NA	grey60
Rv0651	NA	grey60
Rv0665	NA	grey60
Rv0687	NA	grey60
Rv0735	NA	grey60
Rv0736	NA	grey60
Rv0913c	NA	grey60
Rv0918	NA	grey60
Rv1004c	NA	grey60
Rv1137c	NA	grey60
Rv1246c	NA	grey60
Rv1250	NA	grey60
Rv1268c	NA	grey60
Rv1319c	NA	grey60
Rv1411c	NA	grey60
Rv1660	NA	grey60
Rv1716	NA	grey60
Rv1880c	NA	grey60
Rv2041c	NA	grey60
Rv2177c	NA	grey60
Rv2226	NA	grey60
Rv2337c	NA	grey60
Rv2406c	NA	grey60
Rv2424c	NA	grey60
Rv2767c	NA	grey60
Rv2907c	NA	grey60
Rv2968c	NA	grey60
Rv3102c	NA	grey60
Rv3104c	NA	grey60
Rv3172c	NA	grey60
Rv3286c	NA	grey60
Rv3447c	NA	grey60
Rv3562	NA	grey60
Rv3564	NA	grey60
Rv3583c	NA	grey60
Rv3721c	NA	grey60
