nodeName	altName	nodeAttr[nodesPresent, ]
Rv0292	NA	lightcyan
Rv0556	NA	lightcyan
Rv0592	NA	lightcyan
Rv0620	NA	lightcyan
Rv0816c	NA	lightcyan
Rv0884c	NA	lightcyan
Rv0890c	NA	lightcyan
Rv0946c	NA	lightcyan
Rv1016c	NA	lightcyan
Rv1151c	NA	lightcyan
Rv1162	NA	lightcyan
Rv1165	NA	lightcyan
Rv1259	NA	lightcyan
Rv1342c	NA	lightcyan
Rv1413	NA	lightcyan
Rv1439c	NA	lightcyan
Rv1443c	NA	lightcyan
Rv1580c	NA	lightcyan
Rv1582c	NA	lightcyan
Rv1785c	NA	lightcyan
Rv1983	NA	lightcyan
Rv2045c	NA	lightcyan
Rv2073c	NA	lightcyan
Rv2092c	NA	lightcyan
Rv2135c	NA	lightcyan
Rv2156c	NA	lightcyan
Rv2378c	NA	lightcyan
Rv2379c	NA	lightcyan
Rv2518c	NA	lightcyan
Rv2551c	NA	lightcyan
Rv2600	NA	lightcyan
Rv2601	NA	lightcyan
Rv2761c	NA	lightcyan
Rv2832c	NA	lightcyan
Rv2834c	NA	lightcyan
Rv2848c	NA	lightcyan
Rv3163c	NA	lightcyan
Rv3214	NA	lightcyan
Rv3528c	NA	lightcyan
Rv3605c	NA	lightcyan
Rv3606c	NA	lightcyan
Rv3607c	NA	lightcyan
Rv3718c	NA	lightcyan
Rv3819	NA	lightcyan
Rv3899c	NA	lightcyan
