nodeName	altName	nodeAttr[nodesPresent, ]
Rv0070c	NA	skyblue
Rv0796	NA	skyblue
Rv0986	NA	skyblue
Rv1179c	NA	skyblue
Rv1355c	NA	skyblue
Rv1369c	NA	skyblue
Rv1477	NA	skyblue
Rv1695	NA	skyblue
Rv1756c	NA	skyblue
Rv1764	NA	skyblue
Rv1908c	NA	skyblue
Rv2106	NA	skyblue
Rv2167c	NA	skyblue
Rv2180c	NA	skyblue
Rv2274c	NA	skyblue
Rv2279	NA	skyblue
Rv2355	NA	skyblue
Rv2479c	NA	skyblue
Rv2649	NA	skyblue
Rv2814c	NA	skyblue
Rv2859c	NA	skyblue
Rv2892c	NA	skyblue
Rv2979c	NA	skyblue
Rv3020c	NA	skyblue
Rv3106	NA	skyblue
Rv3170	NA	skyblue
Rv3185	NA	skyblue
Rv3187	NA	skyblue
Rv3253c	NA	skyblue
Rv3326	NA	skyblue
Rv3352c	NA	skyblue
Rv3380c	NA	skyblue
Rv3475	NA	skyblue
Rv3849	NA	skyblue
