nodeName	altName	nodeAttr[nodesPresent, ]
772	NA	blue4
877	NA	blue4
1001	NA	blue4
1043	NA	blue4
1436	NA	blue4
1754	NA	blue4
3081	NA	blue4
4059	NA	blue4
4618	NA	blue4
5160	NA	blue4
5187	NA	blue4
5651	NA	blue4
5724	NA	blue4
6268	NA	blue4
7190	NA	blue4
7209	NA	blue4
7470	NA	blue4
7871	NA	blue4
7919	NA	blue4
9126	NA	blue4
9333	NA	blue4
9505	NA	blue4
9875	NA	blue4
9998	NA	blue4
10215	NA	blue4
10783	NA	blue4
10846	NA	blue4
12478	NA	blue4
13200	NA	blue4
13486	NA	blue4
13680	NA	blue4
14327	NA	blue4
14405	NA	blue4
14826	NA	blue4
14874	NA	blue4
15350	NA	blue4
