nodeName	altName	nodeAttr[nodesPresent, ]
383	NA	coral2
475	NA	coral2
552	NA	coral2
767	NA	coral2
850	NA	coral2
1355	NA	coral2
2217	NA	coral2
2593	NA	coral2
2763	NA	coral2
2833	NA	coral2
3060	NA	coral2
3111	NA	coral2
3536	NA	coral2
3549	NA	coral2
3857	NA	coral2
4267	NA	coral2
4470	NA	coral2
4583	NA	coral2
4740	NA	coral2
5230	NA	coral2
5313	NA	coral2
6254	NA	coral2
6423	NA	coral2
6738	NA	coral2
7977	NA	coral2
8007	NA	coral2
8127	NA	coral2
8681	NA	coral2
8973	NA	coral2
9412	NA	coral2
9587	NA	coral2
10258	NA	coral2
10746	NA	coral2
10755	NA	coral2
10869	NA	coral2
10920	NA	coral2
11004	NA	coral2
11196	NA	coral2
11224	NA	coral2
11252	NA	coral2
11965	NA	coral2
12090	NA	coral2
12950	NA	coral2
13155	NA	coral2
13529	NA	coral2
14154	NA	coral2
14178	NA	coral2
14650	NA	coral2
14796	NA	coral2
14834	NA	coral2
14900	NA	coral2
15191	NA	coral2
15240	NA	coral2
15302	NA	coral2
15709	NA	coral2
