nodeName	altName	nodeAttr[nodesPresent, ]
202	NA	deeppink
204	NA	deeppink
550	NA	deeppink
588	NA	deeppink
1892	NA	deeppink
2232	NA	deeppink
2491	NA	deeppink
3349	NA	deeppink
4423	NA	deeppink
4572	NA	deeppink
4628	NA	deeppink
4985	NA	deeppink
5881	NA	deeppink
5991	NA	deeppink
7130	NA	deeppink
7466	NA	deeppink
7908	NA	deeppink
8484	NA	deeppink
8774	NA	deeppink
8782	NA	deeppink
8800	NA	deeppink
10092	NA	deeppink
11109	NA	deeppink
11329	NA	deeppink
12488	NA	deeppink
13842	NA	deeppink
14079	NA	deeppink
14861	NA	deeppink
14864	NA	deeppink
15020	NA	deeppink
15101	NA	deeppink
15237	NA	deeppink
15319	NA	deeppink
15352	NA	deeppink
15587	NA	deeppink
