nodeName	altName	nodeAttr[nodesPresent, ]
731	NA	lightblue4
1077	NA	lightblue4
2492	NA	lightblue4
3620	NA	lightblue4
3630	NA	lightblue4
4585	NA	lightblue4
4913	NA	lightblue4
5069	NA	lightblue4
5087	NA	lightblue4
5367	NA	lightblue4
6100	NA	lightblue4
6282	NA	lightblue4
6576	NA	lightblue4
7205	NA	lightblue4
7659	NA	lightblue4
7898	NA	lightblue4
8269	NA	lightblue4
8276	NA	lightblue4
8916	NA	lightblue4
9320	NA	lightblue4
9743	NA	lightblue4
9779	NA	lightblue4
10524	NA	lightblue4
10639	NA	lightblue4
10868	NA	lightblue4
10953	NA	lightblue4
11036	NA	lightblue4
11268	NA	lightblue4
11315	NA	lightblue4
11385	NA	lightblue4
11457	NA	lightblue4
11471	NA	lightblue4
12352	NA	lightblue4
13544	NA	lightblue4
15116	NA	lightblue4
15283	NA	lightblue4
15309	NA	lightblue4
