nodeName	altName	nodeAttr[nodesPresent, ]
577	NA	moccasin
915	NA	moccasin
1137	NA	moccasin
1382	NA	moccasin
1594	NA	moccasin
1742	NA	moccasin
1747	NA	moccasin
2562	NA	moccasin
2787	NA	moccasin
4175	NA	moccasin
4484	NA	moccasin
5099	NA	moccasin
5893	NA	moccasin
6733	NA	moccasin
6841	NA	moccasin
7426	NA	moccasin
7607	NA	moccasin
10388	NA	moccasin
10417	NA	moccasin
11215	NA	moccasin
12078	NA	moccasin
12131	NA	moccasin
13476	NA	moccasin
15500	NA	moccasin
15583	NA	moccasin
15589	NA	moccasin
15677	NA	moccasin
