nodeName	altName	nodeAttr[nodesPresent, ]
94	NA	antiquewhite1
142	NA	antiquewhite1
831	NA	antiquewhite1
1874	NA	antiquewhite1
3157	NA	antiquewhite1
3229	NA	antiquewhite1
3382	NA	antiquewhite1
4123	NA	antiquewhite1
5103	NA	antiquewhite1
5112	NA	antiquewhite1
5323	NA	antiquewhite1
6636	NA	antiquewhite1
7167	NA	antiquewhite1
7361	NA	antiquewhite1
7395	NA	antiquewhite1
7481	NA	antiquewhite1
7742	NA	antiquewhite1
7836	NA	antiquewhite1
7996	NA	antiquewhite1
8443	NA	antiquewhite1
8620	NA	antiquewhite1
8724	NA	antiquewhite1
9468	NA	antiquewhite1
9634	NA	antiquewhite1
10672	NA	antiquewhite1
10913	NA	antiquewhite1
11527	NA	antiquewhite1
11620	NA	antiquewhite1
11685	NA	antiquewhite1
12513	NA	antiquewhite1
12624	NA	antiquewhite1
12905	NA	antiquewhite1
13345	NA	antiquewhite1
13435	NA	antiquewhite1
13888	NA	antiquewhite1
14230	NA	antiquewhite1
14422	NA	antiquewhite1
14483	NA	antiquewhite1
14485	NA	antiquewhite1
14521	NA	antiquewhite1
14667	NA	antiquewhite1
15106	NA	antiquewhite1
15137	NA	antiquewhite1
