nodeName	altName	nodeAttr[nodesPresent, ]
443	NA	blue2
563	NA	blue2
1091	NA	blue2
1092	NA	blue2
1122	NA	blue2
1226	NA	blue2
1392	NA	blue2
1797	NA	blue2
1866	NA	blue2
1896	NA	blue2
1919	NA	blue2
2560	NA	blue2
2621	NA	blue2
2850	NA	blue2
3188	NA	blue2
3879	NA	blue2
4020	NA	blue2
4091	NA	blue2
4256	NA	blue2
4523	NA	blue2
4756	NA	blue2
5231	NA	blue2
5446	NA	blue2
5491	NA	blue2
5623	NA	blue2
5790	NA	blue2
6040	NA	blue2
6156	NA	blue2
6220	NA	blue2
6374	NA	blue2
6734	NA	blue2
6865	NA	blue2
6889	NA	blue2
6896	NA	blue2
6981	NA	blue2
7467	NA	blue2
7608	NA	blue2
8106	NA	blue2
8231	NA	blue2
8324	NA	blue2
8369	NA	blue2
8457	NA	blue2
9083	NA	blue2
9395	NA	blue2
9489	NA	blue2
9717	NA	blue2
9764	NA	blue2
10153	NA	blue2
11158	NA	blue2
11230	NA	blue2
12003	NA	blue2
12362	NA	blue2
12423	NA	blue2
12529	NA	blue2
12558	NA	blue2
12728	NA	blue2
13369	NA	blue2
13479	NA	blue2
13480	NA	blue2
13498	NA	blue2
13815	NA	blue2
14717	NA	blue2
14768	NA	blue2
