nodeName	altName	nodeAttr[nodesPresent, ]
421	NA	blueviolet
533	NA	blueviolet
708	NA	blueviolet
875	NA	blueviolet
1285	NA	blueviolet
1453	NA	blueviolet
1474	NA	blueviolet
2074	NA	blueviolet
2126	NA	blueviolet
2283	NA	blueviolet
2675	NA	blueviolet
2691	NA	blueviolet
2994	NA	blueviolet
3494	NA	blueviolet
3891	NA	blueviolet
4034	NA	blueviolet
4089	NA	blueviolet
4129	NA	blueviolet
4229	NA	blueviolet
4524	NA	blueviolet
4830	NA	blueviolet
5135	NA	blueviolet
5211	NA	blueviolet
5808	NA	blueviolet
6335	NA	blueviolet
6370	NA	blueviolet
7541	NA	blueviolet
7670	NA	blueviolet
7930	NA	blueviolet
8062	NA	blueviolet
8759	NA	blueviolet
9008	NA	blueviolet
9027	NA	blueviolet
9129	NA	blueviolet
9549	NA	blueviolet
10093	NA	blueviolet
10240	NA	blueviolet
10492	NA	blueviolet
10589	NA	blueviolet
11257	NA	blueviolet
11332	NA	blueviolet
11643	NA	blueviolet
12839	NA	blueviolet
14102	NA	blueviolet
14270	NA	blueviolet
14497	NA	blueviolet
14776	NA	blueviolet
15477	NA	blueviolet
15660	NA	blueviolet
