nodeName	altName	nodeAttr[nodesPresent, ]
2033	NA	darkseagreen2
2062	NA	darkseagreen2
2350	NA	darkseagreen2
4434	NA	darkseagreen2
4632	NA	darkseagreen2
4795	NA	darkseagreen2
4814	NA	darkseagreen2
5425	NA	darkseagreen2
5576	NA	darkseagreen2
5731	NA	darkseagreen2
6522	NA	darkseagreen2
6810	NA	darkseagreen2
7071	NA	darkseagreen2
7082	NA	darkseagreen2
7762	NA	darkseagreen2
7903	NA	darkseagreen2
8211	NA	darkseagreen2
8792	NA	darkseagreen2
8821	NA	darkseagreen2
9072	NA	darkseagreen2
9181	NA	darkseagreen2
9465	NA	darkseagreen2
10982	NA	darkseagreen2
11325	NA	darkseagreen2
11365	NA	darkseagreen2
11712	NA	darkseagreen2
11974	NA	darkseagreen2
11995	NA	darkseagreen2
12286	NA	darkseagreen2
12303	NA	darkseagreen2
12552	NA	darkseagreen2
12992	NA	darkseagreen2
13002	NA	darkseagreen2
13266	NA	darkseagreen2
13895	NA	darkseagreen2
14241	NA	darkseagreen2
14594	NA	darkseagreen2
14687	NA	darkseagreen2
14872	NA	darkseagreen2
14952	NA	darkseagreen2
15017	NA	darkseagreen2
15192	NA	darkseagreen2
15286	NA	darkseagreen2
