nodeName	altName	nodeAttr[nodesPresent, ]
768	NA	darkslateblue
896	NA	darkslateblue
1000	NA	darkslateblue
1036	NA	darkslateblue
1518	NA	darkslateblue
1718	NA	darkslateblue
1947	NA	darkslateblue
1956	NA	darkslateblue
2104	NA	darkslateblue
2317	NA	darkslateblue
2339	NA	darkslateblue
2555	NA	darkslateblue
2872	NA	darkslateblue
2944	NA	darkslateblue
3195	NA	darkslateblue
3233	NA	darkslateblue
3251	NA	darkslateblue
3303	NA	darkslateblue
3550	NA	darkslateblue
3588	NA	darkslateblue
3654	NA	darkslateblue
3657	NA	darkslateblue
3751	NA	darkslateblue
3944	NA	darkslateblue
4058	NA	darkslateblue
4692	NA	darkslateblue
4802	NA	darkslateblue
4820	NA	darkslateblue
4833	NA	darkslateblue
4843	NA	darkslateblue
4984	NA	darkslateblue
5342	NA	darkslateblue
5546	NA	darkslateblue
5584	NA	darkslateblue
5752	NA	darkslateblue
5811	NA	darkslateblue
5888	NA	darkslateblue
5901	NA	darkslateblue
6035	NA	darkslateblue
6146	NA	darkslateblue
6491	NA	darkslateblue
6588	NA	darkslateblue
6822	NA	darkslateblue
7409	NA	darkslateblue
7635	NA	darkslateblue
7841	NA	darkslateblue
8022	NA	darkslateblue
8129	NA	darkslateblue
8243	NA	darkslateblue
8677	NA	darkslateblue
8852	NA	darkslateblue
8864	NA	darkslateblue
8929	NA	darkslateblue
8988	NA	darkslateblue
9266	NA	darkslateblue
9332	NA	darkslateblue
9366	NA	darkslateblue
9457	NA	darkslateblue
9720	NA	darkslateblue
9962	NA	darkslateblue
10259	NA	darkslateblue
10623	NA	darkslateblue
10864	NA	darkslateblue
11032	NA	darkslateblue
11277	NA	darkslateblue
11569	NA	darkslateblue
11610	NA	darkslateblue
11910	NA	darkslateblue
11915	NA	darkslateblue
12258	NA	darkslateblue
12653	NA	darkslateblue
12682	NA	darkslateblue
12820	NA	darkslateblue
12956	NA	darkslateblue
13718	NA	darkslateblue
13967	NA	darkslateblue
14014	NA	darkslateblue
14084	NA	darkslateblue
14356	NA	darkslateblue
14707	NA	darkslateblue
14869	NA	darkslateblue
14910	NA	darkslateblue
15081	NA	darkslateblue
15351	NA	darkslateblue
15471	NA	darkslateblue
15512	NA	darkslateblue
15652	NA	darkslateblue
