nodeName	altName	nodeAttr[nodesPresent, ]
3	NA	darkturquoise
65	NA	darkturquoise
136	NA	darkturquoise
147	NA	darkturquoise
171	NA	darkturquoise
392	NA	darkturquoise
457	NA	darkturquoise
491	NA	darkturquoise
509	NA	darkturquoise
585	NA	darkturquoise
641	NA	darkturquoise
643	NA	darkturquoise
688	NA	darkturquoise
832	NA	darkturquoise
879	NA	darkturquoise
943	NA	darkturquoise
969	NA	darkturquoise
1095	NA	darkturquoise
1213	NA	darkturquoise
1408	NA	darkturquoise
1555	NA	darkturquoise
1559	NA	darkturquoise
1592	NA	darkturquoise
1622	NA	darkturquoise
1648	NA	darkturquoise
1674	NA	darkturquoise
1688	NA	darkturquoise
1711	NA	darkturquoise
1712	NA	darkturquoise
1794	NA	darkturquoise
1829	NA	darkturquoise
1841	NA	darkturquoise
1900	NA	darkturquoise
1922	NA	darkturquoise
1923	NA	darkturquoise
1936	NA	darkturquoise
1968	NA	darkturquoise
2177	NA	darkturquoise
2241	NA	darkturquoise
2549	NA	darkturquoise
2657	NA	darkturquoise
2672	NA	darkturquoise
2678	NA	darkturquoise
2777	NA	darkturquoise
2838	NA	darkturquoise
3045	NA	darkturquoise
3304	NA	darkturquoise
3346	NA	darkturquoise
3373	NA	darkturquoise
3674	NA	darkturquoise
3742	NA	darkturquoise
4142	NA	darkturquoise
4209	NA	darkturquoise
4543	NA	darkturquoise
4730	NA	darkturquoise
4823	NA	darkturquoise
4837	NA	darkturquoise
4839	NA	darkturquoise
4954	NA	darkturquoise
5046	NA	darkturquoise
5084	NA	darkturquoise
5175	NA	darkturquoise
5338	NA	darkturquoise
5366	NA	darkturquoise
5469	NA	darkturquoise
5520	NA	darkturquoise
5634	NA	darkturquoise
5764	NA	darkturquoise
6050	NA	darkturquoise
6162	NA	darkturquoise
6184	NA	darkturquoise
6217	NA	darkturquoise
6264	NA	darkturquoise
6285	NA	darkturquoise
6511	NA	darkturquoise
6612	NA	darkturquoise
6617	NA	darkturquoise
6681	NA	darkturquoise
6768	NA	darkturquoise
6859	NA	darkturquoise
7135	NA	darkturquoise
7196	NA	darkturquoise
7250	NA	darkturquoise
7538	NA	darkturquoise
7580	NA	darkturquoise
7582	NA	darkturquoise
7597	NA	darkturquoise
7640	NA	darkturquoise
7840	NA	darkturquoise
7888	NA	darkturquoise
8285	NA	darkturquoise
8290	NA	darkturquoise
8291	NA	darkturquoise
8586	NA	darkturquoise
8644	NA	darkturquoise
8686	NA	darkturquoise
8687	NA	darkturquoise
8807	NA	darkturquoise
9272	NA	darkturquoise
9618	NA	darkturquoise
9641	NA	darkturquoise
9776	NA	darkturquoise
9862	NA	darkturquoise
9908	NA	darkturquoise
10016	NA	darkturquoise
10245	NA	darkturquoise
10360	NA	darkturquoise
10461	NA	darkturquoise
10512	NA	darkturquoise
10598	NA	darkturquoise
10664	NA	darkturquoise
10728	NA	darkturquoise
10765	NA	darkturquoise
10801	NA	darkturquoise
10949	NA	darkturquoise
11061	NA	darkturquoise
11072	NA	darkturquoise
11123	NA	darkturquoise
11504	NA	darkturquoise
11654	NA	darkturquoise
11683	NA	darkturquoise
11697	NA	darkturquoise
11707	NA	darkturquoise
11800	NA	darkturquoise
11809	NA	darkturquoise
11867	NA	darkturquoise
11874	NA	darkturquoise
11883	NA	darkturquoise
11888	NA	darkturquoise
11897	NA	darkturquoise
12083	NA	darkturquoise
12122	NA	darkturquoise
12253	NA	darkturquoise
12268	NA	darkturquoise
12378	NA	darkturquoise
12380	NA	darkturquoise
12462	NA	darkturquoise
12470	NA	darkturquoise
12644	NA	darkturquoise
12743	NA	darkturquoise
12812	NA	darkturquoise
13020	NA	darkturquoise
13098	NA	darkturquoise
13242	NA	darkturquoise
13423	NA	darkturquoise
13447	NA	darkturquoise
13475	NA	darkturquoise
13724	NA	darkturquoise
13769	NA	darkturquoise
13978	NA	darkturquoise
14006	NA	darkturquoise
14242	NA	darkturquoise
14333	NA	darkturquoise
14345	NA	darkturquoise
14573	NA	darkturquoise
14679	NA	darkturquoise
14774	NA	darkturquoise
14850	NA	darkturquoise
15432	NA	darkturquoise
15515	NA	darkturquoise
15653	NA	darkturquoise
