nodeName	altName	nodeAttr[nodesPresent, ]
33	NA	deeppink
227	NA	deeppink
434	NA	deeppink
1006	NA	deeppink
1125	NA	deeppink
1429	NA	deeppink
1819	NA	deeppink
2003	NA	deeppink
2118	NA	deeppink
2157	NA	deeppink
2409	NA	deeppink
2904	NA	deeppink
2915	NA	deeppink
3037	NA	deeppink
3551	NA	deeppink
4666	NA	deeppink
5429	NA	deeppink
5483	NA	deeppink
5613	NA	deeppink
6131	NA	deeppink
6249	NA	deeppink
6292	NA	deeppink
6675	NA	deeppink
6700	NA	deeppink
7034	NA	deeppink
7291	NA	deeppink
7299	NA	deeppink
7419	NA	deeppink
7990	NA	deeppink
8066	NA	deeppink
8445	NA	deeppink
9371	NA	deeppink
9769	NA	deeppink
9861	NA	deeppink
10058	NA	deeppink
10188	NA	deeppink
10456	NA	deeppink
10673	NA	deeppink
11547	NA	deeppink
11972	NA	deeppink
12292	NA	deeppink
13138	NA	deeppink
13797	NA	deeppink
13980	NA	deeppink
14167	NA	deeppink
14310	NA	deeppink
14506	NA	deeppink
15099	NA	deeppink
