nodeName	altName	nodeAttr[nodesPresent, ]
772	NA	green4
877	NA	green4
1001	NA	green4
1043	NA	green4
1436	NA	green4
1754	NA	green4
2681	NA	green4
3081	NA	green4
4059	NA	green4
4618	NA	green4
5160	NA	green4
5187	NA	green4
5322	NA	green4
5651	NA	green4
5724	NA	green4
6268	NA	green4
7190	NA	green4
7209	NA	green4
7470	NA	green4
7829	NA	green4
7871	NA	green4
7919	NA	green4
9126	NA	green4
9333	NA	green4
9471	NA	green4
9505	NA	green4
9750	NA	green4
9875	NA	green4
9998	NA	green4
10215	NA	green4
10783	NA	green4
10846	NA	green4
12478	NA	green4
13200	NA	green4
13486	NA	green4
13680	NA	green4
14327	NA	green4
14405	NA	green4
14826	NA	green4
14874	NA	green4
14990	NA	green4
15350	NA	green4
15423	NA	green4
